date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SVM')","('high', 'SVM')","('low', 'SVM')","('close', 'SVM')","('adj_close', 'SVM')","('volume', 'SVM')","('currency', '')"
2020-01-02,5.699999809265137,5.71999979019165,5.53000020980835,5.599999904632568,5.386423110961914,1307200,,,,,,,,
2020-01-03,5.699999809265137,5.71999979019165,5.585000038146973,5.650000095367432,5.434516429901123,1448800,,,,,,,,
2020-01-06,5.849999904632568,5.849999904632568,5.46999979019165,5.53000020980835,5.319093227386475,1729800,,,,,,,,
2020-01-07,5.5,5.730000019073486,5.409999847412109,5.690000057220459,5.4729905128479,2224400,,,,,,,,
2020-01-08,5.659999847412109,5.659999847412109,5.309999942779541,5.349999904632568,5.1459574699401855,1705100,,,,,,,,
2020-01-09,5.260000228881836,5.409999847412109,5.25,5.309999942779541,5.107483386993408,1314500,,,,,,,,
2020-01-10,5.289999961853027,5.579999923706055,5.28000020980835,5.489999771118164,5.280617713928223,1401900,,,,,,,,
2020-01-13,5.460000038146973,5.46999979019165,5.260000228881836,5.260000228881836,5.059390544891357,1229900,,,,,,,,
2020-01-14,5.25,5.480000019073486,5.230000019073486,5.449999809265137,5.242143630981445,1470300,,,,,,,,
2020-01-15,5.5,5.630000114440918,5.465000152587891,5.599999904632568,5.386423110961914,1060100,,,,,,,,
2020-01-16,5.630000114440918,5.630000114440918,5.510000228881836,5.570000171661377,5.357566833496094,662200,,,,,,,,
2020-01-17,5.570000171661377,5.590000152587891,5.409999847412109,5.460000038146973,5.251762390136719,794700,,,,,,,,
2020-01-21,5.420000076293945,5.614999771118164,5.300000190734863,5.590000152587891,5.376804828643799,1135200,,,,,,,,
2020-01-22,5.590000152587891,5.619999885559082,5.505000114440918,5.559999942779541,5.34794807434082,908500,,,,,,,,
2020-01-23,5.519999980926514,5.659999847412109,5.5,5.539999961853027,5.32871150970459,1155500,,,,,,,,
2020-01-24,5.539999961853027,5.539999961853027,5.434999942779541,5.510000228881836,5.299855709075928,1002600,,,,,,,,
2020-01-27,5.599999904632568,5.599999904632568,5.360000133514404,5.420000076293945,5.213287830352783,1120400,,,,,,,,
2020-01-28,5.380000114440918,5.380000114440918,5.25,5.25,5.049771308898926,1242200,,,,,,,,
2020-01-29,5.260000228881836,5.590000152587891,5.230000019073486,5.460000038146973,5.251762390136719,1300400,,,,,,,,
