date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PII')","('high', 'PII')","('low', 'PII')","('close', 'PII')","('adj_close', 'PII')","('volume', 'PII')","('currency', '')"
2020-01-02,102.91000366210938,103.08999633789062,101.91000366210938,103.02999877929688,85.9146957397461,451700,,,,,,,,
2020-01-03,101.25,102.31999969482422,100.56999969482422,101.02999877929688,84.24693298339844,629700,,,,,,,,
2020-01-06,99.30000305175781,99.5,96.44000244140625,97.08000183105469,80.95310974121094,1001200,,,,,,,,
2020-01-07,97.05999755859375,97.43000030517578,92.33999633789062,95.01000213623047,79.22698211669922,1221300,,,,,,,,
2020-01-08,94.79000091552734,95.37000274658203,93.86000061035156,94.58999633789062,78.87675476074219,668700,,,,,,,,
2020-01-09,95.27999877929688,96.94000244140625,94.31999969482422,94.98999786376953,79.21029663085938,839200,,,,,,,,
2020-01-10,95.11000061035156,95.30999755859375,91.80000305175781,92.33000183105469,76.99219512939453,790200,,,,,,,,
2020-01-13,92.69999694824219,95.02999877929688,92.33999633789062,94.63999938964844,78.91844940185547,487900,,,,,,,,
2020-01-14,94.5199966430664,96.06999969482422,94.30000305175781,95.02999877929688,79.24365234375,507000,,,,,,,,
2020-01-15,94.44000244140625,95.08999633789062,93.4000015258789,93.95999908447266,78.3514175415039,424800,,,,,,,,
2020-01-16,94.86000061035156,95.44999694824219,93.75,94.41999816894531,78.7350082397461,725500,,,,,,,,
2020-01-17,92.69999694824219,94.0,91.81999969482422,93.08000183105469,77.61758422851562,762600,,,,,,,,
2020-01-21,92.12000274658203,92.94000244140625,90.69999694824219,91.69999694824219,76.4668197631836,570600,,,,,,,,
2020-01-22,92.22000122070312,93.5999984741211,91.94000244140625,92.9000015258789,77.46749114990234,651500,,,,,,,,
2020-01-23,92.30000305175781,93.12000274658203,90.94999694824219,92.9000015258789,77.46749114990234,815400,,,,,,,,
2020-01-24,93.44000244140625,93.4800033569336,90.58999633789062,91.83000183105469,76.57524108886719,618500,,,,,,,,
2020-01-27,90.19999694824219,92.33000183105469,89.73999786376953,90.9800033569336,75.86644744873047,937800,,,,,,,,
2020-01-28,98.0,102.73999786376953,91.41999816894531,96.20999908447266,80.22762298583984,3680200,,,,,,,,
2020-01-29,97.19000244140625,97.69000244140625,94.27999877929688,94.54000091552734,78.8350601196289,1012100,,,,,,,,
2020-01-30,93.76000213623047,95.48999786376953,92.7699966430664,94.5,78.80170440673828,680000,,,,,,,,
2020-01-31,94.37999725341797,94.37999725341797,91.41999816894531,91.83999633789062,76.58358001708984,820200,,,,,,,,
2020-02-03,92.68000030517578,94.01000213623047,91.47000122070312,91.76000213623047,76.51688385009766,464100,,,,,,,,
2020-02-04,93.41999816894531,94.13999938964844,91.94000244140625,92.08999633789062,76.79205322265625,635700,,,,,,,,
