date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FIS')","('high', 'FIS')","('low', 'FIS')","('close', 'FIS')","('adj_close', 'FIS')","('volume', 'FIS')","('currency', '')"
2020-01-02,139.8699951171875,140.83999633789062,139.1999969482422,139.89999389648438,123.97664642333984,3002300,,,,,,,,
2020-01-03,137.88999938964844,140.32000732421875,137.80999755859375,139.02000427246094,123.19680786132812,2365700,,,,,,,,
2020-01-06,138.1300048828125,140.35000610351562,137.82000732421875,140.35000610351562,124.37543487548828,3685700,,,,,,,,
2020-01-07,139.66000366210938,140.0,138.10000610351562,138.19000244140625,122.46126556396484,3568500,,,,,,,,
2020-01-08,138.7899932861328,140.75,138.57000732421875,140.22000122070312,124.26022338867188,3206700,,,,,,,,
2020-01-09,140.99000549316406,143.0500030517578,140.52000427246094,142.9199981689453,126.65292358398438,4133200,,,,,,,,
2020-01-10,143.3800048828125,143.91000366210938,141.47999572753906,141.94000244140625,125.7844467163086,2170800,,,,,,,,
2020-01-13,142.49000549316406,142.9499969482422,141.42999267578125,142.72999572753906,126.48453521728516,4227700,,,,,,,,
2020-01-14,142.86000061035156,143.22999572753906,141.36000061035156,142.4499969482422,126.23638916015625,1936700,,,,,,,,
2020-01-15,143.02000427246094,145.0,142.4499969482422,144.47999572753906,128.0353546142578,2941200,,,,,,,,
2020-01-16,145.3000030517578,146.3300018310547,144.33999633789062,146.24000549316406,129.5950164794922,3871300,,,,,,,,
2020-01-17,147.30999755859375,147.30999755859375,144.85000610351562,147.08999633789062,130.34828186035156,3715800,,,,,,,,
2020-01-21,146.75999450683594,148.66000366210938,146.58999633789062,147.6199951171875,130.8179168701172,3844900,,,,,,,,
2020-01-22,149.02999877929688,149.72999572753906,148.52999877929688,148.58999633789062,131.67755126953125,3017800,,,,,,,,
2020-01-23,148.94000244140625,149.5399932861328,147.8800048828125,149.00999450683594,132.04969787597656,1902200,,,,,,,,
2020-01-24,149.5,150.4199981689453,147.22999572753906,147.9199981689453,131.08380126953125,2359000,,,,,,,,
2020-01-27,145.69000244140625,147.19000244140625,145.1300048828125,146.38999938964844,129.72793579101562,1985000,,,,,,,,
2020-01-28,146.60000610351562,149.47000122070312,146.60000610351562,147.9600067138672,131.11927795410156,2391500,,,,,,,,
2020-01-29,148.4199981689453,149.61000061035156,147.85000610351562,148.08999633789062,131.23443603515625,1661200,,,,,,,,
2020-01-30,147.1699981689453,148.13999938964844,146.61000061035156,147.5,130.7115478515625,3983100,,,,,,,,
2020-01-31,147.3300018310547,147.3300018310547,142.9600067138672,143.66000366210938,127.30864715576172,3984700,,,,,,,,
2020-02-03,145.10000610351562,145.97999572753906,144.3000030517578,145.75,129.16079711914062,2868400,,,,,,,,
2020-02-04,147.17999267578125,148.83999633789062,146.88999938964844,147.4199981689453,130.6407012939453,1957300,,,,,,,,
2020-02-05,148.44000244140625,149.1300048828125,144.94000244140625,146.1199951171875,129.4886932373047,2968100,,,,,,,,
2020-02-06,146.47000122070312,147.55999755859375,145.8699951171875,147.33999633789062,130.56979370117188,2310000,,,,,,,,
2020-02-07,146.82000732421875,147.08999633789062,145.89999389648438,146.4600067138672,129.78997802734375,2494500,,,,,,,,
2020-02-10,146.16000366210938,150.3800048828125,146.00999450683594,149.97999572753906,132.90936279296875,4263000,,,,,,,,
2020-02-11,150.50999450683594,150.92999267578125,149.1999969482422,149.50999450683594,132.49281311035156,2908800,,,,,,,,
2020-02-12,149.14999389648438,149.5800018310547,147.4499969482422,147.9600067138672,131.11927795410156,3407000,,,,,,,,
2020-02-13,148.85000610351562,156.82000732421875,147.47999572753906,154.32000732421875,136.75538635253906,7114800,,,,,,,,
2020-02-14,154.35000610351562,158.2100067138672,153.8699951171875,157.44000244140625,139.52024841308594,4133600,,,,,,,,
2020-02-18,157.4499969482422,157.5800018310547,151.2100067138672,155.64999389648438,137.93397521972656,4518900,,,,,,,,
