date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FIP')","('high', 'FIP')","('low', 'FIP')","('close', 'FIP')","('adj_close', 'FIP')","('volume', 'FIP')","('currency', '')"
2022-07-20,2.509999990463257,3.0,2.490000009536743,3.0,2.7441930770874023,56000,,,,,,,,
2022-07-21,3.0899999141693115,4.25,2.950000047683716,3.740000009536743,3.4210941791534424,132400,,,,,,,,
2022-07-22,4.0,4.050000190734863,3.309999942779541,3.5810000896453857,3.2756524085998535,1063400,,,,,,,,
2022-07-25,3.380000114440918,3.6600000858306885,3.119999885559082,3.5,3.201558828353882,272500,,,,,,,,
2022-07-26,3.4100000858306885,3.859999895095825,3.4100000858306885,3.809999942779541,3.4851248264312744,296900,,,,,,,,
2022-07-27,3.5999999046325684,3.799999952316284,3.5799999237060547,3.694000005722046,3.379016637802124,167000,,,,,,,,
2022-07-28,3.690000057220459,3.934999942779541,3.609999895095825,3.7200000286102295,3.4028000831604004,225700,,,,,,,,
2022-07-29,3.8399999141693115,3.8399999141693115,3.630000114440918,3.690000057220459,3.3753576278686523,618600,,,,,,,,
2022-08-01,3.549999952316284,3.799999952316284,3.2699999809265137,3.299999952316284,3.0186123847961426,879700,,,,,,,,
2022-08-02,3.5999999046325684,3.5999999046325684,2.559999942779541,2.700000047683716,2.469773769378662,13123700,,,,,,,,
2022-08-03,2.690000057220459,2.9100000858306885,2.559999942779541,2.7100000381469727,2.47892165184021,2002600,,,,,,,,
2022-08-04,2.799999952316284,2.9000000953674316,2.619999885559082,2.6700000762939453,2.4423320293426514,1437100,,,,,,,,
2022-08-05,2.6500000953674316,2.7699999809265137,2.4700000286102295,2.5899999141693115,2.3691537380218506,1039000,,,,,,,,
2022-08-08,2.5999999046325684,3.0899999141693115,2.569999933242798,2.799999952316284,2.561246871948242,2022800,,,,,,,,
2022-08-09,2.799999952316284,2.950000047683716,2.7100000381469727,2.869999885559082,2.6252782344818115,2368700,,,,,,,,
2022-08-10,2.950000047683716,3.0,2.799999952316284,2.9800000190734863,2.725898265838623,1100000,,,,,,,,
2022-08-11,2.9800000190734863,3.0,2.799999952316284,2.9200000762939453,2.6710147857666016,793200,,,,,,,,
2022-08-12,3.0299999713897705,3.0999999046325684,2.8499999046325684,2.884999990463257,2.6389992237091064,726600,,,,,,,,
2022-08-15,2.950000047683716,2.990000009536743,2.5899999141693115,2.619999885559082,2.3965952396392822,2582100,,,,,,,,
2022-08-16,2.75,2.8399999141693115,2.619999885559082,2.690000057220459,2.4606266021728516,567100,,,,,,,,
2022-08-17,2.6600000858306885,2.7290000915527344,2.559999942779541,2.6500000953674316,2.4240376949310303,770500,,,,,,,,
2022-08-18,2.6600000858306885,2.930000066757202,2.609999895095825,2.869999885559082,2.6252782344818115,803700,,,,,,,,
2022-08-19,2.809999942779541,2.9200000762939453,2.450000047683716,2.619999885559082,2.3965952396392822,1017900,,,,,,,,
2022-08-22,2.5999999046325684,2.5999999046325684,2.3499999046325684,2.450000047683716,2.241091251373291,985200,,,,,,,,
2022-08-23,2.450000047683716,2.559999942779541,2.25,2.549999952316284,2.332564353942871,1475300,,,,,,,,
2022-08-24,2.4800000190734863,2.549999952316284,2.390000104904175,2.490000009536743,2.2776801586151123,810400,,,,,,,,
2022-08-25,2.4700000286102295,2.5399999618530273,2.450000047683716,2.490000009536743,2.2776801586151123,621700,,,,,,,,
2022-08-26,2.509999990463257,2.5899999141693115,2.4800000190734863,2.5199999809265137,2.3051223754882812,623900,,,,,,,,
