date,open,high,low,close,adj_close,volume,currency,"('date', '')","('open', 'RENT3.SA')","('high', 'RENT3.SA')","('low', 'RENT3.SA')","('close', 'RENT3.SA')","('adj_close', 'RENT3.SA')","('volume', 'RENT3.SA')","('currency', '')"
2020-01-02,47.993980407714844,49.387420654296875,47.3868408203125,49.387420654296875,42.34269332885742,3099628,BRL,,,,,,,,
2020-01-03,48.859901428222656,49.51681137084961,48.32243347167969,48.67079544067383,41.72828674316406,5082723,BRL,,,,,,,,
2020-01-06,48.32243347167969,48.66084289550781,47.60580825805664,48.10346603393555,41.24189376831055,3684369,BRL,,,,,,,,
2020-01-07,47.97407531738281,48.57126235961914,47.655574798583984,48.57126235961914,41.6429557800293,4387465,BRL,,,,,,,,
2020-01-08,48.71060562133789,49.24807357788086,47.993980407714844,48.33238983154297,41.43815994262695,3570134,BRL,,,,,,,,
2020-01-09,48.133323669433594,48.99924850463867,47.95417022705078,48.59116744995117,41.66000747680664,3173173,BRL,,,,,,,,
2020-01-10,48.65088653564453,49.06892013549805,47.376888275146484,47.62571334838867,40.832271575927734,4533248,BRL,,,,,,,,
2020-01-13,47.884498596191406,48.163185119628906,47.50627899169922,47.7750129699707,40.96028137207031,6304349,BRL,,,,,,,,
2020-01-14,47.615760803222656,47.97407531738281,47.22758865356445,47.97407531738281,41.13094711303711,5655006,BRL,,,,,,,,
2020-01-15,47.86458969116211,48.23285675048828,47.536136627197266,47.98402786254883,41.13948059082031,9887143,BRL,,,,,,,,
2020-01-16,48.43191909790039,48.919620513916016,47.874542236328125,48.919620513916016,41.94161605834961,5668971,BRL,,,,,,,,
2020-01-17,48.96938705444336,49.258026123046875,48.5214958190918,49.258026123046875,42.23176574707031,2690008,BRL,,,,,,,,
2020-01-20,49.05896759033203,49.73577880859375,48.820091247558594,49.36751174926758,42.325618743896484,4113480,BRL,,,,,,,,
2020-01-21,49.16844940185547,49.5765266418457,48.581214904785156,48.96938705444336,41.98428726196289,2864627,BRL,,,,,,,,
2020-01-22,49.56657409667969,49.596435546875,48.80018615722656,49.596435546875,42.52188491821289,2398241,BRL,,,,,,,,
2020-01-23,49.28788757324219,51.587059020996094,48.481685638427734,51.49748229980469,44.15176773071289,7419778,BRL,,,,,,,,
2020-01-24,51.45766830444336,51.855796813964844,50.9500617980957,51.169029235839844,43.87017059326172,4430868,BRL,,,,,,,,
2020-01-27,50.163761138916016,51.895606994628906,49.16844940185547,51.19888687133789,43.895774841308594,3865217,BRL,,,,,,,,
