date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'JBARF')","('high', 'JBARF')","('low', 'JBARF')","('close', 'JBARF')","('adj_close', 'JBARF')","('volume', 'JBARF')","('currency', '')"
2020-01-02,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-03,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-06,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-07,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-08,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-09,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-10,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-13,51.470001220703125,51.470001220703125,51.470001220703125,51.470001220703125,39.36825942993164,0,,,,,,,,
2020-01-14,50.75,50.75,50.75,50.75,38.817543029785156,200,,,,,,,,
2020-01-15,50.75,50.75,50.75,50.75,38.817543029785156,0,,,,,,,,
2020-01-16,50.75,50.75,50.75,50.75,38.817543029785156,0,,,,,,,,
2020-01-17,50.75,50.75,50.75,50.75,38.817543029785156,0,,,,,,,,
2020-01-21,50.75,50.75,50.75,50.75,38.817543029785156,0,,,,,,,,
2020-01-22,50.75,50.75,50.75,50.75,38.817543029785156,0,,,,,,,,
2020-01-23,51.4900016784668,51.5,51.4900016784668,51.5,39.391204833984375,500,,,,,,,,
2020-01-24,51.849998474121094,51.849998474121094,51.849998474121094,51.849998474121094,39.65890884399414,200,,,,,,,,
2020-01-27,51.849998474121094,51.849998474121094,51.849998474121094,51.849998474121094,39.65890884399414,0,,,,,,,,
2020-01-28,51.849998474121094,51.849998474121094,51.849998474121094,51.849998474121094,39.65890884399414,0,,,,,,,,
2020-01-29,49.84000015258789,50.25,49.84000015258789,50.25,38.43510437011719,3900,,,,,,,,
2020-01-30,50.25,50.25,50.25,50.25,38.43510437011719,0,,,,,,,,
2020-01-31,50.25,50.25,50.25,50.25,38.43510437011719,0,,,,,,,,
2020-02-03,50.25,50.25,50.25,50.25,38.43510437011719,0,,,,,,,,
2020-02-04,50.25,50.25,50.25,50.25,38.43510437011719,0,,,,,,,,
2020-02-05,50.25,50.25,50.25,50.25,38.43510437011719,0,,,,,,,,
2020-02-06,48.599998474121094,48.599998474121094,48.599998474121094,48.599998474121094,37.17305374145508,400,,,,,,,,
2020-02-07,48.599998474121094,48.599998474121094,48.599998474121094,48.599998474121094,37.17305374145508,0,,,,,,,,
