date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HWKN')","('high', 'HWKN')","('low', 'HWKN')","('close', 'HWKN')","('adj_close', 'HWKN')","('volume', 'HWKN')","('currency', '')"
2020-01-02,22.985000610351562,23.059999465942383,22.7549991607666,22.915000915527344,21.308923721313477,45600,,,,,,,,
2020-01-03,22.530000686645508,22.75,21.96500015258789,22.274999618530273,20.713773727416992,72800,,,,,,,,
2020-01-06,22.09000015258789,22.625,22.084999084472656,22.149999618530273,20.5975341796875,44200,,,,,,,,
2020-01-07,22.05500030517578,22.100000381469727,21.799999237060547,21.860000610351562,20.327863693237305,31600,,,,,,,,
2020-01-08,21.8700008392334,21.934999465942383,21.649999618530273,21.725000381469727,20.202327728271484,31200,,,,,,,,
2020-01-09,21.725000381469727,21.875,21.44499969482422,21.44499969482422,19.941946029663086,36600,,,,,,,,
2020-01-10,21.4950008392334,21.594999313354492,21.155000686645508,21.200000762939453,19.71411895751953,35200,,,,,,,,
2020-01-13,21.299999237060547,21.625,21.299999237060547,21.520000457763672,20.011686325073242,29200,,,,,,,,
2020-01-14,21.375,21.655000686645508,21.1299991607666,21.31999969482422,19.825708389282227,37200,,,,,,,,
2020-01-15,21.25,21.344999313354492,21.020000457763672,21.170000076293945,19.68622589111328,31200,,,,,,,,
2020-01-16,21.399999618530273,21.4950008392334,21.200000762939453,21.44499969482422,19.941946029663086,33800,,,,,,,,
2020-01-17,21.665000915527344,21.809999465942383,21.334999084472656,21.729999542236328,20.206966400146484,50800,,,,,,,,
2020-01-21,21.625,21.625,20.6299991607666,20.959999084472656,19.490938186645508,44800,,,,,,,,
2020-01-22,21.100000381469727,21.104999542236328,20.71500015258789,20.864999771118164,19.40260124206543,34600,,,,,,,,
2020-01-23,20.709999084472656,21.440000534057617,20.28499984741211,21.375,19.87685203552246,80800,,,,,,,,
2020-01-24,21.360000610351562,21.360000610351562,20.670000076293945,20.94499969482422,19.476987838745117,33000,,,,,,,,
2020-01-27,20.56999969482422,21.03499984741211,20.28499984741211,20.94499969482422,19.476987838745117,38800,,,,,,,,
2020-01-28,21.020000457763672,21.219999313354492,21.010000228881836,21.174999237060547,19.690872192382812,28600,,,,,,,,
2020-01-29,21.110000610351562,21.235000610351562,20.8799991607666,21.1299991607666,19.649024963378906,34000,,,,,,,,
2020-01-30,20.915000915527344,21.434999465942383,20.889999389648438,21.315000534057617,19.82105827331543,44800,,,,,,,,
2020-01-31,21.170000076293945,21.204999923706055,20.69499969482422,20.889999389648438,19.425846099853516,58800,,,,,,,,
2020-02-03,20.985000610351562,21.719999313354492,20.985000610351562,21.5,19.993091583251953,56000,,,,,,,,
2020-02-04,21.780000686645508,21.875,20.959999084472656,21.045000076293945,19.56998062133789,63800,,,,,,,,
2020-02-05,21.280000686645508,21.424999237060547,21.075000762939453,21.315000534057617,19.82105827331543,31400,,,,,,,,
2020-02-06,21.719999313354492,21.7450008392334,20.9950008392334,21.184999465942383,19.70017433166504,38200,,,,,,,,
2020-02-07,21.145000457763672,21.174999237060547,20.655000686645508,20.915000915527344,19.4490966796875,72200,,,,,,,,
2020-02-10,20.790000915527344,21.260000228881836,20.770000457763672,21.239999771118164,19.751314163208008,53600,,,,,,,,
2020-02-11,21.334999084472656,21.510000228881836,21.0,21.09000015258789,19.61182975769043,30000,,,,,,,,
2020-02-12,21.184999465942383,21.329999923706055,20.895000457763672,21.270000457763672,19.779216766357422,41200,,,,,,,,
