date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HLNCF')","('high', 'HLNCF')","('low', 'HLNCF')","('close', 'HLNCF')","('adj_close', 'HLNCF')","('volume', 'HLNCF')","('currency', '')"
2022-07-28,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.3485851287841797,23268,,,,,,,,
2022-07-29,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.3485851287841797,0,,,,,,,,
2022-08-01,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.3485851287841797,0,,,,,,,,
2022-08-02,3.700000047683716,3.740000009536743,3.700000047683716,3.740000009536743,3.598766565322876,81821,,,,,,,,
2022-08-03,3.700000047683716,3.700000047683716,3.700000047683716,3.700000047683716,3.560276985168457,8452,,,,,,,,
2022-08-04,3.7215399742126465,3.7215399742126465,3.7215399742126465,3.7215399742126465,3.5810036659240723,35735,,,,,,,,
2022-08-05,3.7100000381469727,3.7100000381469727,3.7100000381469727,3.7100000381469727,3.569899320602417,250,,,,,,,,
2022-08-08,3.7200000286102295,3.7200000286102295,3.7200000286102295,3.7200000286102295,3.579521894454956,350,,,,,,,,
2022-08-09,3.6500000953674316,3.6500000953674316,3.640000104904175,3.6500000953674316,3.5121655464172363,10219,,,,,,,,
2022-08-10,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.5121655464172363,0,,,,,,,,
2022-08-11,3.1600000858306885,3.2200000286102295,3.0799999237060547,3.2200000286102295,3.098403215408325,5266,,,,,,,,
2022-08-12,3.2200000286102295,3.25,3.200000047683716,3.25,3.127270460128784,4127,,,,,,,,
2022-08-15,3.190000057220459,3.190000057220459,3.0,3.0,2.8867111206054688,6122,,,,,,,,
2022-08-16,3.0999999046325684,3.200000047683716,3.0999999046325684,3.0999999046325684,2.9829347133636475,1253,,,,,,,,
2022-08-17,3.0999999046325684,3.0999999046325684,3.0999999046325684,3.0999999046325684,2.9829347133636475,0,,,,,,,,
2022-08-18,3.049999952316284,3.0899999141693115,3.049999952316284,3.0899999141693115,2.9733123779296875,70608,,,,,,,,
2022-08-19,3.059999942779541,3.059999942779541,3.059999942779541,3.059999942779541,2.9444448947906494,55972,,,,,,,,
2022-08-22,3.140000104904175,3.140000104904175,3.0,3.009999990463257,2.8963334560394287,157163,,,,,,,,
2022-08-23,3.1700000762939453,3.1700000762939453,3.1500000953674316,3.1500000953674316,3.0310468673706055,7627,,,,,,,,
2022-08-24,3.130000114440918,3.130000114440918,3.0999999046325684,3.0999999046325684,2.9829347133636475,19775,,,,,,,,
2022-08-25,3.049999952316284,3.069999933242798,3.049999952316284,3.069999933242798,2.9540677070617676,452,,,,,,,,
2022-08-26,3.140000104904175,3.140000104904175,3.0999999046325684,3.0999999046325684,2.9829347133636475,4876,,,,,,,,
2022-08-29,3.069999933242798,3.069999933242798,3.009999990463257,3.009999990463257,2.8963334560394287,886,,,,,,,,
2022-08-30,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,2.8770885467529297,150,,,,,,,,
2022-08-31,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,2.8770885467529297,0,,,,,,,,
2022-09-01,2.990000009536743,2.990000009536743,2.990000009536743,2.990000009536743,2.8770885467529297,0,,,,,,,,
2022-09-02,2.75,2.809999942779541,2.75,2.799999952316284,2.694263458251953,1111,,,,,,,,
2022-09-06,2.9100000858306885,2.9100000858306885,2.8499999046325684,2.8499999046325684,2.742375612258911,933,,,,,,,,
2022-09-07,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.742375612258911,871,,,,,,,,
2022-09-08,2.950000047683716,2.950000047683716,2.880000114440918,2.880000114440918,2.771242618560791,2854,,,,,,,,
2022-09-09,3.0,3.0199999809265137,3.0,3.0199999809265137,2.9059555530548096,30283,,,,,,,,
2022-09-12,3.0199999809265137,3.0199999809265137,2.990000009536743,3.0,2.8867111206054688,80373,,,,,,,,
2022-09-13,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,2.9252004623413086,1413,,,,,,,,
