date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PCG-PB')","('high', 'PCG-PB')","('low', 'PCG-PB')","('close', 'PCG-PB')","('adj_close', 'PCG-PB')","('volume', 'PCG-PB')","('currency', '')"
2020-01-02,23.309999465942383,23.950000762939453,23.309999465942383,23.899999618530273,14.984207153320312,725,,,,,,,,
2020-01-06,24.05500030517578,24.05500030517578,23.610000610351562,24.05500030517578,15.081387519836426,1536,,,,,,,,
2020-01-09,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,14.858819961547852,250,,,,,,,,
2020-01-16,24.0,24.020000457763672,24.0,24.002500534057617,15.04847526550293,1208,,,,,,,,
2020-01-17,24.0,24.200000762939453,24.0,24.0,15.046905517578125,7140,,,,,,,,
2020-01-21,23.81999969482422,23.92300033569336,23.790000915527344,23.799999237060547,14.921514511108398,2239,,,,,,,,
2020-01-22,23.790000915527344,23.861400604248047,23.790000915527344,23.861400604248047,14.96001148223877,1401,,,,,,,,
2020-01-23,24.5,24.836599349975586,24.5,24.836599349975586,15.571413040161133,747,,,,,,,,
2020-01-24,24.0,24.0,24.0,24.0,15.046905517578125,271,,,,,,,,
2020-01-27,24.010000228881836,24.119800567626953,23.950000762939453,23.950000762939453,15.0155611038208,1470,,,,,,,,
2020-01-28,23.950000762939453,23.950000762939453,23.950000762939453,23.950000762939453,15.0155611038208,395,,,,,,,,
2020-01-29,24.1299991607666,24.1299991607666,24.09000015258789,24.09000015258789,15.103331565856934,836,,,,,,,,
2020-01-31,23.979999542236328,24.480199813842773,23.950000762939453,23.950000762939453,15.0155611038208,785,,,,,,,,
2020-02-03,24.149999618530273,24.27079963684082,24.149999618530273,24.27079963684082,15.21668529510498,600,,,,,,,,
2020-02-04,24.941099166870117,25.0,24.940000534057617,25.0,15.673858642578125,5089,,,,,,,,
2020-02-05,25.0,25.488300323486328,25.0,25.488300323486328,15.98000431060791,455,,,,,,,,
2020-02-06,25.750099182128906,25.750099182128906,25.200000762939453,25.200000762939453,15.799250602722168,1334,,,,,,,,
2020-02-07,25.504100799560547,25.724199295043945,25.504100799560547,25.724199295043945,16.127899169921875,316,,,,,,,,
2020-02-10,25.65999984741211,26.149999618530273,25.649999618530273,26.098600387573242,16.36263656616211,6237,,,,,,,,
2020-02-11,26.43000030517578,26.43000030517578,26.23310089111328,26.350000381469727,16.52025032043457,475,,,,,,,,
2020-02-12,26.0,26.0,25.8700008392334,26.0,16.30081558227539,1639,,,,,,,,
2020-02-13,26.25,26.25,26.0,26.0,16.30081558227539,540,,,,,,,,
2020-02-14,26.0,26.0,26.0,26.0,16.30081558227539,135,,,,,,,,
2020-02-18,26.702600479125977,26.702600479125977,26.5,26.5,16.614294052124023,1575,,,,,,,,
2020-02-19,25.920000076293945,26.770000457763672,25.920000076293945,26.770000457763672,16.783573150634766,574,,,,,,,,
2020-02-20,26.149999618530273,26.75,26.149999618530273,26.75,16.771028518676758,711,,,,,,,,
2020-02-24,26.549999237060547,26.549999237060547,26.549999237060547,26.549999237060547,16.645641326904297,1050,,,,,,,,
2020-02-25,26.5,26.749300003051758,26.5,26.510000228881836,16.620563507080078,5334,,,,,,,,
2020-02-26,26.850000381469727,27.489999771118164,26.850000381469727,27.489999771118164,17.2349796295166,6025,,,,,,,,
2020-02-27,26.549999237060547,26.87299919128418,26.5,26.74799919128418,16.769773483276367,7297,,,,,,,,
2020-02-28,26.549999237060547,26.712799072265625,26.549999237060547,26.549999237060547,16.645641326904297,2102,,,,,,,,
2020-03-02,26.579999923706055,27.473800659179688,26.5,26.559999465942383,16.65191078186035,7332,,,,,,,,
2020-03-03,26.56999969482422,26.799999237060547,26.559999465942383,26.799999237060547,16.802379608154297,2155,,,,,,,,
2020-03-05,26.549999237060547,26.93000030517578,26.549999237060547,26.549999237060547,16.645641326904297,1388,,,,,,,,
2020-03-06,26.549999237060547,26.696800231933594,26.5,26.549999237060547,16.645641326904297,5539,,,,,,,,
2020-03-09,26.5,26.579500198364258,26.350000381469727,26.5,16.614294052124023,16328,,,,,,,,
2020-03-10,26.010000228881836,26.629499435424805,26.010000228881836,26.549999237060547,16.645641326904297,15110,,,,,,,,
2020-03-11,26.67289924621582,26.67289924621582,26.510000228881836,26.64259910583496,16.703699111938477,1608,,,,,,,,
2020-03-12,25.0,25.0,25.0,25.0,15.673858642578125,350,,,,,,,,
2020-03-13,26.049999237060547,26.049999237060547,26.0,26.0,16.30081558227539,401,,,,,,,,
2020-03-16,23.75,23.75,23.75,23.75,14.890167236328125,450,,,,,,,,
2020-03-18,23.010000228881836,23.010000228881836,20.93000030517578,20.93000030517578,13.122156143188477,546,,,,,,,,
2020-03-19,22.0,22.0,20.25,20.25,12.695826530456543,2300,,,,,,,,
