date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OXLC')","('high', 'OXLC')","('low', 'OXLC')","('close', 'OXLC')","('adj_close', 'OXLC')","('volume', 'OXLC')","('currency', '')"
2020-01-02,41.0,41.29999923706055,40.79999923706055,41.0,13.09925651550293,129120,,,,,,,,
2020-01-03,40.75,41.04999923706055,40.70000076293945,41.0,13.09925651550293,131460,,,,,,,,
2020-01-06,40.900001525878906,41.5,40.70000076293945,41.45000076293945,13.243035316467285,166920,,,,,,,,
2020-01-07,41.75,42.400001525878906,41.5,42.29999923706055,13.514602661132812,235820,,,,,,,,
2020-01-08,42.29999923706055,43.400001525878906,42.29999923706055,43.099998474121094,13.770197868347168,199220,,,,,,,,
2020-01-09,43.150001525878906,43.599998474121094,42.75,42.79999923706055,13.67434310913086,163020,,,,,,,,
2020-01-10,43.0,43.900001525878906,42.95000076293945,43.599998474121094,13.929943084716797,189560,,,,,,,,
2020-01-13,43.75,44.650001525878906,43.650001525878906,44.5,14.217493057250977,195660,,,,,,,,
2020-01-14,44.75,45.5,44.650001525878906,45.400001525878906,14.505034446716309,226800,,,,,,,,
2020-01-15,45.5,46.0,45.25,45.75,14.616853713989258,289620,,,,,,,,
2020-01-16,45.45000076293945,45.5,44.45000076293945,44.79999923706055,14.527679443359375,219300,,,,,,,,
2020-01-17,45.0,45.099998474121094,44.45000076293945,44.599998474121094,14.462824821472168,95320,,,,,,,,
2020-01-21,44.54999923706055,45.29999923706055,44.5,45.150001525878906,14.6411771774292,156420,,,,,,,,
2020-01-22,45.29999923706055,45.70000076293945,45.099998474121094,45.599998474121094,14.787097930908203,106780,,,,,,,,
2020-01-23,45.599998474121094,45.70000076293945,45.150001525878906,45.70000076293945,14.81953239440918,68600,,,,,,,,
2020-01-24,45.70000076293945,45.75,44.5,45.099998474121094,14.624961853027344,157140,,,,,,,,
2020-01-27,44.54999923706055,45.25,44.20000076293945,44.849998474121094,14.543893814086914,175780,,,,,,,,
2020-01-28,45.0,45.20000076293945,44.79999923706055,45.04999923706055,14.608752250671387,56140,,,,,,,,
2020-01-29,45.04999923706055,45.54999923706055,45.04999923706055,45.25,14.673606872558594,74020,,,,,,,,
2020-01-30,45.099998474121094,45.349998474121094,44.849998474121094,45.150001525878906,14.6411771774292,81680,,,,,,,,
2020-01-31,45.04999923706055,45.54999923706055,44.349998474121094,44.599998474121094,14.462824821472168,170560,,,,,,,,
2020-02-03,44.95000076293945,45.25,44.650001525878906,45.04999923706055,14.608752250671387,125760,,,,,,,,
2020-02-04,45.75,47.25,45.70000076293945,46.349998474121094,15.030312538146973,230700,,,,,,,,
2020-02-05,46.5,47.5,46.5,47.099998474121094,15.273518562316895,164220,,,,,,,,
2020-02-06,47.5,48.0,47.400001525878906,47.79999923706055,15.50051212310791,169180,,,,,,,,
2020-02-07,47.79999923706055,47.849998474121094,46.29999923706055,46.79999923706055,15.176236152648926,222100,,,,,,,,
2020-02-10,47.099998474121094,47.150001525878906,46.650001525878906,46.95000076293945,15.224875450134277,136340,,,,,,,,
2020-02-11,46.95000076293945,47.25,46.849998474121094,47.0,15.2410888671875,173180,,,,,,,,
2020-02-12,47.04999923706055,47.400001525878906,47.04999923706055,47.099998474121094,15.273518562316895,182080,,,,,,,,
2020-02-13,46.5,46.5,46.04999923706055,46.04999923706055,15.150144577026367,151080,,,,,,,,
2020-02-14,46.0,46.20000076293945,45.70000076293945,45.75,15.051450729370117,147760,,,,,,,,
2020-02-18,45.75,45.849998474121094,45.099998474121094,45.400001525878906,14.936305046081543,170240,,,,,,,,
