date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TFII')","('high', 'TFII')","('low', 'TFII')","('close', 'TFII')","('adj_close', 'TFII')","('volume', 'TFII')","('currency', '')"
2020-01-02,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-03,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-06,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-07,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-08,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-09,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-10,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-13,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-14,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-15,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-16,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-17,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-21,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,31.19354248046875,0,,,,,,,,
2020-01-22,34.5,34.5,34.16999816894531,34.18000030517578,31.54424476623535,1400,,,,,,,,
2020-01-23,34.18000030517578,34.18000030517578,34.18000030517578,34.18000030517578,31.54424476623535,0,,,,,,,,
2020-01-24,33.70000076293945,33.70000076293945,33.70000076293945,33.70000076293945,31.101259231567383,100,,,,,,,,
2020-01-27,32.97999954223633,32.97999954223633,32.97999954223633,32.97999954223633,30.436779022216797,200,,,,,,,,
2020-01-28,32.97999954223633,32.97999954223633,32.97999954223633,32.97999954223633,30.436779022216797,0,,,,,,,,
2020-01-29,32.97999954223633,32.97999954223633,32.97999954223633,32.97999954223633,30.436779022216797,0,,,,,,,,
2020-01-30,33.040000915527344,33.040000915527344,33.040000915527344,33.040000915527344,30.49214744567871,100,,,,,,,,
2020-01-31,32.09000015258789,32.09000015258789,31.959999084472656,31.959999084472656,29.495437622070312,200,,,,,,,,
2020-02-03,31.959999084472656,31.959999084472656,31.959999084472656,31.959999084472656,29.495437622070312,0,,,,,,,,
2020-02-04,33.310001373291016,33.310001373291016,33.310001373291016,33.310001373291016,30.741336822509766,100,,,,,,,,
2020-02-05,32.90999984741211,33.060001373291016,32.90999984741211,32.939998626708984,30.399866104125977,4200,,,,,,,,
2020-02-06,33.5,33.5,33.5,33.5,30.91667366027832,800,,,,,,,,
2020-02-07,33.27000045776367,33.27000045776367,33.27000045776367,33.27000045776367,30.704410552978516,100,,,,,,,,
2020-02-10,33.27000045776367,33.27000045776367,33.27000045776367,33.27000045776367,30.704410552978516,0,,,,,,,,
2020-02-11,33.5,33.5,32.400001525878906,32.619998931884766,30.10453224182129,1200,,,,,,,,
2020-02-12,33.38999938964844,34.16999816894531,33.290000915527344,34.16999816894531,31.53502082824707,1600,,,,,,,,
2020-02-13,35.0,36.650001525878906,34.22999954223633,35.599998474121094,32.854736328125,2600800,,,,,,,,
2020-02-14,35.66999816894531,36.650001525878906,35.0099983215332,36.29999923706055,33.500755310058594,639100,,,,,,,,
2020-02-18,36.189998626708984,36.470001220703125,36.060001373291016,36.119998931884766,33.33463668823242,348200,,,,,,,,
2020-02-19,36.15999984741211,36.22999954223633,35.45000076293945,35.56999969482422,32.82704162597656,264300,,,,,,,,
2020-02-20,35.43000030517578,35.97999954223633,35.43000030517578,35.959999084472656,33.186981201171875,155400,,,,,,,,
2020-02-21,35.66999816894531,35.88999938964844,35.41999816894531,35.5099983215332,32.77167892456055,177000,,,,,,,,
2020-02-24,34.7400016784668,34.7400016784668,34.06999969482422,34.38999938964844,31.73805046081543,173300,,,,,,,,
2020-02-25,34.54999923706055,34.58000183105469,33.380001068115234,33.58000183105469,30.99050521850586,173000,,,,,,,,
2020-02-26,33.65999984741211,33.97999954223633,32.709999084472656,32.77000045776367,30.242971420288086,214900,,,,,,,,
2020-02-27,32.06999969482422,32.5,31.579999923706055,31.790000915527344,29.338546752929688,78700,,,,,,,,
2020-02-28,31.010000228881836,31.260000228881836,29.93000030517578,31.049999237060547,28.655607223510742,75600,,,,,,,,
2020-03-02,30.950000762939453,31.299999237060547,30.65999984741211,31.079999923706055,28.68329429626465,188200,,,,,,,,
2020-03-03,31.450000762939453,31.739999771118164,30.31999969482422,30.3700008392334,28.02804183959961,135000,,,,,,,,
2020-03-04,30.8700008392334,30.8700008392334,29.84000015258789,30.260000228881836,27.92652702331543,87900,,,,,,,,
2020-03-05,29.790000915527344,29.989999771118164,29.010000228881836,29.15999984741211,26.91135025024414,237400,,,,,,,,
2020-03-06,28.670000076293945,29.219999313354492,28.610000610351562,28.8700008392334,26.64371681213379,80300,,,,,,,,
2020-03-09,27.8700008392334,27.8700008392334,23.809999465942383,25.59000015258789,23.616653442382812,164500,,,,,,,,
2020-03-10,26.15999984741211,27.139999389648438,25.940000534057617,26.709999084472656,24.650283813476562,101400,,,,,,,,
2020-03-11,26.479999542236328,26.670000076293945,25.719999313354492,26.09000015258789,24.078092575073242,275600,,,,,,,,
2020-03-12,24.639999389648438,24.639999389648438,22.43000030517578,22.600000381469727,20.857221603393555,95900,,,,,,,,
2020-03-13,23.3799991607666,24.969999313354492,23.149999618530273,24.969999313354492,23.04446792602539,231200,,,,,,,,
2020-03-16,23.969999313354492,23.969999313354492,20.469999313354492,20.610000610351562,19.02067756652832,144200,,,,,,,,
2020-03-17,20.700000762939453,21.639999389648438,18.75,18.75,17.304109573364258,270400,,,,,,,,
2020-03-18,17.6200008392334,18.260000228881836,15.239999771118164,17.079999923706055,15.762895584106445,180500,,,,,,,,
2020-03-19,17.0,19.06999969482422,16.780000686645508,18.389999389648438,16.971872329711914,94400,,,,,,,,
2020-03-20,18.540000915527344,20.760000228881836,18.100000381469727,18.350000381469727,16.934955596923828,113000,,,,,,,,
2020-03-23,18.040000915527344,18.43000030517578,17.020000457763672,17.18000030517578,15.855181694030762,133200,,,,,,,,
2020-03-24,17.68000030517578,19.93000030517578,17.68000030517578,19.760000228881836,18.236225128173828,60100,,,,,,,,
2020-03-25,20.110000610351562,21.969999313354492,19.389999389648438,20.299999237060547,18.734586715698242,83900,,,,,,,,
2020-03-26,20.6200008392334,22.350000381469727,20.6200008392334,21.420000076293945,19.76821517944336,137800,,,,,,,,
2020-03-27,20.889999389648438,21.719999313354492,19.68000030517578,21.110000610351562,19.48212242126465,54200,,,,,,,,
2020-03-30,20.579999923706055,21.559999465942383,19.940000534057617,21.3799991607666,19.906700134277344,57800,,,,,,,,
2020-03-31,21.059999465942383,22.989999771118164,21.059999465942383,22.09000015258789,20.567777633666992,73600,,,,,,,,
2020-04-01,21.579999923706055,21.579999923706055,20.510000228881836,20.780000686645508,19.348047256469727,46500,,,,,,,,
2020-04-02,20.739999771118164,21.950000762939453,20.739999771118164,21.329999923706055,19.86014747619629,31800,,,,,,,,
2020-04-03,21.6200008392334,21.6200008392334,19.950000762939453,20.6299991607666,19.2083797454834,43400,,,,,,,,
2020-04-06,21.549999237060547,21.829999923706055,20.790000915527344,21.309999465942383,19.841524124145508,58300,,,,,,,,
2020-04-07,22.1200008392334,23.079999923706055,22.110000610351562,22.559999465942383,21.005382537841797,82400,,,,,,,,
2020-04-08,22.389999389648438,24.18000030517578,22.389999389648438,24.049999237060547,22.39270782470703,113700,,,,,,,,
2020-04-09,24.690000534057617,25.40999984741211,24.100000381469727,24.610000610351562,22.91411781311035,123400,,,,,,,,
2020-04-13,24.260000228881836,24.399999618530273,23.309999465942383,23.969999313354492,22.318220138549805,50200,,,,,,,,
2020-04-14,23.850000381469727,24.450000762939453,23.219999313354492,23.610000610351562,21.983028411865234,61500,,,,,,,,
2020-04-15,23.059999465942383,23.190000534057617,22.329999923706055,22.420000076293945,20.875032424926758,38900,,,,,,,,
2020-04-16,22.329999923706055,23.459999084472656,22.329999923706055,23.200000762939453,21.60128402709961,57800,,,,,,,,
2020-04-17,23.889999389648438,24.639999389648438,23.639999389648438,24.5,22.81169891357422,54400,,,,,,,,
2020-04-20,24.06999969482422,24.290000915527344,23.399999618530273,23.6299991607666,22.001651763916016,28200,,,,,,,,
2020-04-21,23.1299991607666,23.389999389648438,22.690000534057617,22.829999923706055,21.25678253173828,44200,,,,,,,,
2020-04-22,23.18000030517578,25.350000381469727,23.18000030517578,25.200000762939453,23.463464736938477,202900,,,,,,,,
2020-04-23,25.239999771118164,25.6299991607666,24.959999084472656,25.489999771118164,23.73348045349121,73600,,,,,,,,
2020-04-24,25.860000610351562,25.969999313354492,25.260000228881836,25.850000381469727,24.068675994873047,254600,,,,,,,,
2020-04-27,26.139999389648438,27.079999923706055,25.989999771118164,27.020000457763672,25.15804672241211,227900,,,,,,,,
2020-04-28,27.780000686645508,28.1200008392334,26.719999313354492,27.229999542236328,25.35357093811035,69100,,,,,,,,
2020-04-29,27.829999923706055,29.229999542236328,27.59000015258789,28.56999969482422,26.601232528686523,103000,,,,,,,,
2020-04-30,28.0,28.18000030517578,27.56999969482422,27.75,25.83774185180664,223300,,,,,,,,
2020-05-01,26.90999984741211,27.290000915527344,26.59000015258789,27.170000076293945,25.29770851135254,94100,,,,,,,,
