date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'KRSP')","('high', 'KRSP')","('low', 'KRSP')","('close', 'KRSP')","('adj_close', 'KRSP')","('volume', 'KRSP')","('currency', '')"
2025-11-24,10.699999809265137,10.699999809265137,10.350000381469727,10.399999618530273,10.399999618530273,64200,,,,,,,,
2025-11-25,10.350000381469727,10.449999809265137,10.350000381469727,10.40999984741211,10.40999984741211,7600,,,,,,,,
2025-11-26,10.350000381469727,10.430000305175781,10.350000381469727,10.399999618530273,10.399999618530273,900,,,,,,,,
2025-11-28,10.5,10.5,10.399999618530273,10.5,10.5,1100,,,,,,,,
2025-12-01,10.380000114440918,10.399999618530273,10.350000381469727,10.399999618530273,10.399999618530273,6200,,,,,,,,
2025-12-02,10.4399995803833,10.5,10.4399995803833,10.5,10.5,2500,,,,,,,,
2025-12-03,10.5,10.5,10.5,10.5,10.5,0,,,,,,,,
2025-12-04,10.5,10.5,10.5,10.5,10.5,0,,,,,,,,
2025-12-05,10.399999618530273,10.399999618530273,10.350000381469727,10.362000465393066,10.362000465393066,2900,,,,,,,,
2025-12-08,10.350000381469727,10.350000381469727,10.300000190734863,10.329999923706055,10.329999923706055,3300,,,,,,,,
2025-12-09,10.319999694824219,10.319999694824219,10.319999694824219,10.319999694824219,10.319999694824219,200,,,,,,,,
2025-12-10,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,200,,,,,,,,
2025-12-11,10.359999656677246,10.359999656677246,10.329999923706055,10.359999656677246,10.359999656677246,29100,,,,,,,,
2025-12-12,10.399999618530273,10.399999618530273,10.359999656677246,10.359999656677246,10.359999656677246,5400,,,,,,,,
2025-12-15,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,31200,,,,,,,,
2025-12-16,10.350000381469727,10.350000381469727,10.319999694824219,10.350000381469727,10.350000381469727,4200,,,,,,,,
2025-12-17,10.329999923706055,10.34000015258789,10.319999694824219,10.34000015258789,10.34000015258789,14500,,,,,,,,
2025-12-18,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,500,,,,,,,,
2025-12-19,10.359999656677246,10.359999656677246,10.34000015258789,10.34000015258789,10.34000015258789,5200,,,,,,,,
2025-12-22,10.5,10.5,10.289999961853027,10.300000190734863,10.300000190734863,13100,,,,,,,,
2025-12-23,10.300000190734863,10.300000190734863,10.25,10.25,10.25,26300,,,,,,,,
2025-12-24,10.270000457763672,10.289999961853027,10.260000228881836,10.279999732971191,10.279999732971191,27100,,,,,,,,
2025-12-26,10.350000381469727,10.350000381469727,10.279999732971191,10.279999732971191,10.279999732971191,1100,,,,,,,,
2025-12-29,10.210000038146973,10.256999969482422,10.210000038146973,10.220000267028809,10.220000267028809,9200,,,,,,,,
2025-12-30,10.239999771118164,10.289999961853027,10.239999771118164,10.25,10.25,34300,,,,,,,,
,KRSP,KRSP,KRSP,KRSP,KRSP,KRSP,,,,,,,,
