date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SHLRF')","('high', 'SHLRF')","('low', 'SHLRF')","('close', 'SHLRF')","('adj_close', 'SHLRF')","('volume', 'SHLRF')","('currency', '')"
2020-01-02,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-03,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-06,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-07,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-08,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-09,245.0,245.0,245.0,245.0,217.3529510498047,0,,,,,,,,
2020-01-10,240.0,240.0,240.0,240.0,212.91714477539062,100,,,,,,,,
2020-01-13,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-14,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-15,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-16,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-17,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-21,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-22,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-23,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-24,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-27,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-28,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-29,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-30,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-01-31,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-03,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-04,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-05,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-06,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-07,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-10,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-11,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-12,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-13,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-14,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-18,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-19,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-20,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-21,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-24,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-25,240.0,240.0,240.0,240.0,212.91714477539062,0,,,,,,,,
2020-02-26,230.0,230.0,230.0,230.0,204.0456085205078,100,,,,,,,,
2020-02-27,230.0,230.0,230.0,230.0,204.0456085205078,0,,,,,,,,
2020-02-28,230.0,230.0,230.0,230.0,204.0456085205078,0,,,,,,,,
2020-03-02,220.1699981689453,220.1699981689453,220.1699981689453,220.1699981689453,195.32489013671875,100,,,,,,,,
2020-03-03,220.1699981689453,220.1699981689453,220.1699981689453,220.1699981689453,195.32489013671875,0,,,,,,,,
2020-03-04,225.0,225.0,225.0,225.0,199.60983276367188,100,,,,,,,,
2020-03-05,211.72999572753906,211.72999572753906,211.72999572753906,211.72999572753906,187.8372802734375,200,,,,,,,,
2020-03-06,214.0,214.0,214.0,214.0,189.85113525390625,100,,,,,,,,
2020-03-09,214.0,214.0,214.0,214.0,189.85113525390625,0,,,,,,,,
2020-03-10,212.92999267578125,212.92999267578125,212.92999267578125,212.92999267578125,188.90188598632812,100,,,,,,,,
2020-03-11,209.69000244140625,209.69000244140625,209.69000244140625,209.69000244140625,186.02749633789062,200,,,,,,,,
2020-03-12,209.69000244140625,209.69000244140625,209.69000244140625,209.69000244140625,186.02749633789062,0,,,,,,,,
2020-03-13,209.69000244140625,209.69000244140625,209.69000244140625,209.69000244140625,186.02749633789062,0,,,,,,,,
2020-03-16,210.0,210.0,210.0,210.0,186.3025360107422,100,,,,,,,,
2020-03-17,205.0,205.0,205.0,205.0,181.8667449951172,100,,,,,,,,
2020-03-18,192.75,192.75,192.75,192.75,170.99908447265625,100,,,,,,,,
2020-03-19,192.75,192.75,192.75,192.75,170.99908447265625,0,,,,,,,,
2020-03-20,192.75,192.75,192.75,192.75,170.99908447265625,0,,,,,,,,
2020-03-23,192.75,192.75,192.75,192.75,174.6719512939453,0,,,,,,,,
2020-03-24,204.8300018310547,204.8300018310547,196.0,196.0,177.61715698242188,1000,,,,,,,,
2020-03-25,213.5399932861328,213.5399932861328,213.5399932861328,213.5399932861328,193.5120391845703,100,,,,,,,,
2020-03-26,205.75,211.0,205.75,211.0,191.21029663085938,300,,,,,,,,
2020-03-27,212.0,212.0,212.0,212.0,192.1165008544922,100,,,,,,,,
2020-03-30,212.0,212.0,212.0,212.0,192.1165008544922,0,,,,,,,,
2020-03-31,212.0,212.0,212.0,212.0,192.1165008544922,0,,,,,,,,
2020-04-01,212.0,212.0,212.0,212.0,192.1165008544922,0,,,,,,,,
2020-04-02,199.5,199.5,199.5,199.5,180.78887939453125,100,,,,,,,,
2020-04-03,199.5,199.5,199.5,199.5,180.78887939453125,0,,,,,,,,
2020-04-06,199.5,199.5,199.5,199.5,180.78887939453125,0,,,,,,,,
2020-04-07,199.5,199.5,199.5,199.5,180.78887939453125,0,,,,,,,,
2020-04-08,199.5,199.5,199.5,199.5,180.78887939453125,0,,,,,,,,
2020-04-09,217.0,217.0,217.0,217.0,196.64755249023438,100,,,,,,,,
2020-04-13,217.0,217.0,217.0,217.0,196.64755249023438,0,,,,,,,,
2020-04-14,217.0,217.0,217.0,217.0,196.64755249023438,0,,,,,,,,
2020-04-15,217.0,217.0,217.0,217.0,196.64755249023438,0,,,,,,,,
2020-04-16,217.0,217.0,217.0,217.0,196.64755249023438,0,,,,,,,,
