date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MTA')","('high', 'MTA')","('low', 'MTA')","('close', 'MTA')","('adj_close', 'MTA')","('volume', 'MTA')","('currency', '')"
2020-01-02,5.704999923706055,5.840000152587891,5.400000095367432,5.809999942779541,5.7670674324035645,119700,,,,,,,,
2020-01-03,5.840000152587891,6.300000190734863,5.742000102996826,5.929999828338623,5.886180400848389,196000,,,,,,,,
2020-01-06,6.0,6.409999847412109,5.960000038146973,6.043000221252441,5.998345851898193,170300,,,,,,,,
2020-01-07,6.409999847412109,6.409999847412109,5.892000198364258,5.947999954223633,5.904047966003418,142800,,,,,,,,
2020-01-08,6.539999961853027,6.579999923706055,5.510000228881836,5.609000205993652,5.567553520202637,127900,,,,,,,,
2020-01-09,5.659999847412109,5.690000057220459,5.340000152587891,5.543000221252441,5.502040386199951,140500,,,,,,,,
2020-01-10,5.599999904632568,6.039999961853027,5.550000190734863,5.980000019073486,5.935811519622803,99200,,,,,,,,
2020-01-13,6.309999942779541,6.309999942779541,5.75,5.809999942779541,5.7670674324035645,105500,,,,,,,,
2020-01-14,5.710000038146973,5.800000190734863,5.690000057220459,5.775000095367432,5.732326030731201,75200,,,,,,,,
2020-01-15,6.139999866485596,6.150000095367432,5.829999923706055,5.920000076293945,5.876255512237549,121500,,,,,,,,
2020-01-16,5.949999809265137,6.380000114440918,5.900000095367432,6.300000190734863,6.25344705581665,279200,,,,,,,,
2020-01-17,6.389999866485596,6.599999904632568,6.050000190734863,6.070000171661377,6.025146961212158,270000,,,,,,,,
2020-01-21,6.150000095367432,6.300000190734863,5.960000038146973,6.010000228881836,5.965590000152588,163300,,,,,,,,
2020-01-22,6.0,6.050000190734863,5.699999809265137,5.730999946594238,5.6886515617370605,115800,,,,,,,,
2020-01-23,5.699999809265137,5.961999893188477,5.699999809265137,5.75,5.7075114250183105,109100,,,,,,,,
2020-01-24,5.699999809265137,5.744999885559082,5.349999904632568,5.46999979019165,5.429579734802246,254800,,,,,,,,
