date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RACE')","('high', 'RACE')","('low', 'RACE')","('close', 'RACE')","('adj_close', 'RACE')","('volume', 'RACE')","('currency', '')"
2020-01-02,167.0500030517578,168.7740020751953,166.6300048828125,168.50999450683594,161.78036499023438,195800,,,,,,,,
2020-01-03,166.75999450683594,167.75,166.26800537109375,166.72999572753906,160.07142639160156,134600,,,,,,,,
2020-01-06,164.75999450683594,166.2899932861328,164.75999450683594,165.85000610351562,159.22659301757812,169900,,,,,,,,
2020-01-07,165.97999572753906,166.1199951171875,165.17999267578125,165.22000122070312,158.6217498779297,309300,,,,,,,,
2020-01-08,167.0399932861328,168.97000122070312,166.75,168.5399932861328,161.80917358398438,261400,,,,,,,,
2020-01-09,170.75999450683594,171.0,169.0,169.91000366210938,163.12445068359375,283500,,,,,,,,
2020-01-10,174.4199981689453,174.52000427246094,170.3300018310547,171.30999755859375,164.46853637695312,602200,,,,,,,,
2020-01-13,172.7100067138672,174.2899932861328,172.16000366210938,174.2899932861328,167.32952880859375,375600,,,,,,,,
2020-01-14,173.6699981689453,174.0749969482422,171.1999969482422,171.5500030517578,164.698974609375,483700,,,,,,,,
2020-01-15,172.9600067138672,173.3249969482422,171.8300018310547,172.5800018310547,165.6878204345703,983400,,,,,,,,
2020-01-16,172.5800018310547,173.41000366210938,170.5749969482422,173.41000366210938,166.48463439941406,495300,,,,,,,,
2020-01-17,174.99000549316406,175.39999389648438,173.3800048828125,173.94000244140625,166.99349975585938,190800,,,,,,,,
2020-01-21,172.35000610351562,174.3000030517578,171.67999267578125,174.14999389648438,167.19512939453125,362800,,,,,,,,
2020-01-22,175.0,175.27999877929688,172.5800018310547,173.1199951171875,166.20623779296875,276500,,,,,,,,
2020-01-23,171.9600067138672,172.88999938964844,170.72999572753906,172.25999450683594,165.38059997558594,268500,,,,,,,,
2020-01-24,173.77999877929688,174.01499938964844,171.86000061035156,172.47999572753906,165.59181213378906,196800,,,,,,,,
2020-01-27,167.39999389648438,168.6699981689453,166.625,168.0500030517578,161.33871459960938,453900,,,,,,,,
2020-01-28,169.50999450683594,172.07000732421875,169.4499969482422,171.25,164.41091918945312,241100,,,,,,,,
2020-01-29,172.11000061035156,173.1699981689453,171.25999450683594,172.64999389648438,165.75502014160156,283100,,,,,,,,
2020-01-30,170.47999572753906,172.55999755859375,170.0399932861328,172.47999572753906,165.59181213378906,337300,,,,,,,,
2020-01-31,169.41000366210938,170.4199981689453,168.55999755859375,168.82000732421875,162.07798767089844,597500,,,,,,,,
2020-02-03,168.66000366210938,176.5800018310547,168.3249969482422,170.25,163.4508819580078,544100,,,,,,,,
2020-02-04,168.25,169.02999877929688,164.41000366210938,168.52999877929688,161.799560546875,1526600,,,,,,,,
2020-02-05,169.5399932861328,169.8300018310547,166.83999633789062,167.8800048828125,161.17552185058594,833700,,,,,,,,
2020-02-06,167.58999633789062,170.0500030517578,167.00999450683594,168.8000030517578,162.05877685546875,512700,,,,,,,,
