date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HL-PB')","('high', 'HL-PB')","('low', 'HL-PB')","('close', 'HL-PB')","('adj_close', 'HL-PB')","('volume', 'HL-PB')","('currency', '')"
2020-01-02,51.869998931884766,51.869998931884766,51.4900016784668,51.4900016784668,35.35258483886719,442,,,,,,,,
2020-01-03,51.70750045776367,51.70750045776367,51.70750045776367,51.70750045776367,35.501922607421875,285,,,,,,,,
2020-01-06,51.9900016784668,51.9900016784668,51.62739944458008,51.66999816894531,35.47616195678711,800,,,,,,,,
2020-01-07,51.9900016784668,52.5,51.9900016784668,52.5,36.046043395996094,893,,,,,,,,
2020-01-08,55.0,55.823299407958984,55.0,55.823299407958984,38.32777786254883,739,,,,,,,,
2020-01-09,55.823299407958984,55.823299407958984,55.823299407958984,55.823299407958984,38.32777786254883,0,,,,,,,,
2020-01-10,53.064998626708984,53.064998626708984,53.064998626708984,53.064998626708984,36.43396759033203,103,,,,,,,,
2020-01-13,53.5,53.5,53.5,53.5,36.732627868652344,103,,,,,,,,
2020-01-14,53.5,53.5,53.5,53.5,36.732627868652344,0,,,,,,,,
2020-01-15,53.5,53.5,53.5,53.5,36.732627868652344,0,,,,,,,,
2020-01-16,53.5,53.5,53.5,53.5,36.732627868652344,0,,,,,,,,
2020-01-17,53.5,53.5,53.5,53.5,36.732627868652344,0,,,,,,,,
2020-01-21,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,108,,,,,,,,
2020-01-22,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-23,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-24,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-27,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-28,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-29,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422,36.609039306640625,0,,,,,,,,
2020-01-30,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,200,,,,,,,,
2020-01-31,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-03,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-04,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-05,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-06,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-07,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-10,53.06380081176758,53.06380081176758,53.06380081176758,53.06380081176758,36.433135986328125,0,,,,,,,,
2020-02-11,52.040000915527344,54.709999084472656,52.040000915527344,54.60390090942383,37.49055099487305,1010,,,,,,,,
2020-02-12,54.5,54.95000076293945,54.5,54.95000076293945,37.728187561035156,250,,,,,,,,
2020-02-13,54.95000076293945,54.95000076293945,54.95000076293945,54.95000076293945,37.728187561035156,0,,,,,,,,
