date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ORLA')","('high', 'ORLA')","('low', 'ORLA')","('close', 'ORLA')","('adj_close', 'ORLA')","('volume', 'ORLA')","('currency', '')"
2020-01-02,1.5490000247955322,1.5490000247955322,1.5099999904632568,1.5099999904632568,1.5099999904632568,2500,,,,,,,,
2020-01-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0,,,,,,,,
2020-01-06,1.4600000381469727,1.4600000381469727,1.409000039100647,1.4470000267028809,1.4470000267028809,5300,,,,,,,,
2020-01-07,1.402999997138977,1.402999997138977,1.4019999504089355,1.4019999504089355,1.4019999504089355,900,,,,,,,,
2020-01-08,1.4019999504089355,1.4110000133514404,1.3940000534057617,1.4110000133514404,1.4110000133514404,1700,,,,,,,,
2020-01-09,1.3880000114440918,1.3910000324249268,1.3880000114440918,1.3910000324249268,1.3910000324249268,4500,,,,,,,,
2020-01-10,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,5000,,,,,,,,
2020-01-13,1.5499999523162842,1.5499999523162842,1.4919999837875366,1.5149999856948853,1.5149999856948853,2300,,,,,,,,
2020-01-14,1.4819999933242798,1.4819999933242798,1.4819999933242798,1.4819999933242798,1.4819999933242798,1900,,,,,,,,
2020-01-15,1.5520000457763672,1.5700000524520874,1.5520000457763672,1.5549999475479126,1.5549999475479126,7800,,,,,,,,
2020-01-16,1.5420000553131104,1.5420000553131104,1.5420000553131104,1.5420000553131104,1.5420000553131104,500,,,,,,,,
2020-01-17,1.600000023841858,1.6100000143051147,1.5800000429153442,1.5800000429153442,1.5800000429153442,4600,,,,,,,,
2020-01-21,1.6510000228881836,1.6510000228881836,1.6510000228881836,1.6510000228881836,1.6510000228881836,1800,,,,,,,,
2020-01-22,1.687000036239624,1.7619999647140503,1.687000036239624,1.7239999771118164,1.7239999771118164,14800,,,,,,,,
2020-01-23,1.7430000305175781,1.7640000581741333,1.7430000305175781,1.7640000581741333,1.7640000581741333,5300,,,,,,,,
2020-01-24,1.781999945640564,1.7979999780654907,1.781999945640564,1.7979999780654907,1.7979999780654907,2700,,,,,,,,
