date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HDB')","('high', 'HDB')","('low', 'HDB')","('close', 'HDB')","('adj_close', 'HDB')","('volume', 'HDB')","('currency', '')"
2020-01-02,31.93000030517578,32.095001220703125,31.649999618530273,31.850000381469727,29.58572769165039,2231400,,,,,,,,
2020-01-03,31.46500015258789,31.545000076293945,30.979999542236328,31.0049991607666,28.800796508789062,2983400,,,,,,,,
2020-01-06,30.5,30.655000686645508,30.184999465942383,30.454999923706055,28.28989601135254,4646000,,,,,,,,
2020-01-07,30.639999389648438,30.735000610351562,30.344999313354492,30.344999313354492,28.187719345092773,2456800,,,,,,,,
2020-01-08,30.354999542236328,30.815000534057617,30.350000381469727,30.670000076293945,28.489612579345703,3488200,,,,,,,,
2020-01-09,31.024999618530273,31.270000457763672,30.985000610351562,31.260000228881836,29.037668228149414,2912000,,,,,,,,
2020-01-10,31.354999542236328,31.405000686645508,30.940000534057617,30.950000762939453,28.74970817565918,2444800,,,,,,,,
2020-01-13,31.375,31.56999969482422,31.225000381469727,31.424999237060547,29.190937042236328,3452400,,,,,,,,
2020-01-14,31.424999237060547,31.614999771118164,31.264999389648438,31.405000686645508,29.172359466552734,2022400,,,,,,,,
2020-01-15,31.459999084472656,31.56999969482422,31.075000762939453,31.229999542236328,29.009803771972656,1926400,,,,,,,,
2020-01-16,31.405000686645508,31.405000686645508,30.795000076293945,30.81999969482422,28.628952026367188,3442600,,,,,,,,
2020-01-17,30.850000381469727,30.93000030517578,30.674999237060547,30.8700008392334,28.675397872924805,2312200,,,,,,,,
2020-01-21,30.475000381469727,30.475000381469727,29.485000610351562,29.545000076293945,27.444591522216797,5364800,,,,,,,,
2020-01-22,29.795000076293945,29.985000610351562,29.399999618530273,29.450000762939453,27.35634994506836,4498600,,,,,,,,
2020-01-23,29.540000915527344,29.635000228881836,29.325000762939453,29.3700008392334,27.282033920288086,3013200,,,,,,,,
2020-01-24,29.674999237060547,29.989999771118164,29.5049991607666,29.614999771118164,27.509614944458008,3098200,,,,,,,,
2020-01-27,29.15999984741211,29.184999465942383,28.954999923706055,29.030000686645508,26.966205596923828,2162800,,,,,,,,
2020-01-28,29.100000381469727,29.21500015258789,28.735000610351562,29.0,26.938337326049805,3335000,,,,,,,,
2020-01-29,29.270000457763672,29.270000457763672,28.90999984741211,29.05500030517578,26.98942756652832,4522200,,,,,,,,
2020-01-30,28.854999542236328,28.920000076293945,28.600000381469727,28.795000076293945,26.747909545898438,3017600,,,,,,,,
