date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SBET')","('high', 'SBET')","('low', 'SBET')","('close', 'SBET')","('adj_close', 'SBET')","('volume', 'SBET')","('currency', '')"
2020-01-02,237.60000610351562,273.6000061035156,237.60000610351562,261.6000061035156,261.6000061035156,299,,,,,,,,
2020-01-03,244.8000030517578,261.6000061035156,244.8000030517578,252.0,252.0,161,,,,,,,,
2020-01-06,237.60000610351562,254.39999389648438,237.60000610351562,247.1999969482422,247.1999969482422,18,,,,,,,,
2020-01-07,252.0,256.79998779296875,237.60000610351562,252.0,252.0,106,,,,,,,,
2020-01-08,254.39999389648438,256.79998779296875,240.0,242.39999389648438,242.39999389648438,20,,,,,,,,
2020-01-09,247.1999969482422,254.39999389648438,244.8000030517578,249.60000610351562,249.60000610351562,23,,,,,,,,
2020-01-10,247.1999969482422,256.79998779296875,240.0,256.79998779296875,256.79998779296875,147,,,,,,,,
2020-01-13,249.60000610351562,256.79998779296875,244.8000030517578,249.60000610351562,249.60000610351562,71,,,,,,,,
2020-01-14,254.39999389648438,268.79998779296875,247.1999969482422,264.0,264.0,134,,,,,,,,
2020-01-15,261.6000061035156,268.79998779296875,254.39999389648438,266.3999938964844,266.3999938964844,93,,,,,,,,
2020-01-16,266.3999938964844,273.6000061035156,261.6000061035156,266.3999938964844,266.3999938964844,159,,,,,,,,
2020-01-17,268.79998779296875,268.79998779296875,264.0,268.79998779296875,268.79998779296875,51,,,,,,,,
2020-01-21,278.3999938964844,283.20001220703125,264.0,264.0,264.0,38,,,,,,,,
2020-01-22,252.0,266.3999938964844,235.1999969482422,242.39999389648438,242.39999389648438,389,,,,,,,,
2020-01-23,247.1999969482422,254.39999389648438,230.39999389648438,254.39999389648438,254.39999389648438,221,,,,,,,,
2020-01-24,242.39999389648438,254.39999389648438,237.60000610351562,254.39999389648438,254.39999389648438,25,,,,,,,,
2020-01-27,240.0,288.0,240.0,288.0,288.0,611,,,,,,,,
2020-01-28,290.3999938964844,295.20001220703125,264.0,268.79998779296875,268.79998779296875,585,,,,,,,,
2020-01-29,259.20001220703125,273.6000061035156,252.0,264.0,264.0,190,,,,,,,,
2020-01-30,256.79998779296875,256.79998779296875,242.39999389648438,254.39999389648438,254.39999389648438,161,,,,,,,,
2020-01-31,252.0,268.79998779296875,242.39999389648438,261.6000061035156,261.6000061035156,19,,,,,,,,
2020-02-03,254.39999389648438,266.3999938964844,252.0,256.79998779296875,256.79998779296875,127,,,,,,,,
2020-02-04,249.60000610351562,261.6000061035156,247.1999969482422,261.6000061035156,261.6000061035156,79,,,,,,,,
2020-02-05,264.0,278.3999938964844,259.20001220703125,271.20001220703125,271.20001220703125,156,,,,,,,,
2020-02-06,276.0,280.79998779296875,271.20001220703125,280.79998779296875,280.79998779296875,56,,,,,,,,
2020-02-07,280.79998779296875,288.0,273.6000061035156,285.6000061035156,285.6000061035156,116,,,,,,,,
2020-02-10,285.6000061035156,285.6000061035156,264.0,264.0,264.0,39,,,,,,,,
2020-02-11,264.0,278.3999938964844,264.0,278.3999938964844,278.3999938964844,57,,,,,,,,
2020-02-12,278.3999938964844,278.3999938964844,256.79998779296875,261.6000061035156,261.6000061035156,33,,,,,,,,
2020-02-13,266.3999938964844,268.79998779296875,266.3999938964844,268.79998779296875,268.79998779296875,23,,,,,,,,
2020-02-14,256.79998779296875,268.79998779296875,249.60000610351562,261.6000061035156,261.6000061035156,24,,,,,,,,
2020-02-18,261.6000061035156,261.6000061035156,261.6000061035156,261.6000061035156,261.6000061035156,0,,,,,,,,
2020-02-19,254.39999389648438,295.20001220703125,252.0,276.0,276.0,874,,,,,,,,
2020-02-20,268.79998779296875,271.20001220703125,266.3999938964844,271.20001220703125,271.20001220703125,21,,,,,,,,
2020-02-21,276.0,276.0,266.3999938964844,276.0,276.0,73,,,,,,,,
2020-02-24,259.20001220703125,273.6000061035156,259.20001220703125,268.79998779296875,268.79998779296875,45,,,,,,,,
2020-02-25,271.20001220703125,271.20001220703125,254.39999389648438,256.79998779296875,256.79998779296875,55,,,,,,,,
2020-02-26,256.79998779296875,268.79998779296875,247.1999969482422,268.79998779296875,268.79998779296875,90,,,,,,,,
2020-02-27,254.39999389648438,254.39999389648438,240.0,242.39999389648438,242.39999389648438,118,,,,,,,,
2020-02-28,240.0,244.8000030517578,237.60000610351562,242.39999389648438,242.39999389648438,108,,,,,,,,
2020-03-02,242.39999389648438,254.39999389648438,242.39999389648438,254.39999389648438,254.39999389648438,9,,,,,,,,
2020-03-03,254.39999389648438,261.6000061035156,247.1999969482422,247.1999969482422,247.1999969482422,68,,,,,,,,
2020-03-04,252.0,261.6000061035156,252.0,259.20001220703125,259.20001220703125,14,,,,,,,,
2020-03-05,254.39999389648438,264.0,244.8000030517578,254.39999389648438,254.39999389648438,202,,,,,,,,
2020-03-06,254.39999389648438,261.6000061035156,244.8000030517578,249.60000610351562,249.60000610351562,32,,,,,,,,
2020-03-09,218.39999389648438,259.20001220703125,218.39999389648438,240.0,240.0,84,,,,,,,,
2020-03-10,232.8000030517578,244.8000030517578,232.8000030517578,244.8000030517578,244.8000030517578,8,,,,,,,,
2020-03-11,244.8000030517578,244.8000030517578,235.1999969482422,235.1999969482422,235.1999969482422,21,,,,,,,,
2020-03-12,235.1999969482422,235.1999969482422,223.1999969482422,225.60000610351562,225.60000610351562,87,,,,,,,,
2020-03-13,225.60000610351562,228.0,204.0,223.1999969482422,223.1999969482422,56,,,,,,,,
2020-03-16,220.8000030517578,232.8000030517578,196.8000030517578,228.0,228.0,20,,,,,,,,
2020-03-17,204.0,230.39999389648438,194.39999389648438,230.39999389648438,230.39999389648438,25,,,,,,,,
2020-03-18,216.0,216.0,182.39999389648438,211.1999969482422,211.1999969482422,78,,,,,,,,
2020-03-19,211.1999969482422,216.0,211.1999969482422,216.0,216.0,6,,,,,,,,
2020-03-20,216.0,216.0,182.39999389648438,196.8000030517578,196.8000030517578,41,,,,,,,,
2020-03-23,196.8000030517578,196.8000030517578,180.0,194.39999389648438,194.39999389648438,14,,,,,,,,
2020-03-24,192.0,211.1999969482422,180.0,196.8000030517578,196.8000030517578,336,,,,,,,,
2020-03-25,208.8000030517578,208.8000030517578,201.60000610351562,206.39999389648438,206.39999389648438,14,,,,,,,,
2020-03-26,199.1999969482422,206.39999389648438,192.0,192.0,192.0,128,,,,,,,,
2020-03-27,204.0,204.0,182.39999389648438,199.1999969482422,199.1999969482422,6,,,,,,,,
2020-03-30,201.60000610351562,228.0,192.0,216.0,216.0,135,,,,,,,,
2020-03-31,220.8000030517578,228.0,206.39999389648438,223.1999969482422,223.1999969482422,82,,,,,,,,
2020-04-01,216.0,225.60000610351562,213.60000610351562,225.60000610351562,225.60000610351562,45,,,,,,,,
2020-04-02,213.60000610351562,225.60000610351562,213.60000610351562,225.60000610351562,225.60000610351562,5,,,,,,,,
2020-04-03,216.0,225.60000610351562,213.60000610351562,218.39999389648438,218.39999389648438,38,,,,,,,,
2020-04-06,218.39999389648438,225.60000610351562,218.39999389648438,220.8000030517578,220.8000030517578,5,,,,,,,,
2020-04-07,223.1999969482422,228.0,216.0,225.60000610351562,225.60000610351562,23,,,,,,,,
2020-04-08,225.60000610351562,225.60000610351562,216.0,225.60000610351562,225.60000610351562,19,,,,,,,,
2020-04-09,216.0,225.60000610351562,216.0,223.1999969482422,223.1999969482422,90,,,,,,,,
