date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MAR')","('high', 'MAR')","('low', 'MAR')","('close', 'MAR')","('adj_close', 'MAR')","('volume', 'MAR')","('currency', '')"
2020-01-02,151.5,152.60000610351562,151.02999877929688,151.49000549316406,145.51356506347656,1905600,,,,,,,,
2020-01-03,149.19000244140625,150.02000427246094,148.74000549316406,149.27000427246094,143.38119506835938,2116900,,,,,,,,
2020-01-06,147.89999389648438,147.99000549316406,146.2100067138672,147.33999633789062,141.52732849121094,2178200,,,,,,,,
2020-01-07,146.74000549316406,147.22000122070312,144.67999267578125,144.94000244140625,139.2220458984375,2073200,,,,,,,,
2020-01-08,145.1300048828125,147.6199951171875,144.72000122070312,146.72999572753906,140.94137573242188,1412800,,,,,,,,
2020-01-09,147.4600067138672,147.58999633789062,146.1999969482422,146.4499969482422,140.6724090576172,1197900,,,,,,,,
2020-01-10,146.1999969482422,146.57000732421875,145.0500030517578,145.38999938964844,139.65426635742188,848200,,,,,,,,
2020-01-13,145.75999450683594,146.97999572753906,145.5399932861328,146.8000030517578,141.00865173339844,987500,,,,,,,,
2020-01-14,146.41000366210938,147.6300048828125,146.11000061035156,147.14999389648438,141.3448486328125,944700,,,,,,,,
2020-01-15,146.77000427246094,148.14999389648438,146.64999389648438,147.3000030517578,141.4888916015625,799900,,,,,,,,
2020-01-16,147.97999572753906,149.0399932861328,147.5,149.02000427246094,143.1410369873047,804500,,,,,,,,
2020-01-17,149.19000244140625,150.6300048828125,148.07000732421875,150.25999450683594,144.33212280273438,1058900,,,,,,,,
2020-01-21,148.0800018310547,148.44000244140625,143.4199981689453,144.3699951171875,138.6745147705078,2757200,,,,,,,,
2020-01-22,145.0,147.19000244140625,143.75,144.1199951171875,138.43435668945312,1297100,,,,,,,,
2020-01-23,142.42999267578125,145.05999755859375,141.25,144.9600067138672,139.24122619628906,1863100,,,,,,,,
2020-01-24,144.97000122070312,145.02000427246094,139.83999633789062,141.02000427246094,135.4566650390625,2073400,,,,,,,,
2020-01-27,137.72999572753906,139.6300048828125,133.36000061035156,138.0,132.5557861328125,2641200,,,,,,,,
2020-01-28,138.7100067138672,141.7899932861328,138.32000732421875,141.25,135.67759704589844,1958500,,,,,,,,
2020-01-29,141.5,143.24000549316406,140.3800048828125,142.61000061035156,136.98391723632812,1290700,,,,,,,,
2020-01-30,140.5399932861328,143.5399932861328,138.8300018310547,143.30999755859375,137.65631103515625,1848600,,,,,,,,
2020-01-31,142.14999389648438,142.25,138.9499969482422,140.05999755859375,134.5345458984375,2070200,,,,,,,,
2020-02-03,141.6999969482422,144.4600067138672,140.8699951171875,141.47999572753906,135.89852905273438,1527600,,,,,,,,
2020-02-04,144.47000122070312,148.24000549316406,143.67999267578125,147.39999389648438,141.5849609375,1812900,,,,,,,,
2020-02-05,149.72000122070312,150.1699981689453,147.30999755859375,147.7100067138672,141.88272094726562,1872300,,,,,,,,
2020-02-06,148.2899932861328,148.8699951171875,145.77999877929688,146.22000122070312,140.4515380859375,1065900,,,,,,,,
2020-02-07,144.91000366210938,145.39999389648438,142.77999877929688,144.07000732421875,138.38633728027344,1717600,,,,,,,,
2020-02-10,143.00999450683594,145.85000610351562,142.4499969482422,145.72999572753906,139.98081970214844,1169800,,,,,,,,
2020-02-11,145.8699951171875,148.9499969482422,145.22000122070312,147.19000244140625,141.3832244873047,1461300,,,,,,,,
2020-02-12,148.0399932861328,150.97000122070312,148.0399932861328,150.77999877929688,144.83163452148438,1583400,,,,,,,,
2020-02-13,149.4499969482422,149.52999877929688,146.66000366210938,146.72000122070312,140.93179321289062,1933900,,,,,,,,
2020-02-14,146.97999572753906,147.36000061035156,143.89999389648438,144.89999389648438,139.18356323242188,2441200,,,,,,,,
2020-02-18,144.22999572753906,145.86000061035156,144.22999572753906,144.94000244140625,139.2220458984375,2352800,,,,,,,,
