date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PKG')","('high', 'PKG')","('low', 'PKG')","('close', 'PKG')","('adj_close', 'PKG')","('volume', 'PKG')","('currency', '')"
2020-01-02,112.88999938964844,112.88999938964844,110.36000061035156,110.72000122070312,92.34333038330078,860800,,,,,,,,
2020-01-03,109.4800033569336,110.19999694824219,109.01000213623047,109.22000122070312,91.09228515625,844700,,,,,,,,
2020-01-06,108.7699966430664,109.0,105.9000015258789,105.97000122070312,88.38172912597656,1051500,,,,,,,,
2020-01-07,104.94000244140625,105.37000274658203,103.55000305175781,104.8499984741211,87.44758605957031,1285200,,,,,,,,
2020-01-08,104.93000030517578,106.0,104.12999725341797,105.72000122070312,88.1731948852539,691700,,,,,,,,
2020-01-09,106.0199966430664,106.45999908447266,104.94000244140625,105.02999877929688,87.59770965576172,850500,,,,,,,,
2020-01-10,105.4000015258789,106.56999969482422,105.08000183105469,105.68000030517578,88.13981628417969,688900,,,,,,,,
2020-01-13,105.81999969482422,107.4000015258789,105.44999694824219,107.33999633789062,89.52432250976562,957400,,,,,,,,
2020-01-14,107.58000183105469,108.9800033569336,106.05000305175781,106.6500015258789,88.94883728027344,984100,,,,,,,,
2020-01-15,106.26000213623047,108.26000213623047,105.87999725341797,108.23999786376953,90.27493286132812,739900,,,,,,,,
2020-01-16,108.70999908447266,109.93000030517578,107.98999786376953,109.08000183105469,90.97553253173828,577800,,,,,,,,
2020-01-17,109.2300033569336,109.9800033569336,108.69999694824219,109.04000091552734,90.9421615600586,754000,,,,,,,,
2020-01-21,106.79000091552734,107.05999755859375,103.6500015258789,106.08999633789062,88.48175811767578,1380700,,,,,,,,
2020-01-22,106.63999938964844,107.27999877929688,106.16000366210938,106.30000305175781,88.65692901611328,585400,,,,,,,,
2020-01-23,105.77999877929688,107.47000122070312,104.91999816894531,107.05999755859375,89.29078674316406,418000,,,,,,,,
2020-01-24,106.70999908447266,106.70999908447266,104.9000015258789,105.6500015258789,88.11482238769531,756400,,,,,,,,
2020-01-27,103.8499984741211,104.77999877929688,103.55999755859375,104.04000091552734,86.77203369140625,643000,,,,,,,,
2020-01-28,104.76000213623047,104.76000213623047,103.41999816894531,104.4000015258789,87.072265625,784800,,,,,,,,
2020-01-29,104.75,105.98999786376953,103.93000030517578,104.94000244140625,87.52265930175781,1113600,,,,,,,,
2020-01-30,98.1500015258789,102.38999938964844,97.11000061035156,99.62000274658203,83.08563995361328,2457300,,,,,,,,
2020-01-31,98.16999816894531,98.22000122070312,95.0,95.75,79.85797119140625,1763600,,,,,,,,
