date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MATX')","('high', 'MATX')","('low', 'MATX')","('close', 'MATX')","('adj_close', 'MATX')","('volume', 'MATX')","('currency', '')"
2020-01-02,41.18000030517578,41.18000030517578,40.06999969482422,40.310001373291016,36.74326705932617,130900,,,,,,,,
2020-01-03,39.4900016784668,40.029998779296875,39.4900016784668,39.72999954223633,36.21458053588867,194000,,,,,,,,
2020-01-06,39.31999969482422,39.38999938964844,38.93000030517578,39.29999923706055,35.822635650634766,119000,,,,,,,,
2020-01-07,39.029998779296875,39.209999084472656,38.54999923706055,38.93000030517578,35.48537826538086,109600,,,,,,,,
2020-01-08,38.9900016784668,39.36000061035156,38.81999969482422,38.84000015258789,35.40333557128906,85100,,,,,,,,
2020-01-09,39.11000061035156,39.11000061035156,38.31999969482422,38.470001220703125,35.06608200073242,98500,,,,,,,,
2020-01-10,38.310001373291016,38.77000045776367,38.18000030517578,38.38999938964844,34.99314880371094,84500,,,,,,,,
2020-01-13,38.40999984741211,39.040000915527344,38.36000061035156,38.959999084472656,35.512718200683594,76800,,,,,,,,
2020-01-14,38.79999923706055,39.5,38.63999938964844,39.13999938964844,35.67678451538086,85600,,,,,,,,
2020-01-15,38.91999816894531,39.59000015258789,38.91999816894531,39.380001068115234,35.89556121826172,120000,,,,,,,,
2020-01-16,39.86000061035156,40.5,39.459999084472656,40.09000015258789,36.542728424072266,177900,,,,,,,,
2020-01-17,40.2400016784668,40.599998474121094,39.83000183105469,40.06999969482422,36.52450180053711,121300,,,,,,,,
2020-01-21,39.81999969482422,39.93000030517578,38.91999816894531,39.29999923706055,35.822635650634766,154900,,,,,,,,
2020-01-22,39.36000061035156,39.47999954223633,38.689998626708984,39.33000183105469,35.8499755859375,178800,,,,,,,,
2020-01-23,39.029998779296875,39.650001525878906,38.349998474121094,39.40999984741211,35.92289733886719,272800,,,,,,,,
2020-01-24,39.689998626708984,39.77000045776367,38.599998474121094,39.20000076293945,35.731483459472656,171600,,,,,,,,
2020-01-27,38.18000030517578,39.09000015258789,37.91999816894531,38.720001220703125,35.2939567565918,199200,,,,,,,,
2020-01-28,39.130001068115234,39.290000915527344,38.45000076293945,38.560001373291016,35.148109436035156,191000,,,,,,,,
2020-01-29,38.7400016784668,39.13999938964844,38.150001525878906,38.16999816894531,34.792625427246094,171800,,,,,,,,
2020-01-30,37.59000015258789,38.0,36.22999954223633,37.0,33.72614288330078,200400,,,,,,,,
2020-01-31,36.630001068115234,36.689998626708984,35.66999816894531,36.0099983215332,32.82373809814453,226600,,,,,,,,
2020-02-03,36.25,36.459999084472656,35.7599983215332,36.189998626708984,32.98781204223633,202200,,,,,,,,
2020-02-04,36.72999954223633,36.9900016784668,36.25,36.349998474121094,33.1336555480957,106100,,,,,,,,
2020-02-05,36.5,37.150001525878906,36.43000030517578,37.09000015258789,34.014034271240234,95800,,,,,,,,
2020-02-06,37.20000076293945,37.20000076293945,36.470001220703125,36.689998626708984,33.647220611572266,79400,,,,,,,,
2020-02-07,36.38999938964844,36.470001220703125,35.81999969482422,36.29999923706055,33.2895622253418,71300,,,,,,,,
2020-02-10,36.209999084472656,36.689998626708984,36.11000061035156,36.5099983215332,33.482139587402344,105300,,,,,,,,
2020-02-11,36.81999969482422,37.380001068115234,36.61000061035156,36.72999954223633,33.68391036987305,89200,,,,,,,,
2020-02-12,37.099998474121094,37.16999816894531,36.68000030517578,36.72999954223633,33.68391036987305,112200,,,,,,,,
2020-02-13,36.470001220703125,36.63999938964844,36.099998474121094,36.29999923706055,33.2895622253418,128900,,,,,,,,
2020-02-14,36.45000076293945,36.93000030517578,36.27000045776367,36.45000076293945,33.427127838134766,120500,,,,,,,,
2020-02-18,36.38999938964844,36.97999954223633,36.38999938964844,36.97999954223633,33.91316604614258,78400,,,,,,,,
2020-02-19,37.099998474121094,37.959999084472656,36.970001220703125,37.900001525878906,34.756874084472656,83200,,,,,,,,
2020-02-20,37.619998931884766,38.29999923706055,37.619998931884766,37.9900016784668,34.83940124511719,84600,,,,,,,,
2020-02-21,38.0,38.279998779296875,37.47999954223633,37.91999816894531,34.775203704833984,117200,,,,,,,,
2020-02-24,36.66999816894531,37.209999084472656,36.459999084472656,37.099998474121094,34.02321243286133,144600,,,,,,,,
2020-02-25,37.11000061035156,37.11000061035156,35.869998931884766,36.470001220703125,33.44545364379883,271500,,,,,,,,
2020-02-26,34.0,34.27000045776367,32.02000045776367,32.63999938964844,29.933086395263672,792500,,,,,,,,
2020-02-27,32.650001525878906,33.66999816894531,31.510000228881836,33.209999084472656,30.455812454223633,372800,,,,,,,,
2020-02-28,32.279998779296875,33.380001068115234,32.0,33.209999084472656,30.455812454223633,364900,,,,,,,,
2020-03-02,33.31999969482422,33.38999938964844,32.400001525878906,33.209999084472656,30.455812454223633,147800,,,,,,,,
2020-03-03,33.130001068115234,33.709999084472656,32.36000061035156,32.779998779296875,30.061473846435547,246600,,,,,,,,
2020-03-04,33.369998931884766,33.86000061035156,32.45000076293945,33.86000061035156,31.05191421508789,180000,,,,,,,,
2020-03-05,33.04999923706055,33.4900016784668,31.969999313354492,32.54999923706055,29.85055160522461,208600,,,,,,,,
2020-03-06,31.520000457763672,33.29999923706055,31.350000381469727,32.34000015258789,29.65796661376953,194600,,,,,,,,
2020-03-09,30.450000762939453,31.489999771118164,30.399999618530273,30.860000610351562,28.30071449279785,269500,,,,,,,,
2020-03-10,31.559999465942383,31.739999771118164,30.110000610351562,31.700000762939453,29.071048736572266,249600,,,,,,,,
2020-03-11,30.780000686645508,31.440000534057617,29.670000076293945,29.940000534057617,27.457006454467773,286000,,,,,,,,
2020-03-12,28.25,28.90999984741211,26.360000610351562,26.3799991607666,24.192249298095703,389100,,,,,,,,
2020-03-13,27.889999389648438,31.469999313354492,26.40999984741211,31.469999313354492,28.860122680664062,267700,,,,,,,,
2020-03-16,26.0,30.260000228881836,26.0,28.600000381469727,26.228134155273438,328300,,,,,,,,
2020-03-17,29.239999771118164,32.150001525878906,27.360000610351562,31.540000915527344,28.924318313598633,412900,,,,,,,,
2020-03-18,29.969999313354492,33.459999084472656,29.270000457763672,33.31999969482422,30.55669403076172,364000,,,,,,,,
2020-03-19,33.439998626708984,37.619998931884766,32.779998779296875,34.689998626708984,31.81307601928711,395400,,,,,,,,
2020-03-20,34.95000076293945,35.130001068115234,30.100000381469727,30.90999984741211,28.346559524536133,358600,,,,,,,,
2020-03-23,31.290000915527344,31.290000915527344,27.6299991607666,28.809999465942383,26.42072105407715,254300,,,,,,,,
2020-03-24,30.190000534057617,32.2400016784668,29.75,31.100000381469727,28.52080726623535,280600,,,,,,,,
2020-03-25,30.75,32.5,29.510000228881836,30.31999969482422,27.805496215820312,288500,,,,,,,,
2020-03-26,30.649999618530273,32.47999954223633,30.649999618530273,32.36000061035156,29.67630958557129,309600,,,,,,,,
2020-03-27,30.850000381469727,31.139999389648438,29.579999923706055,29.90999984741211,27.429489135742188,233300,,,,,,,,
2020-03-30,30.530000686645508,30.530000686645508,29.3700008392334,29.959999084472656,27.475351333618164,262100,,,,,,,,
2020-03-31,29.799999237060547,30.889999389648438,29.459999084472656,30.6200008392334,28.080612182617188,369200,,,,,,,,
