date,open,high,low,close,adj_close,volume,currency,"('date', '')","('open', 'FESA4.SA')","('high', 'FESA4.SA')","('low', 'FESA4.SA')","('close', 'FESA4.SA')","('adj_close', 'FESA4.SA')","('volume', 'FESA4.SA')","('currency', '')"
2020-01-02,5.045000076293945,5.045000076293945,4.872499942779541,4.947500228881836,3.3410844802856445,2167200,BRL,,,,,,,,
2020-01-03,4.897500038146973,4.994999885559082,4.889999866485596,4.977499961853027,3.3613429069519043,806400,BRL,,,,,,,,
2020-01-06,4.974999904632568,4.974999904632568,4.889999866485596,4.90500020980835,3.3123843669891357,1339200,BRL,,,,,,,,
2020-01-07,4.929999828338623,4.945000171661377,4.822500228881836,4.922500133514404,3.324202299118042,1495600,BRL,,,,,,,,
2020-01-08,4.925000190734863,4.992499828338623,4.869999885559082,4.972499847412109,3.357966423034668,1562800,BRL,,,,,,,,
2020-01-09,4.977499961853027,4.987500190734863,4.877500057220459,4.877500057220459,3.2938132286071777,1317600,BRL,,,,,,,,
2020-01-10,4.922500133514404,5.039999961853027,4.872499942779541,4.965000152587891,3.352902412414551,1237200,BRL,,,,,,,,
2020-01-13,5.007500171661377,5.027500152587891,4.940000057220459,5.017499923706055,3.3883557319641113,1649200,BRL,,,,,,,,
2020-01-14,5.025000095367432,5.117499828338623,5.017499923706055,5.099999904632568,3.4440689086914062,1338000,BRL,,,,,,,,
2020-01-15,5.105000019073486,5.289999961853027,5.099999904632568,5.25,3.545365333557129,2441200,BRL,,,,,,,,
2020-01-16,5.275000095367432,5.425000190734863,5.275000095367432,5.369999885559082,3.626401901245117,1862800,BRL,,,,,,,,
2020-01-17,5.389999866485596,5.46750020980835,5.380000114440918,5.449999809265137,3.680427074432373,1538800,BRL,,,,,,,,
2020-01-20,5.449999809265137,5.489999771118164,5.400000095367432,5.462500095367432,3.6888678073883057,1342400,BRL,,,,,,,,
2020-01-21,5.447500228881836,5.492499828338623,5.402500152587891,5.422500133514404,3.661855697631836,1592400,BRL,,,,,,,,
2020-01-22,5.449999809265137,5.494999885559082,5.422500133514404,5.477499961853027,3.6989972591400146,837200,BRL,,,,,,,,
2020-01-23,5.477499961853027,5.489999771118164,5.332499980926514,5.425000190734863,3.663543939590454,1230400,BRL,,,,,,,,
2020-01-24,5.462500095367432,5.474999904632568,5.317500114440918,5.369999885559082,3.626401901245117,1182800,BRL,,,,,,,,
2020-01-27,5.297500133514404,5.297500133514404,5.150000095367432,5.150000095367432,3.477834701538086,2065200,BRL,,,,,,,,
2020-01-28,5.15749979019165,5.21999979019165,5.125,5.199999809265137,3.511599540710449,1536800,BRL,,,,,,,,
2020-01-29,5.237500190734863,5.307499885559082,5.017499923706055,5.087500095367432,3.4356272220611572,2084000,BRL,,,,,,,,
2020-01-30,5.0,5.002500057220459,4.882500171661377,4.96999979019165,3.356278419494629,2020400,BRL,,,,,,,,
2020-01-31,4.954999923706055,4.96999979019165,4.852499961853027,4.875,3.2921247482299805,1265200,BRL,,,,,,,,
2020-02-03,4.877500057220459,4.949999809265137,4.840000152587891,4.949999809265137,3.3427722454071045,1574800,BRL,,,,,,,,
2020-02-04,4.987500190734863,5.054999828338623,4.90500020980835,4.927499771118164,3.327578067779541,1444000,BRL,,,,,,,,
2020-02-05,5.002500057220459,5.002500057220459,4.927499771118164,4.974999904632568,3.359654664993286,1018400,BRL,,,,,,,,
2020-02-06,5.0,5.0,4.892499923706055,4.945000171661377,3.3393969535827637,1103200,BRL,,,,,,,,
2020-02-07,4.942500114440918,4.942500114440918,4.8125,4.8125,3.24991774559021,946000,BRL,,,,,,,,
2020-02-10,4.815000057220459,4.835000038146973,4.690000057220459,4.690000057220459,3.1671924591064453,1345200,BRL,,,,,,,,
2020-02-11,4.707499980926514,4.857500076293945,4.707499980926514,4.857500076293945,3.280306816101074,1023200,BRL,,,,,,,,
2020-02-12,4.857500076293945,4.954999923706055,4.855000019073486,4.954999923706055,3.346149444580078,650000,BRL,,,,,,,,
2020-02-13,4.917500019073486,4.949999809265137,4.824999809265137,4.949999809265137,3.3427722454071045,508800,BRL,,,,,,,,
2020-02-14,4.974999904632568,4.980000019073486,4.885000228881836,4.927499771118164,3.327578067779541,538400,BRL,,,,,,,,
2020-02-17,4.90500020980835,4.980000019073486,4.90500020980835,4.960000038146973,3.349525213241577,564400,BRL,,,,,,,,
2020-02-18,4.925000190734863,5.235000133514404,4.914999961853027,5.175000190734863,3.4947168827056885,2081200,BRL,,,,,,,,
2020-02-19,5.199999809265137,5.207499980926514,5.037499904632568,5.045000076293945,3.4069271087646484,1504800,BRL,,,,,,,,
2020-02-20,5.054999828338623,5.082499980926514,5.002500057220459,5.050000190734863,3.4103035926818848,550400,BRL,,,,,,,,
2020-02-21,5.034999847412109,5.037499904632568,4.932499885559082,5.037499904632568,3.401862144470215,916400,BRL,,,,,,,,
2020-02-26,4.8125,4.8125,4.684999942779541,4.699999809265137,3.173945665359497,1309600,BRL,,,,,,,,
2020-02-27,4.627500057220459,4.722499847412109,4.552499771118164,4.552499771118164,3.0743377208709717,1538400,BRL,,,,,,,,
2020-02-28,4.512499809265137,4.53249979019165,4.385000228881836,4.460000038146973,3.011871576309204,2154400,BRL,,,,,,,,
2020-03-02,4.487500190734863,4.599999904632568,4.46750020980835,4.599999904632568,3.106415033340454,1842000,BRL,,,,,,,,
2020-03-03,4.627500057220459,4.772500038146973,4.489999771118164,4.512499809265137,3.0473251342773438,1318000,BRL,,,,,,,,
2020-03-04,4.425000190734863,4.534999847412109,4.277500152587891,4.512499809265137,3.0473251342773438,3836000,BRL,,,,,,,,
