date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PRTA')","('high', 'PRTA')","('low', 'PRTA')","('close', 'PRTA')","('adj_close', 'PRTA')","('volume', 'PRTA')","('currency', '')"
2020-01-02,15.970000267028809,15.970000267028809,15.041000366210938,15.630000114440918,15.630000114440918,118700,,,,,,,,
2020-01-03,15.3100004196167,15.489999771118164,14.779999732971191,14.960000038146973,14.960000038146973,120600,,,,,,,,
2020-01-06,14.8100004196167,15.1899995803833,14.354999542236328,15.15999984741211,15.15999984741211,207100,,,,,,,,
2020-01-07,15.199999809265137,15.970000267028809,14.84000015258789,15.5,15.5,191300,,,,,,,,
2020-01-08,15.460000038146973,15.760000228881836,15.239999771118164,15.380000114440918,15.380000114440918,184800,,,,,,,,
2020-01-09,15.470000267028809,15.84000015258789,15.15999984741211,15.770000457763672,15.770000457763672,180600,,,,,,,,
2020-01-10,15.819999694824219,16.049999237060547,15.270000457763672,15.359999656677246,15.359999656677246,207100,,,,,,,,
2020-01-13,15.319999694824219,15.392000198364258,14.3100004196167,14.460000038146973,14.460000038146973,180900,,,,,,,,
2020-01-14,14.359999656677246,15.550000190734863,14.359999656677246,15.460000038146973,15.460000038146973,213300,,,,,,,,
2020-01-15,15.449999809265137,15.899999618530273,14.989999771118164,15.229999542236328,15.229999542236328,163400,,,,,,,,
2020-01-16,15.4399995803833,15.789999961853027,15.319999694824219,15.380000114440918,15.380000114440918,170600,,,,,,,,
2020-01-17,15.539999961853027,15.699999809265137,14.170000076293945,14.260000228881836,14.260000228881836,207800,,,,,,,,
2020-01-21,14.210000038146973,14.260000228881836,13.520000457763672,13.640000343322754,13.640000343322754,170700,,,,,,,,
2020-01-22,13.699999809265137,14.100000381469727,13.6899995803833,13.920000076293945,13.920000076293945,101700,,,,,,,,
2020-01-23,13.899999618530273,13.899999618530273,13.40999984741211,13.40999984741211,13.40999984741211,142600,,,,,,,,
2020-01-24,13.510000228881836,13.600000381469727,12.859999656677246,13.109999656677246,13.109999656677246,159700,,,,,,,,
2020-01-27,12.800000190734863,13.5,12.6850004196167,13.3100004196167,13.3100004196167,105300,,,,,,,,
2020-01-28,13.510000228881836,13.75,13.260000228881836,13.529999732971191,13.529999732971191,88400,,,,,,,,
2020-01-29,13.59000015258789,13.84000015258789,13.3100004196167,13.34000015258789,13.34000015258789,88400,,,,,,,,
2020-01-30,13.15999984741211,13.15999984741211,12.039999961853027,12.359999656677246,12.359999656677246,296500,,,,,,,,
2020-01-31,12.279999732971191,12.289999961853027,11.8100004196167,12.170000076293945,12.170000076293945,227700,,,,,,,,
2020-02-03,12.300000190734863,12.739999771118164,12.244999885559082,12.720000267028809,12.720000267028809,136800,,,,,,,,
2020-02-04,12.9399995803833,13.095000267028809,12.640000343322754,12.899999618530273,12.899999618530273,113100,,,,,,,,
2020-02-05,13.069999694824219,13.6899995803833,12.760000228881836,12.850000381469727,12.850000381469727,155500,,,,,,,,
2020-02-06,13.050000190734863,13.220000267028809,12.770000457763672,13.130000114440918,13.130000114440918,76300,,,,,,,,
2020-02-07,13.220000267028809,13.279999732971191,12.710000038146973,12.75,12.75,130500,,,,,,,,
