date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FNMFO')","('high', 'FNMFO')","('low', 'FNMFO')","('close', 'FNMFO')","('adj_close', 'FNMFO')","('volume', 'FNMFO')","('currency', '')"
2020-01-02,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-03,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-06,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-07,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-08,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-09,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-10,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-13,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-14,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-15,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-16,38500.0,38500.0,38500.0,38500.0,38500.0,0,,,,,,,,
2020-01-17,39400.0,39650.0,39400.0,39650.0,39650.0,100,,,,,,,,
2020-01-21,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-22,39400.0,39650.0,39400.0,39650.0,39650.0,100,,,,,,,,
2020-01-23,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-24,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-27,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-28,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-29,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-30,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-01-31,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-02-03,39650.0,39650.0,39650.0,39650.0,39650.0,0,,,,,,,,
2020-02-04,38500.0,38750.0,38500.0,38750.0,38750.0,100,,,,,,,,
2020-02-05,38000.0,38750.0,38000.0,38750.0,38750.0,100,,,,,,,,
