date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OMAB')","('high', 'OMAB')","('low', 'OMAB')","('close', 'OMAB')","('adj_close', 'OMAB')","('volume', 'OMAB')","('currency', '')"
2020-01-02,59.72999954223633,60.72999954223633,58.380001068115234,60.72999954223633,44.00218200683594,160600,,,,,,,,
2020-01-03,60.0099983215332,60.54999923706055,59.599998474121094,59.77000045776367,43.306610107421875,33400,,,,,,,,
2020-01-06,59.86000061035156,60.040000915527344,58.599998474121094,59.439998626708984,43.067508697509766,47400,,,,,,,,
2020-01-07,59.439998626708984,59.439998626708984,58.369998931884766,58.91999816894531,42.69073486328125,26700,,,,,,,,
2020-01-08,58.9900016784668,60.099998474121094,58.68000030517578,59.86000061035156,43.371826171875,32400,,,,,,,,
2020-01-09,60.290000915527344,60.369998931884766,59.41999816894531,59.61000061035156,43.19068145751953,33200,,,,,,,,
2020-01-10,60.08000183105469,61.060001373291016,60.08000183105469,60.540000915527344,43.86452102661133,28200,,,,,,,,
2020-01-13,60.939998626708984,61.72999954223633,60.790000915527344,61.54999923706055,44.59632110595703,24800,,,,,,,,
2020-01-14,61.5099983215332,61.91999816894531,61.220001220703125,61.849998474121094,44.813682556152344,53100,,,,,,,,
2020-01-15,61.66999816894531,62.79999923706055,61.43000030517578,62.630001068115234,45.37883377075195,54600,,,,,,,,
2020-01-16,63.04999923706055,64.80000305175781,63.04999923706055,64.04000091552734,46.40045928955078,174700,,,,,,,,
2020-01-17,64.18000030517578,64.76000213623047,62.54999923706055,64.56999969482422,46.78447723388672,34100,,,,,,,,
2020-01-21,64.29000091552734,64.31999969482422,62.939998626708984,63.06999969482422,45.69763946533203,45800,,,,,,,,
2020-01-22,63.5099983215332,63.61000061035156,62.869998931884766,63.0,45.64691925048828,35300,,,,,,,,
2020-01-23,62.790000915527344,62.83000183105469,61.5,61.91999816894531,44.86440658569336,43400,,,,,,,,
2020-01-24,61.88999938964844,61.97999954223633,60.20000076293945,61.630001068115234,44.6542854309082,44300,,,,,,,,
2020-01-27,60.36000061035156,60.36000061035156,59.209999084472656,59.970001220703125,43.45151901245117,50000,,,,,,,,
2020-01-28,60.36000061035156,61.599998474121094,60.36000061035156,61.41999816894531,44.50212478637695,35300,,,,,,,,
2020-01-29,61.689998626708984,62.04999923706055,60.68000030517578,61.119998931884766,44.284759521484375,49200,,,,,,,,
2020-01-30,60.16999816894531,61.720001220703125,59.86000061035156,61.45000076293945,44.523860931396484,31500,,,,,,,,
2020-01-31,60.93000030517578,61.08000183105469,60.04999923706055,60.7400016784668,44.009429931640625,58600,,,,,,,,
2020-02-03,61.060001373291016,62.310001373291016,61.060001373291016,61.84000015258789,44.80643844604492,20200,,,,,,,,
2020-02-04,62.83000183105469,63.11000061035156,61.540000915527344,61.83000183105469,44.7991943359375,39600,,,,,,,,
2020-02-05,62.45000076293945,62.75,61.72999954223633,62.0099983215332,44.92960739135742,26600,,,,,,,,
2020-02-06,62.349998474121094,62.349998474121094,61.65999984741211,61.939998626708984,44.878902435302734,54500,,,,,,,,
2020-02-07,61.060001373291016,61.83000183105469,60.56999969482422,61.58000183105469,44.61805725097656,52200,,,,,,,,
