date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MDY')","('high', 'MDY')","('low', 'MDY')","('close', 'MDY')","('adj_close', 'MDY')","('volume', 'MDY')","('currency', '')"
2020-01-02,377.1700134277344,377.5899963378906,372.4599914550781,375.92999267578125,349.54571533203125,1019200,,,,,,,,
2020-01-03,371.2099914550781,374.8500061035156,371.0799865722656,373.9700012207031,347.7232360839844,930900,,,,,,,,
2020-01-06,371.4200134277344,374.1000061035156,370.6300048828125,373.9599914550781,347.7138977050781,1239600,,,,,,,,
2020-01-07,372.92999267578125,373.9100036621094,371.75,372.92999267578125,346.7563171386719,624000,,,,,,,,
2020-01-08,373.1199951171875,374.989990234375,372.3399963378906,373.6000061035156,347.3792724609375,888500,,,,,,,,
2020-01-09,375.239990234375,375.3800048828125,373.4800109863281,374.67999267578125,348.3835144042969,457600,,,,,,,,
2020-01-10,374.8299865722656,375.04998779296875,372.6000061035156,373.5299987792969,347.3141174316406,484900,,,,,,,,
2020-01-13,373.9100036621094,376.6199951171875,372.9200134277344,376.42999267578125,350.0106201171875,823600,,,,,,,,
2020-01-14,375.42999267578125,378.6600036621094,375.04998779296875,377.5199890136719,351.0240783691406,640000,,,,,,,,
2020-01-15,376.44000244140625,379.5400085449219,376.3999938964844,378.0299987792969,351.49835205078125,776500,,,,,,,,
2020-01-16,380.32000732421875,382.3599853515625,380.0,382.239990234375,355.4128723144531,1326500,,,,,,,,
2020-01-17,383.1099853515625,383.4100036621094,381.0400085449219,381.45001220703125,354.67828369140625,476200,,,,,,,,
2020-01-21,379.6499938964844,380.6000061035156,378.70001220703125,379.3399963378906,352.7163391113281,578200,,,,,,,,
2020-01-22,380.17999267578125,381.5899963378906,378.54998779296875,379.07000732421875,352.4653625488281,519800,,,,,,,,
2020-01-23,378.6700134277344,380.6199951171875,375.8399963378906,379.9200134277344,353.2557067871094,646000,,,,,,,,
2020-01-24,380.7300109863281,380.7300109863281,374.04998779296875,375.8999938964844,349.5177917480469,818200,,,,,,,,
2020-01-27,370.2900085449219,372.9100036621094,369.30999755859375,370.75,344.72930908203125,1136900,,,,,,,,
2020-01-28,372.989990234375,375.4800109863281,372.3399963378906,374.3900146484375,348.11376953125,1047100,,,,,,,,
2020-01-29,375.489990234375,376.1199951171875,372.5799865722656,372.6199951171875,346.4679870605469,869500,,,,,,,,
2020-01-30,370.1099853515625,373.17999267578125,368.8599853515625,373.0,346.8213806152344,1161100,,,,,,,,
