date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ROYMY')","('high', 'ROYMY')","('low', 'ROYMY')","('close', 'ROYMY')","('adj_close', 'ROYMY')","('volume', 'ROYMY')","('currency', '')"
2020-01-02,6.085000038146973,6.085000038146973,6.050000190734863,6.050000190734863,5.513169288635254,5400,,,,,,,,
2020-01-03,5.890999794006348,5.890999794006348,5.840000152587891,5.840000152587891,5.321802139282227,4400,,,,,,,,
2020-01-06,5.829999923706055,5.835000038146973,5.785999774932861,5.785999774932861,5.272593975067139,2200,,,,,,,,
2020-01-07,5.919000148773193,5.919000148773193,5.820000171661377,5.820000171661377,5.303577423095703,2400,,,,,,,,
2020-01-08,5.849999904632568,5.860000133514404,5.849999904632568,5.860000133514404,5.340028285980225,300,,,,,,,,
2020-01-09,5.840000152587891,5.84499979019165,5.840000152587891,5.840000152587891,5.321802139282227,2500,,,,,,,,
2020-01-10,5.789999961853027,5.789999961853027,5.71999979019165,5.71999979019165,5.21245002746582,700,,,,,,,,
2020-01-13,5.650000095367432,5.650000095367432,5.561999797821045,5.639999866485596,5.1395487785339355,5700,,,,,,,,
2020-01-14,5.599999904632568,5.664999961853027,5.599999904632568,5.664999961853027,5.162330627441406,6100,,,,,,,,
2020-01-15,5.71999979019165,5.71999979019165,5.690000057220459,5.690000057220459,5.185113430023193,700,,,,,,,,
2020-01-16,5.519999980926514,5.659999847412109,5.519999980926514,5.59499979019165,5.098541736602783,4300,,,,,,,,
2020-01-17,5.59499979019165,5.59499979019165,5.59499979019165,5.59499979019165,5.098541736602783,0,,,,,,,,
2020-01-21,5.420000076293945,5.420000076293945,5.400000095367432,5.400000095367432,4.920845031738281,500,,,,,,,,
2020-01-22,5.340000152587891,5.449999809265137,5.340000152587891,5.439000129699707,4.956384181976318,12900,,,,,,,,
2020-01-23,5.328999996185303,5.340000152587891,5.320000171661377,5.340000152587891,4.866168975830078,11000,,,,,,,,
2020-01-24,5.269999980926514,5.300000190734863,5.239999771118164,5.269999980926514,4.802380084991455,4400,,,,,,,,
2020-01-27,5.179999828338623,5.179999828338623,5.139999866485596,5.140999794006348,4.684826374053955,700,,,,,,,,
2020-01-28,5.260000228881836,5.335000038146973,5.2220001220703125,5.257999897003174,4.791445255279541,4300,,,,,,,,
2020-01-29,5.269999980926514,5.284999847412109,5.260000228881836,5.269999980926514,4.802380084991455,12900,,,,,,,,
2020-01-30,5.28000020980835,5.289999961853027,5.260000228881836,5.284999847412109,4.816049098968506,3900,,,,,,,,
2020-01-31,5.159999847412109,5.230000019073486,5.159999847412109,5.230000019073486,4.765929222106934,7700,,,,,,,,
2020-02-03,5.034999847412109,5.085000038146973,5.03000020980835,5.059999942779541,4.611013412475586,4500,,,,,,,,
2020-02-04,4.960000038146973,4.989999771118164,4.929999828338623,4.960000038146973,4.5198869705200195,7600,,,,,,,,
2020-02-05,4.880000114440918,4.920000076293945,4.840000152587891,4.920000076293945,4.483436584472656,4400,,,,,,,,
2020-02-06,4.53000020980835,4.639999866485596,4.53000020980835,4.610000133514404,4.200943946838379,20700,,,,,,,,
2020-02-07,4.5,4.610000133514404,4.5,4.610000133514404,4.200943946838379,13900,,,,,,,,
2020-02-10,4.53000020980835,4.630000114440918,4.53000020980835,4.574999809265137,4.16904878616333,9500,,,,,,,,
2020-02-11,4.53000020980835,4.550000190734863,4.489999771118164,4.5,4.100704193115234,7300,,,,,,,,
2020-02-12,4.570000171661377,4.599999904632568,4.539999961853027,4.539999961853027,4.137154579162598,60000,,,,,,,,
2020-02-13,4.539999961853027,4.630000114440918,4.539999961853027,4.591000080108643,4.183629035949707,3400,,,,,,,,
2020-02-14,4.670000076293945,4.699999809265137,4.659999847412109,4.699999809265137,4.282957553863525,22100,,,,,,,,
2020-02-18,4.619999885559082,4.690000057220459,4.619999885559082,4.623000144958496,4.212790489196777,2700,,,,,,,,
2020-02-19,4.46999979019165,4.5370001792907715,4.451000213623047,4.5,4.100704193115234,9200,,,,,,,,
2020-02-20,4.71999979019165,4.776000022888184,4.650000095367432,4.776000022888184,4.3522138595581055,10100,,,,,,,,
2020-02-21,4.630000114440918,4.650000095367432,4.550000190734863,4.636000156402588,4.224636554718018,37600,,,,,,,,
2020-02-24,4.440000057220459,4.603000164031982,4.364999771118164,4.460000038146973,4.064253330230713,753700,,,,,,,,
2020-02-25,4.34499979019165,4.370999813079834,4.239999771118164,4.239999771118164,3.863774538040161,718500,,,,,,,,
2020-02-26,4.369999885559082,4.400000095367432,4.289999961853027,4.289999961853027,3.9093379974365234,174900,,,,,,,,
2020-02-27,4.150000095367432,4.290999889373779,4.133999824523926,4.159999847412109,3.7908730506896973,38000,,,,,,,,
2020-02-28,4.199999809265137,4.199999809265137,4.110000133514404,4.172999858856201,3.8027195930480957,40700,,,,,,,,
2020-03-02,4.139999866485596,4.139999866485596,4.050000190734863,4.099999904632568,3.736196994781494,8800,,,,,,,,
2020-03-03,4.159999847412109,4.159999847412109,4.050000190734863,4.050000190734863,3.690633535385132,35400,,,,,,,,
2020-03-04,4.159999847412109,4.260000228881836,4.130000114440918,4.23199987411499,3.8564844131469727,8200,,,,,,,,
2020-03-05,4.21999979019165,4.291999816894531,4.163000106811523,4.230000019073486,3.8546621799468994,6600,,,,,,,,
2020-03-06,4.260000228881836,4.400000095367432,4.24399995803833,4.308000087738037,3.9257404804229736,18900,,,,,,,,
2020-03-09,3.9800000190734863,4.105000019073486,3.944999933242798,3.990000009536743,3.6359574794769287,21100,,,,,,,,
2020-03-10,4.114999771118164,4.114999771118164,3.950000047683716,4.099999904632568,3.736196994781494,58200,,,,,,,,
2020-03-11,4.03000020980835,4.03000020980835,3.799999952316284,3.8499999046325684,3.508380174636841,34300,,,,,,,,
2020-03-12,3.4800000190734863,3.569999933242798,3.3589999675750732,3.440000057220459,3.1347603797912598,97500,,,,,,,,
2020-03-13,3.509999990463257,3.509999990463257,3.259999990463257,3.2799999713897705,2.988957643508911,3400,,,,,,,,
2020-03-16,3.3399999141693115,3.5810000896453857,3.3399999141693115,3.430000066757202,3.125648021697998,9200,,,,,,,,
2020-03-17,3.4649999141693115,3.609999895095825,3.4649999141693115,3.609999895095825,3.289675712585449,52000,,,,,,,,
2020-03-18,3.6700000762939453,3.7799999713897705,3.569999933242798,3.625,3.303344964981079,22400,,,,,,,,
2020-03-19,3.4200000762939453,3.609999895095825,3.4200000762939453,3.434000015258789,3.1292927265167236,17100,,,,,,,,
2020-03-20,3.549999952316284,3.7699999809265137,3.3299999237060547,3.3299999237060547,3.0345208644866943,17000,,,,,,,,
2020-03-23,3.450000047683716,3.4600000381469727,3.2699999809265137,3.2699999809265137,2.9798450469970703,22200,,,,,,,,
2020-03-24,3.4700000286102295,3.5350000858306885,3.450000047683716,3.5250000953674316,3.2122182846069336,45200,,,,,,,,
2020-03-25,3.549999952316284,3.740000009536743,3.549999952316284,3.6700000762939453,3.3443522453308105,13200,,,,,,,,
2020-03-26,3.930000066757202,3.9679999351501465,3.809999942779541,3.865999937057495,3.5229604244232178,25900,,,,,,,,
2020-03-27,3.2799999713897705,3.3299999237060547,3.200000047683716,3.2699999809265137,2.9798450469970703,29900,,,,,,,,
2020-03-30,3.140000104904175,3.140000104904175,3.0399999618530273,3.0999999046325684,2.824929714202881,15300,,,,,,,,
2020-03-31,3.069999933242798,3.069999933242798,3.003000020980835,3.003000020980835,2.7365365028381348,20200,,,,,,,,
2020-04-01,3.1600000858306885,3.180000066757202,3.059999942779541,3.059999942779541,2.7884786128997803,26400,,,,,,,,
2020-04-02,3.140000104904175,3.1700000762939453,3.0769999027252197,3.109999895095825,2.8340420722961426,9800,,,,,,,,
2020-04-03,3.0999999046325684,3.0999999046325684,2.990000009536743,2.990000009536743,2.7246899604797363,3200,,,,,,,,
2020-04-06,3.200000047683716,3.2100000381469727,3.1600000858306885,3.200000047683716,2.9160563945770264,17600,,,,,,,,
2020-04-07,3.2799999713897705,3.319999933242798,3.200000047683716,3.200000047683716,2.9160563945770264,15000,,,,,,,,
2020-04-08,3.4100000858306885,3.4100000858306885,3.3399999141693115,3.390000104904175,3.0891971588134766,13900,,,,,,,,
2020-04-09,3.559999942779541,3.625,3.5399999618530273,3.549999952316284,3.234999656677246,5800,,,,,,,,
2020-04-13,3.5950000286102295,3.5950000286102295,3.4760000705718994,3.5409998893737793,3.2267982959747314,28600,,,,,,,,
2020-04-14,3.640000104904175,3.640000104904175,3.609999895095825,3.609999895095825,3.289675712585449,2300,,,,,,,,
2020-04-15,3.369999885559082,3.444999933242798,3.3399999141693115,3.384999990463257,3.0846407413482666,7800,,,,,,,,
2020-04-16,3.369999885559082,3.569999933242798,3.3399999141693115,3.4700000286102295,3.1620986461639404,5500,,,,,,,,
2020-04-17,3.4000000953674316,3.450000047683716,3.380000114440918,3.4000000953674316,3.0983099937438965,4000,,,,,,,,
2020-04-20,3.4700000286102295,3.549999952316284,3.450000047683716,3.450000047683716,3.1438732147216797,19500,,,,,,,,
2020-04-21,3.4800000190734863,3.549999952316284,3.440000057220459,3.4700000286102295,3.1620986461639404,30400,,,,,,,,
2020-04-22,3.375,3.375,3.3399999141693115,3.3420000076293945,3.0454561710357666,8200,,,,,,,,
2020-04-23,3.549999952316284,3.549999952316284,3.4800000190734863,3.4800000190734863,3.171211004257202,31400,,,,,,,,
2020-04-24,3.5299999713897705,3.5950000286102295,3.5299999713897705,3.5899999141693115,3.2714502811431885,2700,,,,,,,,
2020-04-27,3.680000066757202,3.7070000171661377,3.680000066757202,3.7070000171661377,3.378068685531616,900,,,,,,,,
2020-04-28,3.7300000190734863,3.890000104904175,3.7300000190734863,3.880000114440918,3.5357184410095215,4900,,,,,,,,
2020-04-29,4.050000190734863,4.25,4.050000190734863,4.184999942779541,3.813654899597168,10600,,,,,,,,
2020-04-30,4.239999771118164,4.239999771118164,4.125,4.125,3.758978843688965,6700,,,,,,,,
2020-05-01,3.940000057220459,4.019999980926514,3.9100000858306885,3.940000057220459,3.5903942584991455,16200,,,,,,,,
2020-05-04,4.130000114440918,4.230000019073486,4.130000114440918,4.190000057220459,3.818211078643799,2800,,,,,,,,
2020-05-05,4.130000114440918,4.130000114440918,4.079999923706055,4.079999923706055,3.7179715633392334,6900,,,,,,,,
2020-05-06,4.150000095367432,4.150000095367432,4.124000072479248,4.124000072479248,3.7580676078796387,8100,,,,,,,,
2020-05-07,4.090000152587891,4.125,4.079999923706055,4.125,3.758978843688965,5600,,,,,,,,
2020-05-08,4.125,4.125,4.125,4.125,3.758978843688965,0,,,,,,,,
2020-05-11,4.119999885559082,4.239999771118164,4.119999885559082,4.139999866485596,3.7726476192474365,1100,,,,,,,,
2020-05-12,4.21999979019165,4.21999979019165,4.210000038146973,4.210000038146973,3.8364367485046387,4900,,,,,,,,
2020-05-13,4.184999942779541,4.184999942779541,4.099999904632568,4.099999904632568,3.736196994781494,5100,,,,,,,,
2020-05-14,3.799999952316284,4.025000095367432,3.7699999809265137,3.940000057220459,3.5903942584991455,4200,,,,,,,,
2020-05-15,4.210000038146973,4.239999771118164,4.190000057220459,4.239999771118164,3.863774538040161,34600,,,,,,,,
2020-05-18,4.230000019073486,4.28000020980835,4.21999979019165,4.230000019073486,3.8546621799468994,21500,,,,,,,,
2020-05-19,4.130000114440918,4.199999809265137,4.130000114440918,4.159999847412109,3.7908730506896973,3200,,,,,,,,
2020-05-20,4.210000038146973,4.230000019073486,4.170000076293945,4.170000076293945,3.799985647201538,2100,,,,,,,,
2020-05-21,4.170000076293945,4.269999980926514,4.150000095367432,4.269999980926514,3.8911123275756836,1300,,,,,,,,
2020-05-22,4.239999771118164,4.304999828338623,4.230000019073486,4.304999828338623,3.923006772994995,1100,,,,,,,,
2020-05-26,4.349999904632568,4.380000114440918,4.349999904632568,4.380000114440918,3.991352081298828,600,,,,,,,,
2020-05-27,4.309999942779541,4.369999885559082,4.300000190734863,4.369999885559082,3.9822394847869873,13400,,,,,,,,
2020-05-28,4.400000095367432,4.461999893188477,4.349999904632568,4.349999904632568,3.9640133380889893,2000,,,,,,,,
2020-05-29,4.25,4.293000221252441,4.21999979019165,4.293000221252441,3.912071943283081,10200,,,,,,,,
2020-06-01,4.349999904632568,4.389999866485596,4.349999904632568,4.380000114440918,3.991352081298828,1000,,,,,,,,
2020-06-02,4.25,4.269999980926514,4.239999771118164,4.260000228881836,3.881999969482422,2600,,,,,,,,
2020-06-03,4.260000228881836,4.260000228881836,4.260000228881836,4.260000228881836,3.881999969482422,0,,,,,,,,
2020-06-04,4.440000057220459,4.489999771118164,4.440000057220459,4.449999809265137,4.055140495300293,3000,,,,,,,,
2020-06-05,4.510000228881836,4.510000228881836,4.510000228881836,4.510000228881836,4.109817028045654,300,,,,,,,,
2020-06-08,4.71999979019165,4.820000171661377,4.71999979019165,4.820000171661377,4.392309665679932,3500,,,,,,,,
2020-06-09,4.829999923706055,4.829999923706055,4.559999942779541,4.604000091552734,4.1954755783081055,2300,,,,,,,,
2020-06-10,4.659999847412109,4.670000076293945,4.659999847412109,4.670000076293945,4.255619525909424,1700,,,,,,,,
2020-06-11,4.300000190734863,4.300000190734863,4.159999847412109,4.159999847412109,3.7908730506896973,25600,,,,,,,,
2020-06-12,4.400000095367432,4.400000095367432,4.21999979019165,4.21999979019165,3.8455493450164795,18400,,,,,,,,
2020-06-15,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,4.000463962554932,800,,,,,,,,
2020-06-16,4.489999771118164,4.489999771118164,4.394999980926514,4.394999980926514,4.005020618438721,22500,,,,,,,,
2020-06-17,4.440000057220459,4.474999904632568,4.440000057220459,4.440000057220459,4.0460286140441895,1000,,,,,,,,
2020-06-18,4.429999828338623,4.449999809265137,4.429999828338623,4.445000171661377,4.05058479309082,2300,,,,,,,,
2020-06-19,4.400000095367432,4.409999847412109,4.309999942779541,4.309999942779541,3.927562952041626,1000,,,,,,,,
2020-06-22,4.489999771118164,4.489999771118164,4.489999771118164,4.489999771118164,4.091591835021973,1200,,,,,,,,
2020-06-23,4.489999771118164,4.489999771118164,4.489999771118164,4.489999771118164,4.091591835021973,0,,,,,,,,
2020-06-24,4.480000019073486,4.480000019073486,4.480000019073486,4.480000019073486,4.082479000091553,123800,,,,,,,,
2020-06-25,3.809999942779541,3.9700000286102295,3.7699999809265137,3.9200000762939453,3.572169065475464,24900,,,,,,,,
2020-06-26,4.110000133514404,4.130000114440918,4.0,4.0,3.6450703144073486,29300,,,,,,,,
2020-06-29,4.139999866485596,4.235000133514404,4.139999866485596,4.170000076293945,3.799985647201538,6700,,,,,,,,
2020-06-30,4.46999979019165,4.510000228881836,4.449999809265137,4.480000019073486,4.082479000091553,7100,,,,,,,,
2020-07-01,4.289999961853027,4.289999961853027,4.289999961853027,4.289999961853027,3.9093379974365234,600,,,,,,,,
2020-07-02,4.230000019073486,4.329999923706055,4.214000225067139,4.228000164031982,3.852839469909668,1700,,,,,,,,
2020-07-06,4.28000020980835,4.28000020980835,4.230000019073486,4.28000020980835,3.9002254009246826,4500,,,,,,,,
2020-07-07,4.289999961853027,4.409999847412109,4.289999961853027,4.349999904632568,3.9640133380889893,700,,,,,,,,
2020-07-08,4.190000057220459,4.190000057220459,4.190000057220459,4.190000057220459,3.818211078643799,700,,,,,,,,
2020-07-09,4.190000057220459,4.190000057220459,4.190000057220459,4.190000057220459,3.818211078643799,0,,,,,,,,
2020-07-10,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,3.813654899597168,900,,,,,,,,
2020-07-13,4.300000190734863,4.303999900817871,4.199999809265137,4.199999809265137,3.8273236751556396,8100,,,,,,,,
2020-07-14,4.369999885559082,4.380000114440918,4.320000171661377,4.349999904632568,3.9640133380889893,20600,,,,,,,,
2020-07-15,4.510000228881836,4.510000228881836,4.510000228881836,4.510000228881836,4.109817028045654,1100,,,,,,,,
2020-07-16,4.520999908447266,4.520999908447266,4.520999908447266,4.520999908447266,4.1198410987854,300,,,,,,,,
2020-07-17,4.570000171661377,4.570000171661377,4.553999900817871,4.553999900817871,4.149912357330322,500,,,,,,,,
2020-07-20,4.534999847412109,4.550000190734863,4.534999847412109,4.550000190734863,4.146267414093018,800,,,,,,,,
2020-07-21,4.53000020980835,4.53000020980835,4.53000020980835,4.53000020980835,4.128042697906494,900,,,,,,,,
2020-07-22,4.510000228881836,4.514999866485596,4.510000228881836,4.510000228881836,4.109817028045654,900,,,,,,,,
2020-07-23,4.489999771118164,4.514999866485596,4.489999771118164,4.514999866485596,4.114372730255127,1300,,,,,,,,
2020-07-24,4.510000228881836,4.550000190734863,4.510000228881836,4.53000020980835,4.128042697906494,500,,,,,,,,
2020-07-27,4.46999979019165,4.46999979019165,4.46999979019165,4.46999979019165,4.073365688323975,200,,,,,,,,
2020-07-28,4.460000038146973,4.480000019073486,4.449999809265137,4.449999809265137,4.055140495300293,3400,,,,,,,,
2020-07-29,4.449999809265137,4.449999809265137,4.449999809265137,4.449999809265137,4.055140495300293,0,,,,,,,,
2020-07-30,4.320000171661377,4.320000171661377,4.320000171661377,4.320000171661377,3.936676502227783,300,,,,,,,,
2020-07-31,4.199999809265137,4.199999809265137,4.130000114440918,4.159999847412109,3.7908730506896973,17300,,,,,,,,
2020-08-03,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,3.9184505939483643,300,,,,,,,,
2020-08-04,4.599999904632568,4.695000171661377,4.599999904632568,4.679999828338623,4.2647318840026855,8900,,,,,,,,
2020-08-05,4.78000020980835,4.789999961853027,4.739999771118164,4.78000020980835,4.35585880279541,1500,,,,,,,,
2020-08-06,4.679999828338623,4.679999828338623,4.679999828338623,4.679999828338623,4.2647318840026855,22900,,,,,,,,
2020-08-07,4.679999828338623,4.679999828338623,4.679999828338623,4.679999828338623,4.2647318840026855,0,,,,,,,,
2020-08-10,5.010000228881836,5.010000228881836,4.96999979019165,5.0,4.556337833404541,22400,,,,,,,,
2020-08-11,5.289999961853027,5.414999961853027,5.241000175476074,5.241000175476074,4.775953769683838,38300,,,,,,,,
2020-08-12,5.489999771118164,5.489999771118164,5.46999979019165,5.46999979019165,4.984633445739746,79200,,,,,,,,
2020-08-13,5.699999809265137,5.730000019073486,5.619999885559082,5.619999885559082,5.121323585510254,62300,,,,,,,,
2020-08-14,5.559999942779541,5.570000171661377,5.559999942779541,5.570000171661377,5.075760364532471,2800,,,,,,,,
2020-08-17,5.550000190734863,5.559999942779541,5.5,5.502999782562256,5.014706134796143,192700,,,,,,,,
2020-08-18,5.300000190734863,5.311999797821045,5.28000020980835,5.311999797821045,4.840652942657471,220700,,,,,,,,
2020-08-19,5.320000171661377,5.339000225067139,5.2779998779296875,5.2779998779296875,4.809670448303223,192900,,,,,,,,
2020-08-20,5.039999961853027,5.168000221252441,5.039999961853027,5.168000221252441,4.709431171417236,193600,,,,,,,,
2020-08-21,4.820000171661377,4.900000095367432,4.809999942779541,4.900000095367432,4.465210914611816,199800,,,,,,,,
2020-08-24,4.789999961853027,4.849999904632568,4.789999961853027,4.840000152587891,4.410534858703613,9900,,,,,,,,
2020-08-25,4.980000019073486,4.980000019073486,4.75,4.75,4.328521728515625,7400,,,,,,,,
