date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SAPGF')","('high', 'SAPGF')","('low', 'SAPGF')","('close', 'SAPGF')","('adj_close', 'SAPGF')","('volume', 'SAPGF')","('currency', '')"
2020-01-02,135.0,136.89999389648438,134.6999969482422,135.25,122.67501831054688,51200,,,,,,,,
2020-01-03,132.9499969482422,134.1999969482422,132.9499969482422,133.6999969482422,121.26912689208984,38600,,,,,,,,
2020-01-06,132.69000244140625,132.69000244140625,132.69000244140625,132.69000244140625,120.35303497314453,500,,,,,,,,
2020-01-07,134.0,134.0,134.0,134.0,121.54122924804688,300,,,,,,,,
2020-01-08,133.0,135.0,133.0,135.0,122.44825744628906,3000,,,,,,,,
2020-01-09,135.25,137.0,134.7899932861328,135.39999389648438,122.81105041503906,4800,,,,,,,,
2020-01-10,136.0,137.0,136.0,137.0,124.2623062133789,17000,,,,,,,,
2020-01-13,136.5,136.8000030517578,136.5,136.8000030517578,124.0809097290039,2700,,,,,,,,
2020-01-14,136.5,136.6999969482422,136.0,136.0,123.35528564453125,1100,,,,,,,,
2020-01-15,136.89999389648438,136.89999389648438,135.6999969482422,135.6999969482422,123.08317565917969,800,,,,,,,,
2020-01-16,135.5500030517578,135.5500030517578,134.9499969482422,134.9499969482422,122.40290832519531,700,,,,,,,,
2020-01-17,137.75,139.5,137.75,138.3000030517578,125.44143676757812,3100,,,,,,,,
2020-01-21,139.0,140.14999389648438,138.25,140.14999389648438,127.11943817138672,3900,,,,,,,,
2020-01-22,139.25,140.60000610351562,138.2899932861328,138.2899932861328,125.43238067626953,1500,,,,,,,,
2020-01-23,136.38999938964844,136.38999938964844,135.7899932861328,135.7899932861328,123.164794921875,600,,,,,,,,
2020-01-24,138.75,140.60000610351562,138.5,138.5,125.62284851074219,10700,,,,,,,,
2020-01-27,136.1999969482422,137.0,134.5,137.0,124.2623062133789,10000,,,,,,,,
2020-01-28,131.6999969482422,132.6999969482422,129.9499969482422,132.4499969482422,120.13534545898438,119000,,,,,,,,
2020-01-29,131.0,132.00999450683594,130.4499969482422,132.00999450683594,119.73625183105469,347900,,,,,,,,
2020-01-30,129.25,131.0,129.25,130.3699951171875,118.24872589111328,74400,,,,,,,,
2020-01-31,131.0,131.5,129.25,129.25,117.23286437988281,16300,,,,,,,,
2020-02-03,130.75,132.75,130.75,132.25,119.95394134521484,31600,,,,,,,,
2020-02-04,134.0399932861328,135.7100067138672,134.0399932861328,134.25,121.76799011230469,2300,,,,,,,,
2020-02-05,136.0500030517578,137.5,135.2899932861328,135.2899932861328,122.71128845214844,15900,,,,,,,,
2020-02-06,135.0,136.6999969482422,135.0,135.0,122.44825744628906,34600,,,,,,,,
