date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HIG')","('high', 'HIG')","('low', 'HIG')","('close', 'HIG')","('adj_close', 'HIG')","('volume', 'HIG')","('currency', '')"
2020-01-02,60.959999084472656,61.0099983215332,60.22999954223633,60.95000076293945,53.35436248779297,1612000,,,,,,,,
2020-01-03,60.29999923706055,60.77000045776367,60.290000915527344,60.63999938964844,53.083003997802734,1326800,,,,,,,,
2020-01-06,60.52000045776367,60.83000183105469,60.31999969482422,60.47999954223633,52.94295120239258,2050400,,,,,,,,
2020-01-07,60.09000015258789,60.4900016784668,59.84000015258789,59.939998626708984,52.470237731933594,1413900,,,,,,,,
2020-01-08,60.060001373291016,60.83000183105469,59.939998626708984,60.2599983215332,52.7503547668457,1656100,,,,,,,,
2020-01-09,60.5099983215332,60.630001068115234,60.11000061035156,60.619998931884766,53.065486907958984,1774900,,,,,,,,
2020-01-10,60.599998474121094,60.619998931884766,59.7400016784668,59.7599983215332,52.31266784667969,2479800,,,,,,,,
2020-01-13,59.81999969482422,59.97999954223633,59.130001068115234,59.5,52.08507537841797,2715500,,,,,,,,
2020-01-14,59.38999938964844,60.22999954223633,59.349998474121094,59.7599983215332,52.31266784667969,2348600,,,,,,,,
2020-01-15,59.560001373291016,60.04999923706055,59.540000915527344,59.599998474121094,52.172607421875,1639800,,,,,,,,
2020-01-16,59.83000183105469,60.470001220703125,59.83000183105469,60.27000045776367,52.759117126464844,2772500,,,,,,,,
2020-01-17,60.54999923706055,61.220001220703125,60.529998779296875,61.220001220703125,53.590721130371094,2080500,,,,,,,,
2020-01-21,61.060001373291016,61.31999969482422,60.38999938964844,60.4900016784668,52.95169448852539,1460000,,,,,,,,
2020-01-22,60.4900016784668,60.4900016784668,59.58000183105469,59.900001525878906,52.435218811035156,2218500,,,,,,,,
2020-01-23,59.29999923706055,59.310001373291016,58.380001068115234,58.810001373291016,51.48106384277344,2668400,,,,,,,,
2020-01-24,58.810001373291016,59.04999923706055,58.4900016784668,58.97999954223633,51.6298713684082,2077800,,,,,,,,
2020-01-27,58.2400016784668,58.77000045776367,58.060001373291016,58.09000015258789,50.85078811645508,2261700,,,,,,,,
2020-01-28,58.22999954223633,58.959999084472656,58.150001525878906,58.68000030517578,51.36725616455078,2653800,,,,,,,,
