date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FCNCB')","('high', 'FCNCB')","('low', 'FCNCB')","('close', 'FCNCB')","('adj_close', 'FCNCB')","('volume', 'FCNCB')","('currency', '')"
2020-01-02,450.0,450.0,450.0,450.0,439.68328857421875,100,,,,,,,,
2020-01-03,450.0,450.0,450.0,450.0,439.68328857421875,100,,,,,,,,
2020-01-06,450.0,450.0,450.0,450.0,439.68328857421875,0,,,,,,,,
2020-01-07,436.0,436.0,429.0,434.0,424.0500793457031,400,,,,,,,,
2020-01-08,438.0,438.0,438.0,438.0,427.9584045410156,100,,,,,,,,
2020-01-09,438.5,438.5,438.5,438.5,428.4469299316406,100,,,,,,,,
2020-01-10,436.0,436.0,415.010009765625,430.0,420.1417236328125,100,,,,,,,,
2020-01-13,430.0,430.0,430.0,430.0,420.1417236328125,0,,,,,,,,
2020-01-14,435.0,435.0,435.0,435.0,425.0271911621094,100,,,,,,,,
2020-01-15,435.0,435.0,435.0,435.0,425.0271911621094,100,,,,,,,,
2020-01-16,435.0,435.0,435.0,435.0,425.0271911621094,0,,,,,,,,
2020-01-17,435.0,435.0,430.0,433.0,423.0730895996094,100,,,,,,,,
2020-01-21,433.0,433.0,433.0,433.0,423.0730895996094,100,,,,,,,,
2020-01-22,433.0,433.0,433.0,433.0,423.0730895996094,0,,,,,,,,
2020-01-23,438.0,438.0,438.0,438.0,427.9584045410156,100,,,,,,,,
2020-01-24,432.0,432.0,430.0,432.0,422.0959167480469,100,,,,,,,,
2020-01-27,432.0,432.0,432.0,432.0,422.0959167480469,0,,,,,,,,
2020-01-28,432.0,432.0,432.0,432.0,422.0959167480469,0,,,,,,,,
2020-01-29,430.0,430.0,430.0,430.0,420.1417236328125,100,,,,,,,,
2020-01-30,427.0,445.0,425.0,445.0,434.79791259765625,100,,,,,,,,
2020-01-31,445.0,445.0,445.0,445.0,434.79791259765625,0,,,,,,,,
2020-02-03,435.0,435.0,435.0,435.0,425.0271911621094,100,,,,,,,,
2020-02-04,438.0,440.0,438.0,440.0,429.91253662109375,100,,,,,,,,
2020-02-05,440.0,440.0,440.0,440.0,429.91253662109375,0,,,,,,,,
2020-02-06,437.0,437.0,433.0,433.25,423.31732177734375,100,,,,,,,,
2020-02-07,433.25,433.25,433.25,433.25,423.31732177734375,0,,,,,,,,
2020-02-10,433.25,433.25,433.25,433.25,423.31732177734375,0,,,,,,,,
2020-02-11,432.489990234375,432.5,432.489990234375,432.5,422.5844421386719,100,,,,,,,,
2020-02-12,432.5,432.5,432.5,432.5,422.5844421386719,0,,,,,,,,
2020-02-13,432.5,432.5,432.5,432.5,422.5844421386719,0,,,,,,,,
2020-02-14,437.0,437.0,437.0,437.0,426.9812316894531,100,,,,,,,,
2020-02-18,437.0,437.0,437.0,437.0,426.9812316894531,0,,,,,,,,
2020-02-19,430.0,430.0,430.0,430.0,420.1417236328125,100,,,,,,,,
2020-02-20,429.0,429.0,429.0,429.0,419.1646423339844,100,,,,,,,,
2020-02-21,428.0,428.510009765625,427.0,428.510009765625,418.6858825683594,200,,,,,,,,
2020-02-24,425.010009765625,426.0,422.0,422.0,412.32525634765625,100,,,,,,,,
2020-02-25,410.0,410.0,405.0,405.5,396.2034912109375,500,,,,,,,,
2020-02-26,405.5,410.0,405.5,410.0,400.60028076171875,300,,,,,,,,
2020-02-27,405.5,405.5,405.5,405.5,396.2034912109375,300,,,,,,,,
2020-02-28,400.0,400.5,386.0,386.0,377.1505432128906,200,,,,,,,,
2020-03-02,386.0,386.0,386.0,386.0,377.1505432128906,0,,,,,,,,
