date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LH')","('high', 'LH')","('low', 'LH')","('close', 'LH')","('adj_close', 'LH')","('volume', 'LH')","('currency', '')"
2020-01-02,146.0137481689453,146.2199249267578,142.02749633789062,143.88316345214844,137.44931030273438,948544,,,,,,,,
2020-01-03,141.726806640625,143.99484252929688,141.03952026367188,143.6683807373047,137.24411010742188,647882,,,,,,,,
2020-01-06,143.48797607421875,145.5670166015625,143.16151428222656,145.54983520507812,139.0414581298828,674305,,,,,,,,
2020-01-07,144.68212890625,145.59278869628906,144.57044982910156,145.3264617919922,138.8280792236328,612962,,,,,,,,
2020-01-08,146.04811096191406,149.70790100097656,145.137451171875,149.34707641601562,142.6688995361328,998130,,,,,,,,
2020-01-09,149.78521728515625,152.01890563964844,149.6134033203125,150.26632690429688,143.5470733642578,963326,,,,,,,,
2020-01-10,150.49827575683594,152.92095947265625,150.30068969726562,152.5601348876953,145.73828125,849254,,,,,,,,
2020-01-13,152.79209899902344,154.08074951171875,152.5085906982422,153.9690704345703,147.084228515625,847392,,,,,,,,
2020-01-14,153.71133422851562,155.88487243652344,152.8092803955078,154.97422790527344,148.04443359375,1160392,,,,,,,,
2020-01-15,154.91409301757812,155.91925048828125,152.84364318847656,153.11856079101562,146.27175903320312,919909,,,,,,,,
2020-01-16,153.8316192626953,154.77662658691406,151.81271362304688,152.69760131835938,145.86959838867188,1307638,,,,,,,,
2020-01-17,152.62026977539062,153.10997009277344,150.82473754882812,152.06185913085938,145.26231384277344,1197989,,,,,,,,
2020-01-21,151.9329833984375,154.6048126220703,151.67526245117188,154.32130432128906,147.42071533203125,753806,,,,,,,,
2020-01-22,154.76803588867188,154.94845581054688,153.93470764160156,154.26116943359375,147.36326599121094,689786,,,,,,,,
2020-01-23,154.02061462402344,154.4845428466797,152.62026977539062,154.4415740966797,147.53561401367188,658824,,,,,,,,
2020-01-24,154.8109893798828,154.95704650878906,151.9759521484375,152.21649169921875,145.41004943847656,648348,,,,,,,,
2020-01-27,150.41236877441406,152.9467315673828,150.01718139648438,152.48281860351562,145.66445922851562,788959,,,,,,,,
2020-01-28,153.1357421875,155.27491760253906,152.4914093017578,155.137451171875,148.20037841796875,830048,,,,,,,,
2020-01-29,155.40377807617188,156.11683654785156,154.4329833984375,154.6219940185547,147.70794677734375,576413,,,,,,,,
2020-01-30,153.88316345214844,155.31787109375,150.91065979003906,153.81443786621094,146.93650817871094,599227,,,,,,,,
