date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LOGN.SW')","('high', 'LOGN.SW')","('low', 'LOGN.SW')","('close', 'LOGN.SW')","('adj_close', 'LOGN.SW')","('volume', 'LOGN.SW')","('currency', '')"
2020-01-03,45.84000015258789,46.08000183105469,45.54999923706055,46.0,41.989315032958984,919473,,,,,,,,
2020-01-06,45.75,45.7599983215332,45.08000183105469,45.619998931884766,41.6424446105957,1253515,,,,,,,,
2020-01-07,45.77000045776367,46.15999984741211,45.77000045776367,46.0,41.989315032958984,1165828,,,,,,,,
2020-01-08,46.29999923706055,46.41999816894531,45.93000030517578,46.09000015258789,42.071468353271484,733993,,,,,,,,
2020-01-09,46.5,46.7400016784668,46.31999969482422,46.529998779296875,42.473106384277344,591978,,,,,,,,
2020-01-10,46.7400016784668,46.810001373291016,46.33000183105469,46.5,42.44572067260742,459393,,,,,,,,
2020-01-13,46.5,46.72999954223633,46.0099983215332,46.33000183105469,42.29054641723633,1298808,,,,,,,,
2020-01-14,45.939998626708984,46.2400016784668,45.59000015258789,45.86000061035156,41.86152267456055,1013468,,,,,,,,
2020-01-15,45.599998474121094,45.810001373291016,45.25,45.369998931884766,41.41424560546875,1224988,,,,,,,,
2020-01-16,45.63999938964844,45.63999938964844,45.099998474121094,45.22999954223633,41.28645324707031,1047192,,,,,,,,
2020-01-17,45.38999938964844,45.38999938964844,44.720001220703125,44.720001220703125,40.82091522216797,1496395,,,,,,,,
2020-01-20,44.86000061035156,45.18000030517578,44.66999816894531,44.66999816894531,40.7752799987793,1202919,,,,,,,,
2020-01-21,45.099998474121094,46.7400016784668,44.779998779296875,46.7400016784668,42.66480255126953,2139812,,,,,,,,
2020-01-22,46.349998474121094,47.189998626708984,46.04999923706055,47.04999923706055,42.94776916503906,1736012,,,,,,,,
2020-01-23,47.09000015258789,47.099998474121094,46.45000076293945,46.720001220703125,42.646541595458984,916833,,,,,,,,
2020-01-24,46.95000076293945,47.52000045776367,46.779998779296875,47.22999954223633,43.11207580566406,1024458,,,,,,,,
2020-01-27,46.29999923706055,46.34000015258789,45.0099983215332,45.560001373291016,41.58768081665039,1524873,,,,,,,,
2020-01-28,45.290000915527344,45.599998474121094,44.439998626708984,45.29999923706055,41.350345611572266,1487238,,,,,,,,
