date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EG')","('high', 'EG')","('low', 'EG')","('close', 'EG')","('adj_close', 'EG')","('volume', 'EG')","('currency', '')"
2020-01-02,277.8999938964844,278.29998779296875,274.8900146484375,278.1499938964844,245.66757202148438,181300,,,,,,,,
2020-01-03,275.4599914550781,278.2699890136719,275.4599914550781,277.239990234375,244.86375427246094,162400,,,,,,,,
2020-01-06,277.0899963378906,277.75,275.489990234375,276.5899963378906,244.28976440429688,265200,,,,,,,,
2020-01-07,275.8500061035156,276.6300048828125,274.0299987792969,274.1700134277344,242.15235900878906,244300,,,,,,,,
2020-01-08,274.9200134277344,277.20001220703125,273.3299865722656,273.3399963378906,241.41929626464844,225700,,,,,,,,
2020-01-09,273.5899963378906,276.8699951171875,273.5899963378906,276.239990234375,243.98057556152344,193800,,,,,,,,
2020-01-10,275.9800109863281,277.2699890136719,273.57000732421875,274.8299865722656,242.73521423339844,220700,,,,,,,,
2020-01-13,274.55999755859375,276.69000244140625,274.55999755859375,275.9599914550781,243.7332763671875,158700,,,,,,,,
2020-01-14,273.489990234375,276.3500061035156,273.489990234375,274.6499938964844,242.5762939453125,203400,,,,,,,,
2020-01-15,274.32000732421875,276.5799865722656,273.0299987792969,275.5400085449219,243.36231994628906,206700,,,,,,,,
2020-01-16,276.9700012207031,278.4100036621094,276.3900146484375,277.42999267578125,245.03155517578125,264200,,,,,,,,
2020-01-17,278.6499938964844,281.45001220703125,278.6499938964844,279.9700012207031,247.2749786376953,205900,,,,,,,,
2020-01-21,280.0,280.95001220703125,278.6499938964844,280.0,247.30152893066406,398400,,,,,,,,
2020-01-22,280.19000244140625,281.0899963378906,278.8900146484375,281.0,248.18467712402344,561600,,,,,,,,
2020-01-23,278.989990234375,281.1400146484375,276.3299865722656,280.9200134277344,248.11412048339844,336400,,,,,,,,
2020-01-24,280.8699951171875,281.9800109863281,275.4800109863281,277.3500061035156,244.9609375,258800,,,,,,,,
2020-01-27,274.42999267578125,275.6300048828125,272.6300048828125,272.67999267578125,240.8363037109375,173900,,,,,,,,
2020-01-28,273.8900146484375,276.8599853515625,273.8900146484375,275.1400146484375,243.009033203125,214900,,,,,,,,
2020-01-29,275.1600036621094,276.3699951171875,273.6199951171875,274.6199951171875,242.54977416992188,192500,,,,,,,,
2020-01-30,273.07000732421875,277.1000061035156,271.94000244140625,276.8800048828125,244.5458221435547,214100,,,,,,,,
2020-01-31,276.0,278.8699951171875,275.8599853515625,276.57000732421875,244.27207946777344,454200,,,,,,,,
2020-02-03,277.1099853515625,281.1400146484375,276.6600036621094,279.5899963378906,246.93934631347656,288100,,,,,,,,
2020-02-04,281.489990234375,282.3299865722656,277.5899963378906,277.5899963378906,245.17300415039062,236400,,,,,,,,
2020-02-05,278.989990234375,283.30999755859375,278.6400146484375,283.29998779296875,250.2161102294922,344900,,,,,,,,
2020-02-06,283.94000244140625,284.2699890136719,280.260009765625,280.45001220703125,247.69898986816406,374300,,,,,,,,
2020-02-07,279.510009765625,285.8500061035156,279.510009765625,282.5799865722656,249.5802764892578,229100,,,,,,,,
2020-02-10,282.0799865722656,285.9599914550781,281.7799987792969,285.8800048828125,252.4948272705078,215100,,,,,,,,
2020-02-11,287.6300048828125,294.30999755859375,284.260009765625,291.6400146484375,257.5821838378906,411900,,,,,,,,
2020-02-12,291.9599914550781,291.9599914550781,284.9100036621094,287.67999267578125,254.08470153808594,243300,,,,,,,,
2020-02-13,287.0299987792969,291.79998779296875,287.0299987792969,291.7799987792969,257.70587158203125,233900,,,,,,,,
2020-02-14,292.05999755859375,293.8999938964844,289.6600036621094,291.3699951171875,257.34375,209700,,,,,,,,
2020-02-18,290.5,290.6000061035156,287.17999267578125,289.7900085449219,255.94822692871094,205900,,,,,,,,
2020-02-19,291.239990234375,291.8399963378906,289.5299987792969,290.5799865722656,256.6459655761719,243700,,,,,,,,
2020-02-20,289.0,290.05999755859375,285.239990234375,287.92999267578125,254.3054656982422,160500,,,,,,,,
2020-02-21,287.3999938964844,289.95001220703125,286.9700012207031,289.8500061035156,256.001220703125,235000,,,,,,,,
2020-02-24,285.55999755859375,287.44000244140625,281.1700134277344,283.0400085449219,249.98643493652344,593100,,,,,,,,
2020-02-25,282.44000244140625,283.6199951171875,277.6700134277344,278.54998779296875,246.02084350585938,438500,,,,,,,,
2020-02-26,280.1099853515625,281.05999755859375,273.2300109863281,273.2300109863281,241.32211303710938,349000,,,,,,,,
2020-02-27,270.489990234375,274.3599853515625,261.79998779296875,261.80999755859375,231.2357177734375,354000,,,,,,,,
2020-02-28,256.8399963378906,257.8399963378906,242.22999572753906,247.8800048828125,218.9324951171875,676700,,,,,,,,
