date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FIG')","('high', 'FIG')","('low', 'FIG')","('close', 'FIG')","('adj_close', 'FIG')","('volume', 'FIG')","('currency', '')"
2025-07-31,85.0,124.62999725341797,84.1050033569336,115.5,115.5,64409000,,,,,,,,
2025-08-01,134.82000732421875,142.9199981689453,110.11000061035156,122.0,122.0,56350600,,,,,,,,
2025-08-04,113.91999816894531,114.28500366210938,88.5999984741211,88.5999984741211,88.5999984741211,39710100,,,,,,,,
2025-08-05,91.19000244140625,94.0,79.0,79.08000183105469,79.08000183105469,25581100,,,,,,,,
2025-08-06,76.9000015258789,91.48999786376953,76.6500015258789,90.31999969482422,90.31999969482422,28703600,,,,,,,,
2025-08-07,86.6500015258789,87.87999725341797,77.80000305175781,78.23999786376953,78.23999786376953,14153700,,,,,,,,
2025-08-08,82.54000091552734,82.5999984741211,78.0,78.11000061035156,78.11000061035156,7353700,,,,,,,,
2025-08-11,78.77999877929688,84.0,78.0,82.5,82.5,8644600,,,,,,,,
2025-08-12,84.0,90.69000244140625,83.91000366210938,87.36000061035156,87.36000061035156,10438200,,,,,,,,
2025-08-13,90.95999908447266,91.0,81.05000305175781,81.91000366210938,81.91000366210938,8138900,,,,,,,,
2025-08-14,81.5,82.94000244140625,76.0,76.30999755859375,76.30999755859375,8133900,,,,,,,,
2025-08-15,79.0,81.0,76.55999755859375,79.41999816894531,79.41999816894531,4685900,,,,,,,,
2025-08-18,79.19999694824219,80.75,75.5,76.16000366210938,76.16000366210938,4296800,,,,,,,,
2025-08-19,76.41999816894531,76.56999969482422,68.61000061035156,69.41000366210938,69.41000366210938,9025600,,,,,,,,
2025-08-20,70.0,75.1500015258789,67.0,74.04000091552734,74.04000091552734,8574000,,,,,,,,
2025-08-21,73.0999984741211,74.06999969482422,71.81999969482422,72.76000213623047,72.76000213623047,2786400,,,,,,,,
2025-08-22,73.41000366210938,78.0,72.41000366210938,77.30000305175781,77.30000305175781,4151900,,,,,,,,
2025-08-25,74.55999755859375,75.69999694824219,69.61000061035156,70.4000015258789,70.4000015258789,6761600,,,,,,,,
2025-08-26,70.87999725341797,72.19999694824219,69.30000305175781,70.12999725341797,70.12999725341797,3355400,,,,,,,,
