date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OXM')","('high', 'OXM')","('low', 'OXM')","('close', 'OXM')","('adj_close', 'OXM')","('volume', 'OXM')","('currency', '')"
2020-01-02,75.91999816894531,76.69000244140625,74.76000213623047,76.55999755859375,64.35269165039062,107300,,,,,,,,
2020-01-03,75.2699966430664,76.48999786376953,74.80000305175781,76.22000122070312,64.06689453125,122700,,,,,,,,
2020-01-06,75.19999694824219,76.91999816894531,75.08000183105469,76.86000061035156,64.60485076904297,94200,,,,,,,,
2020-01-07,76.62000274658203,77.2300033569336,75.86000061035156,76.58999633789062,64.37789916992188,74100,,,,,,,,
2020-01-08,76.66999816894531,77.41000366210938,75.45999908447266,75.58999633789062,63.537349700927734,140400,,,,,,,,
2020-01-09,75.73999786376953,75.80000305175781,72.33000183105469,72.41999816894531,60.872798919677734,194300,,,,,,,,
2020-01-10,72.47000122070312,72.9000015258789,71.45999908447266,72.47000122070312,60.914833068847656,109700,,,,,,,,
2020-01-13,72.41999816894531,73.55999755859375,72.3499984741211,73.52999877929688,61.80583190917969,76900,,,,,,,,
2020-01-14,73.37000274658203,74.44999694824219,73.0999984741211,73.86000061035156,62.08320999145508,67200,,,,,,,,
2020-01-15,73.5199966430664,74.11000061035156,73.2699966430664,73.69999694824219,61.94872283935547,122800,,,,,,,,
2020-01-16,73.5999984741211,74.72000122070312,73.25,74.16999816894531,62.65835189819336,94800,,,,,,,,
2020-01-17,74.48999786376953,74.5,73.66999816894531,74.08999633789062,62.59076690673828,117500,,,,,,,,
2020-01-21,73.68000030517578,73.81999969482422,72.69000244140625,73.2300033569336,61.864234924316406,81800,,,,,,,,
2020-01-22,73.43000030517578,74.12999725341797,72.9800033569336,73.36000061035156,61.97405242919922,75000,,,,,,,,
2020-01-23,72.83999633789062,73.47000122070312,71.62000274658203,72.88999938964844,61.57701110839844,122500,,,,,,,,
2020-01-24,73.0999984741211,73.0999984741211,71.68000030517578,72.27999877929688,61.06169128417969,95800,,,,,,,,
2020-01-27,70.88999938964844,71.58000183105469,70.11000061035156,70.81999969482422,59.82827377319336,86600,,,,,,,,
2020-01-28,71.12999725341797,71.86000061035156,70.88999938964844,70.97000122070312,59.95499801635742,50800,,,,,,,,
2020-01-29,74.86000061035156,74.86000061035156,71.94999694824219,71.94999694824219,60.78289794921875,70300,,,,,,,,
2020-01-30,71.26000213623047,73.36000061035156,71.26000213623047,73.12999725341797,61.779747009277344,88600,,,,,,,,
