date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FUL')","('high', 'FUL')","('low', 'FUL')","('close', 'FUL')","('adj_close', 'FUL')","('volume', 'FUL')","('currency', '')"
2020-01-02,52.0,52.099998474121094,51.119998931884766,51.47999954223633,47.719024658203125,244200,,,,,,,,
2020-01-03,50.529998779296875,50.84000015258789,50.290000915527344,50.349998474121094,46.67158126831055,232200,,,,,,,,
2020-01-06,49.790000915527344,50.04999923706055,49.619998931884766,49.650001525878906,46.0227165222168,295600,,,,,,,,
2020-01-07,49.439998626708984,49.84000015258789,49.25,49.5,45.88367462158203,253400,,,,,,,,
2020-01-08,49.34000015258789,49.4900016784668,48.65999984741211,48.790000915527344,45.22555160522461,506800,,,,,,,,
2020-01-09,49.040000915527344,49.189998626708984,48.38999938964844,48.439998626708984,44.90110397338867,221400,,,,,,,,
2020-01-10,48.459999084472656,48.61000061035156,48.099998474121094,48.13999938964844,44.62302780151367,275300,,,,,,,,
2020-01-13,48.25,48.88999938964844,47.880001068115234,48.79999923706055,45.23480987548828,257800,,,,,,,,
2020-01-14,48.61000061035156,49.380001068115234,48.61000061035156,49.33000183105469,45.72609329223633,362100,,,,,,,,
2020-01-15,49.130001068115234,49.560001373291016,48.72999954223633,49.02000045776367,45.43873596191406,257900,,,,,,,,
2020-01-16,49.27000045776367,49.66999816894531,49.060001373291016,49.45000076293945,45.83733367919922,420700,,,,,,,,
2020-01-17,49.86000061035156,49.86000061035156,48.810001373291016,49.400001525878906,45.79098892211914,381200,,,,,,,,
2020-01-21,49.20000076293945,49.61000061035156,48.65999984741211,49.06999969482422,45.48508834838867,548800,,,,,,,,
2020-01-22,49.099998474121094,49.540000915527344,48.93000030517578,49.15999984741211,45.56852340698242,386200,,,,,,,,
2020-01-23,48.209999084472656,49.400001525878906,47.5,49.029998779296875,45.4480094909668,854900,,,,,,,,
2020-01-24,49.83000183105469,50.0,47.77000045776367,48.349998474121094,44.817684173583984,617800,,,,,,,,
2020-01-27,47.349998474121094,48.34000015258789,47.25,48.130001068115234,44.61376190185547,424200,,,,,,,,
2020-01-28,48.470001220703125,48.81999969482422,48.20000076293945,48.560001373291016,45.012351989746094,361000,,,,,,,,
2020-01-29,48.5,48.779998779296875,47.959999084472656,48.13999938964844,44.770545959472656,226900,,,,,,,,
