date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'JQC')","('high', 'JQC')","('low', 'JQC')","('close', 'JQC')","('adj_close', 'JQC')","('volume', 'JQC')","('currency', '')"
2020-01-02,7.679999828338623,7.710000038146973,7.670000076293945,7.690000057220459,3.793593645095825,2725100,,,,,,,,
2020-01-03,7.650000095367432,7.670000076293945,7.610000133514404,7.670000076293945,3.7837297916412354,2115700,,,,,,,,
2020-01-06,7.670000076293945,7.670000076293945,7.599999904632568,7.650000095367432,3.7738640308380127,2174500,,,,,,,,
2020-01-07,7.639999866485596,7.670000076293945,7.599999904632568,7.630000114440918,3.763995885848999,1588500,,,,,,,,
2020-01-08,7.650000095367432,7.670000076293945,7.630000114440918,7.650000095367432,3.7738640308380127,736500,,,,,,,,
2020-01-09,7.659999847412109,7.670000076293945,7.639999866485596,7.659999847412109,3.778794050216675,812000,,,,,,,,
2020-01-10,7.659999847412109,7.670000076293945,7.630000114440918,7.639999866485596,3.768930435180664,710900,,,,,,,,
2020-01-13,7.650000095367432,7.659999847412109,7.630000114440918,7.659999847412109,3.778794050216675,1011900,,,,,,,,
2020-01-14,7.579999923706055,7.599999904632568,7.559999942779541,7.599999904632568,3.7947733402252197,1048800,,,,,,,,
2020-01-15,7.599999904632568,7.639999866485596,7.570000171661377,7.639999866485596,3.8147470951080322,1155200,,,,,,,,
2020-01-16,7.650000095367432,7.650000095367432,7.630000114440918,7.650000095367432,3.819739818572998,747500,,,,,,,,
2020-01-17,7.650000095367432,7.670000076293945,7.630000114440918,7.659999847412109,3.8247311115264893,804300,,,,,,,,
2020-01-21,7.670000076293945,7.679999828338623,7.639999866485596,7.670000076293945,3.8297250270843506,901800,,,,,,,,
2020-01-22,7.659999847412109,7.71999979019165,7.650000095367432,7.699999809265137,3.8447046279907227,1540800,,,,,,,,
2020-01-23,7.699999809265137,7.739999771118164,7.630000114440918,7.639999866485596,3.8147470951080322,1871900,,,,,,,,
2020-01-24,7.650000095367432,7.670000076293945,7.630000114440918,7.639999866485596,3.8147470951080322,1124200,,,,,,,,
2020-01-27,7.619999885559082,7.639999866485596,7.539999961853027,7.539999961853027,3.7648160457611084,961900,,,,,,,,
2020-01-28,7.570000171661377,7.579999923706055,7.539999961853027,7.559999942779541,3.7748005390167236,803100,,,,,,,,
2020-01-29,7.559999942779541,7.599999904632568,7.559999942779541,7.570000171661377,3.7797951698303223,495100,,,,,,,,
2020-01-30,7.559999942779541,7.570000171661377,7.550000190734863,7.559999942779541,3.7748005390167236,772600,,,,,,,,
2020-01-31,7.559999942779541,7.559999942779541,7.519999980926514,7.519999980926514,3.754828929901123,458200,,,,,,,,
2020-02-03,7.579999923706055,7.599999904632568,7.559999942779541,7.599999904632568,3.7947733402252197,759600,,,,,,,,
2020-02-04,7.610000133514404,7.659999847412109,7.610000133514404,7.639999866485596,3.8147470951080322,835700,,,,,,,,
2020-02-05,7.650000095367432,7.679999828338623,7.650000095367432,7.659999847412109,3.8247311115264893,551600,,,,,,,,
2020-02-06,7.679999828338623,7.699999809265137,7.670000076293945,7.679999828338623,3.8347177505493164,1405100,,,,,,,,
