date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GMRE')","('high', 'GMRE')","('low', 'GMRE')","('close', 'GMRE')","('adj_close', 'GMRE')","('volume', 'GMRE')","('currency', '')"
2020-01-02,66.75,66.9000015258789,64.3499984741211,64.8499984741211,39.87128448486328,53380,,,,,,,,
2020-01-03,64.19999694824219,66.05000305175781,64.05000305175781,66.05000305175781,40.609073638916016,73000,,,,,,,,
2020-01-06,66.1500015258789,67.25,65.92500305175781,67.05000305175781,41.223899841308594,54300,,,,,,,,
2020-01-07,68.75,68.75,66.2249984741211,66.69999694824219,41.008705139160156,79020,,,,,,,,
2020-01-08,67.0,67.8499984741211,66.5,67.69999694824219,41.62353515625,54300,,,,,,,,
2020-01-09,67.69999694824219,68.25,66.8499984741211,67.25,41.346866607666016,60380,,,,,,,,
2020-01-10,67.4000015258789,67.5199966430664,66.75,67.0,41.193153381347656,71040,,,,,,,,
2020-01-13,67.0,68.19999694824219,66.8499984741211,68.05000305175781,41.838714599609375,73040,,,,,,,,
2020-01-14,68.19999694824219,69.25,67.6500015258789,69.1500015258789,42.5150260925293,62820,,,,,,,,
2020-01-15,69.19999694824219,71.75,69.19999694824219,71.5,43.95984649658203,135080,,,,,,,,
2020-01-16,71.5,73.69999694824219,70.0999984741211,73.6500015258789,45.28171920776367,182800,,,,,,,,
2020-01-17,74.0,74.6500015258789,72.8499984741211,74.0,45.49691390991211,166080,,,,,,,,
2020-01-21,73.8499984741211,74.67500305175781,73.0999984741211,74.5,45.80434036254883,77700,,,,,,,,
2020-01-22,74.9000015258789,74.9000015258789,73.05000305175781,73.94999694824219,45.4661750793457,78560,,,,,,,,
2020-01-23,74.05000305175781,75.1500015258789,73.25,74.69999694824219,45.92728042602539,43480,,,,,,,,
2020-01-24,74.5,74.5999984741211,73.1500015258789,73.8499984741211,45.404693603515625,42220,,,,,,,,
2020-01-27,73.1500015258789,74.1500015258789,72.92500305175781,73.6500015258789,45.28171920776367,75180,,,,,,,,
2020-01-28,73.94999694824219,74.4000015258789,72.61000061035156,73.25,45.03579330444336,125800,,,,,,,,
2020-01-29,73.25,73.80000305175781,72.3499984741211,73.75,45.343204498291016,53340,,,,,,,,
