date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FNCTF')","('high', 'FNCTF')","('low', 'FNCTF')","('close', 'FNCTF')","('adj_close', 'FNCTF')","('volume', 'FNCTF')","('currency', '')"
2020-01-02,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,9.766149520874023,100,,,,,,,,
2020-01-03,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,9.766149520874023,0,,,,,,,,
2020-01-06,14.960000038146973,14.960000038146973,14.960000038146973,14.960000038146973,10.041346549987793,100,,,,,,,,
2020-01-07,14.960000038146973,14.960000038146973,14.960000038146973,14.960000038146973,10.041346549987793,0,,,,,,,,
2020-01-08,14.960000038146973,14.960000038146973,14.960000038146973,14.960000038146973,10.041346549987793,0,,,,,,,,
2020-01-09,14.84000015258789,14.84000015258789,14.84000015258789,14.84000015258789,9.960800170898438,100,,,,,,,,
2020-01-10,14.850000381469727,14.850000381469727,14.850000381469727,14.850000381469727,9.967512130737305,9600,,,,,,,,
2020-01-13,14.3100004196167,14.3100004196167,14.3100004196167,14.3100004196167,9.605057716369629,700,,,,,,,,
2020-01-14,14.5,14.5,14.5,14.5,9.732588768005371,4500,,,,,,,,
2020-01-15,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,9.79970932006836,100,,,,,,,,
2020-01-16,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,9.63190746307373,2000,,,,,,,,
2020-01-17,14.699999809265137,14.699999809265137,14.699999809265137,14.699999809265137,9.86683177947998,300,,,,,,,,
2020-01-21,14.699999809265137,14.699999809265137,14.699999809265137,14.699999809265137,9.86683177947998,0,,,,,,,,
2020-01-22,14.34000015258789,14.34000015258789,14.34000015258789,14.34000015258789,9.625194549560547,100,,,,,,,,
2020-01-23,14.34000015258789,14.34000015258789,14.34000015258789,14.34000015258789,9.625194549560547,0,,,,,,,,
2020-01-24,14.34000015258789,14.34000015258789,14.34000015258789,14.34000015258789,9.625194549560547,10000,,,,,,,,
2020-01-27,14.34000015258789,14.34000015258789,14.34000015258789,14.34000015258789,9.625194549560547,420000,,,,,,,,
2020-01-28,14.3100004196167,14.520000457763672,14.3100004196167,14.520000457763672,9.746012687683105,3700,,,,,,,,
2020-01-29,14.520000457763672,14.520000457763672,14.520000457763672,14.520000457763672,9.746012687683105,0,,,,,,,,
2020-01-30,14.180000305175781,14.180000305175781,13.970000267028809,13.970000267028809,9.376846313476562,1100,,,,,,,,
2020-01-31,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,9.38355827331543,31100,,,,,,,,
2020-02-03,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,9.38355827331543,0,,,,,,,,
2020-02-04,13.880000114440918,13.880000114440918,13.880000114440918,13.880000114440918,9.316435813903809,5100,,,,,,,,
2020-02-05,13.880000114440918,13.880000114440918,13.880000114440918,13.880000114440918,9.316435813903809,0,,,,,,,,
2020-02-06,13.880000114440918,13.880000114440918,13.880000114440918,13.880000114440918,9.316435813903809,0,,,,,,,,
2020-02-07,13.880000114440918,13.880000114440918,13.880000114440918,13.880000114440918,9.316435813903809,12500,,,,,,,,
2020-02-10,13.880000114440918,13.880000114440918,13.880000114440918,13.880000114440918,9.316435813903809,0,,,,,,,,
2020-02-11,13.850000381469727,13.850000381469727,13.670000076293945,13.670000076293945,9.175479888916016,4300,,,,,,,,
2020-02-12,13.670000076293945,13.670000076293945,13.670000076293945,13.670000076293945,9.175479888916016,0,,,,,,,,
2020-02-13,13.670000076293945,13.670000076293945,13.670000076293945,13.670000076293945,9.175479888916016,0,,,,,,,,
2020-02-14,13.670000076293945,13.670000076293945,13.670000076293945,13.670000076293945,9.175479888916016,0,,,,,,,,
2020-02-18,14.6899995803833,14.6899995803833,14.289999961853027,14.289999961853027,9.591632843017578,1100,,,,,,,,
2020-02-19,14.350000381469727,14.350000381469727,14.319999694824219,14.319999694824219,9.611770629882812,2800,,,,,,,,
2020-02-20,14.34000015258789,14.5,14.34000015258789,14.5,9.732588768005371,3500,,,,,,,,
2020-02-21,14.800000190734863,14.960000038146973,14.579999923706055,14.960000038146973,10.041346549987793,17300,,,,,,,,
2020-02-24,14.430000305175781,14.430000305175781,14.430000305175781,14.430000305175781,9.685602188110352,300,,,,,,,,
2020-02-25,14.430000305175781,14.430000305175781,14.430000305175781,14.430000305175781,9.685602188110352,0,,,,,,,,
2020-02-26,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,9.430542945861816,5500,,,,,,,,
2020-02-27,13.789999961853027,13.789999961853027,13.75,13.75,9.229178428649902,700,,,,,,,,
2020-02-28,13.75,13.75,13.75,13.75,9.229178428649902,0,,,,,,,,
2020-03-02,13.34000015258789,13.34000015258789,13.319999694824219,13.319999694824219,8.940556526184082,2700,,,,,,,,
