date,open,high,low,close,adj_close,volume,currency,"('date', '')","('open', 'RADL3.SA')","('high', 'RADL3.SA')","('low', 'RADL3.SA')","('close', 'RADL3.SA')","('adj_close', 'RADL3.SA')","('volume', 'RADL3.SA')","('currency', '')"
2020-01-02,21.08974266052246,21.68174934387207,21.01244354248047,21.64969825744629,20.107582092285156,5562835,BRL,,,,,,,,
2020-01-03,21.30467414855957,21.423452377319336,21.101055145263672,21.167043685913086,19.6593074798584,8017526,BRL,,,,,,,,
2020-01-06,21.003015518188477,21.003015518188477,20.62971305847168,20.750377655029297,19.272321701049805,5494944,BRL,,,,,,,,
2020-01-07,20.750377655029297,20.754146575927734,20.26772117614746,20.465686798095703,19.00790786743164,4706769,BRL,,,,,,,,
2020-01-08,20.567495346069336,20.774885177612305,20.273378372192383,20.739063262939453,19.261812210083008,3044496,BRL,,,,,,,,
2020-01-09,20.78619956970215,21.363122940063477,20.7032413482666,21.363122940063477,19.84142303466797,5988746,BRL,,,,,,,,
2020-01-10,21.27828025817871,21.406484603881836,20.569381713867188,20.701356887817383,19.226791381835938,4481349,BRL,,,,,,,,
2020-01-13,20.699472427368164,21.185897827148438,20.6693058013916,21.185897827148438,19.67681312561035,3356371,BRL,,,,,,,,
2020-01-14,21.102941513061523,21.502639770507812,20.82767677307129,21.502639770507812,19.970996856689453,5140636,BRL,,,,,,,,
2020-01-15,21.47435760498047,21.568626403808594,21.28582191467285,21.566741943359375,20.03053092956543,5090248,BRL,,,,,,,,
2020-01-16,21.568626403808594,21.65346908569336,21.223604202270508,21.45927619934082,19.930723190307617,3733485,BRL,,,,,,,,
2020-01-17,21.45927619934082,21.809953689575195,21.25942611694336,21.809953689575195,20.256423950195312,3377056,BRL,,,,,,,,
2020-01-20,21.909879684448242,22.70173454284668,21.909879684448242,22.456636428833008,20.857036590576172,6575899,BRL,,,,,,,,
2020-01-21,22.435897827148438,23.825414657592773,22.190799713134766,23.661386489868164,21.975976943969727,14651239,BRL,,,,,,,,
2020-01-22,23.77450942993164,24.01017951965332,23.386123657226562,23.708520889282227,22.01975440979004,7495612,BRL,,,,,,,,
2020-01-23,23.619909286499023,23.619909286499023,23.227752685546875,23.282428741455078,21.624011993408203,8670979,BRL,,,,,,,,
2020-01-24,23.28619956970215,23.450225830078125,23.099546432495117,23.378582000732422,21.713315963745117,3497457,BRL,,,,,,,,
2020-01-27,23.156108856201172,23.808446884155273,22.796003341674805,23.567119598388672,21.88842010498047,9048624,BRL,,,,,,,,
2020-01-28,23.60671043395996,23.76508140563965,23.276771545410156,23.5426082611084,21.865665435791016,6655459,BRL,,,,,,,,
2020-01-29,23.633106231689453,24.24396514892578,23.4917049407959,24.24396514892578,22.517059326171875,4739654,BRL,,,,,,,,
2020-01-30,24.057315826416016,24.332578659057617,23.38046646118164,23.623680114746094,21.940956115722656,8620591,BRL,,,,,,,,
2020-01-31,23.53129768371582,23.57088851928711,23.103317260742188,23.420059204101562,21.75184440612793,5869936,BRL,,,,,,,,
2020-02-03,23.499244689941406,23.685897827148438,23.288084030151367,23.34276008605957,21.6800479888916,4027327,BRL,,,,,,,,
2020-02-04,23.663272857666016,23.706636428833008,22.880844116210938,23.212669372558594,21.559221267700195,6667128,BRL,,,,,,,,
2020-02-05,23.35972785949707,23.567119598388672,22.843137741088867,22.965686798095703,21.329824447631836,7799532,BRL,,,,,,,,
2020-02-06,23.14668083190918,23.227752685546875,22.562217712402344,22.860105514526367,21.23177146911621,4685023,BRL,,,,,,,,
2020-02-07,22.76772117614746,22.93929100036621,22.439668655395508,22.71870231628418,21.10044288635254,6157944,BRL,,,,,,,,
2020-02-10,22.624433517456055,22.867647171020508,22.379335403442383,22.571643829345703,20.963857650756836,6081036,BRL,,,,,,,,
2020-02-11,22.74321174621582,23.103317260742188,22.596153259277344,22.867647171020508,21.238780975341797,3811454,BRL,,,,,,,,
2020-02-12,23.001508712768555,23.325790405273438,22.71870231628418,23.031673431396484,21.391117095947266,6203028,BRL,,,,,,,,
2020-02-13,22.94306182861328,22.967571258544922,22.473604202270508,22.624433517456055,21.012887954711914,3242865,BRL,,,,,,,,
2020-02-14,22.643287658691406,23.16741943359375,22.407615661621094,23.035444259643555,21.394620895385742,4299422,BRL,,,,,,,,
2020-02-17,23.1693058013916,23.220211029052734,22.765836715698242,22.765836715698242,21.144214630126953,2049465,BRL,,,,,,,,
2020-02-18,22.812971115112305,22.812971115112305,22.36048126220703,22.605579376220703,20.995370864868164,4404441,BRL,,,,,,,,
2020-02-19,22.605579376220703,22.71493148803711,22.247360229492188,22.6696834564209,21.054908752441406,3687340,BRL,,,,,,,,
2020-02-20,22.56975746154785,23.041101455688477,22.332202911376953,22.452865600585938,20.853534698486328,9105376,BRL,,,,,,,,
2020-02-21,22.3642520904541,23.12782859802246,22.000377655029297,23.12782859802246,21.480424880981445,6749870,BRL,,,,,,,,
2020-02-26,22.049396514892578,22.812971115112305,21.88536834716797,22.47171974182129,20.871051788330078,12495163,BRL,,,,,,,,
2020-02-27,22.05128288269043,22.400075912475586,21.353694915771484,21.353694915771484,19.83266258239746,14354745,BRL,,,,,,,,
2020-02-28,21.389516830444336,22.605579376220703,20.757917404174805,22.605579376220703,20.995370864868164,15888662,BRL,,,,,,,,
2020-03-02,22.398189544677734,23.72549057006836,22.268098831176758,23.486047744750977,21.813125610351562,12494632,BRL,,,,,,,,
2020-03-03,23.378582000732422,24.20248794555664,22.988309860229492,23.54637908935547,21.86916160583496,8626425,BRL,,,,,,,,
2020-03-04,23.94042205810547,24.0082950592041,23.223981857299805,23.54826545715332,21.870912551879883,6905277,BRL,,,,,,,,
2020-03-05,23.452110290527344,24.60407257080078,23.027902603149414,23.418174743652344,21.750085830688477,15020397,BRL,,,,,,,,
2020-03-06,22.73189926147461,23.395549774169922,22.50565528869629,23.218324661254883,21.564472198486328,12236858,BRL,,,,,,,,
2020-03-09,21.677978515625,22.132352828979492,20.8389892578125,21.849546432495117,20.293195724487305,11780184,BRL,,,,,,,,
2020-03-10,22.062593460083008,22.411386489868164,20.927600860595703,22.021116256713867,20.452539443969727,14311252,BRL,,,,,,,,
