date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LB')","('high', 'LB')","('low', 'LB')","('close', 'LB')","('adj_close', 'LB')","('volume', 'LB')","('currency', '')"
2024-06-28,19.0,23.510000228881836,18.75,23.149999618530273,22.968549728393555,3203400,,,,,,,,
2024-07-01,21.959999084472656,23.739999771118164,21.0,22.959999084472656,22.780038833618164,865800,,,,,,,,
2024-07-02,22.950000762939453,25.976999282836914,22.510000228881836,24.40999984741211,24.218673706054688,589100,,,,,,,,
2024-07-03,24.40999984741211,25.329999923706055,24.0,24.0,23.811885833740234,313500,,,,,,,,
2024-07-05,24.670000076293945,31.344999313354492,24.219999313354492,28.5,28.2766170501709,775000,,,,,,,,
2024-07-08,29.479999542236328,29.479999542236328,26.030000686645508,26.770000457763672,26.560176849365234,706400,,,,,,,,
2024-07-09,26.770000457763672,27.6200008392334,26.03499984741211,27.31999969482422,27.105863571166992,305800,,,,,,,,
2024-07-10,27.5,28.5,26.799999237060547,27.950000762939453,27.730928421020508,272900,,,,,,,,
2024-07-11,28.350000381469727,30.079999923706055,27.829999923706055,29.899999618530273,29.665639877319336,287900,,,,,,,,
2024-07-12,30.299999237060547,32.90999984741211,29.90999984741211,30.780000686645508,30.53874397277832,627600,,,,,,,,
2024-07-15,32.11000061035156,32.11000061035156,28.940000534057617,31.15999984741211,30.9157657623291,722600,,,,,,,,
2024-07-16,31.15999984741211,32.09000015258789,28.018999099731445,29.010000228881836,28.78261947631836,589800,,,,,,,,
2024-07-17,29.010000228881836,29.010000228881836,26.510000228881836,27.149999618530273,26.937196731567383,735300,,,,,,,,
2024-07-18,27.209999084472656,30.010000228881836,26.975000381469727,28.450000762939453,28.227006912231445,495100,,,,,,,,
2024-07-19,28.219999313354492,29.780000686645508,28.219999313354492,28.850000381469727,28.623870849609375,207500,,,,,,,,
2024-07-22,29.59000015258789,31.0,28.649999618530273,29.549999237060547,29.31838607788086,373900,,,,,,,,
2024-07-23,28.260000228881836,29.56999969482422,28.100000381469727,28.219999313354492,27.998809814453125,307100,,,,,,,,
2024-07-24,28.219999313354492,29.950000762939453,28.100000381469727,29.489999771118164,29.25885772705078,235200,,,,,,,,
2024-07-25,29.84000015258789,30.6299991607666,29.0,29.549999237060547,29.31838607788086,283200,,,,,,,,
2024-07-26,29.670000076293945,30.540000915527344,29.459999084472656,30.1299991607666,29.89383888244629,225500,,,,,,,,
2024-07-29,30.780000686645508,32.959999084472656,29.461999893188477,32.0,31.749183654785156,381100,,,,,,,,
2024-07-30,32.2400016784668,32.880001068115234,31.0,31.18000030517578,30.935609817504883,270800,,,,,,,,
2024-07-31,31.3799991607666,33.380001068115234,31.3799991607666,32.970001220703125,32.711578369140625,374200,,,,,,,,
2024-08-01,33.54999923706055,34.130001068115234,31.260000228881836,32.09000015258789,31.83847999572754,391800,,,,,,,,
2024-08-02,31.0,32.470001220703125,30.030000686645508,31.860000610351562,31.610279083251953,207300,,,,,,,,
2024-08-05,30.0,31.190000534057617,28.013999938964844,30.010000228881836,29.774782180786133,220500,,,,,,,,
2024-08-06,30.059999465942383,31.81999969482422,30.059999465942383,31.59000015258789,31.342397689819336,208100,,,,,,,,
2024-08-07,31.989999771118164,33.314998626708984,31.479999542236328,32.27000045776367,32.01707077026367,248500,,,,,,,,
2024-08-08,32.79999923706055,33.29999923706055,31.621000289916992,32.11000061035156,31.858322143554688,210400,,,,,,,,
2024-08-09,32.439998626708984,32.77000045776367,30.850000381469727,32.599998474121094,32.344478607177734,237800,,,,,,,,
2024-08-12,33.0,34.90999984741211,32.599998474121094,33.79999923706055,33.535072326660156,308100,,,,,,,,
2024-08-13,34.0,34.400001525878906,33.150001525878906,33.310001373291016,33.04891586303711,224800,,,,,,,,
2024-08-14,33.400001525878906,34.369998931884766,32.5,33.720001220703125,33.45570373535156,222400,,,,,,,,
2024-08-15,33.86000061035156,34.4900016784668,33.5,33.849998474121094,33.58468246459961,220000,,,,,,,,
2024-08-16,33.849998474121094,36.369998931884766,33.599998474121094,35.83000183105469,35.54916763305664,300900,,,,,,,,
2024-08-19,36.16999816894531,36.6150016784668,35.38999938964844,36.060001373291016,35.77735900878906,277700,,,,,,,,
2024-08-20,36.099998474121094,38.1609992980957,36.099998474121094,37.13999938964844,36.848899841308594,461300,,,,,,,,
2024-08-21,37.52000045776367,38.17100143432617,36.86000061035156,37.630001068115234,37.335052490234375,210400,,,,,,,,
2024-08-22,38.0099983215332,40.540000915527344,38.0099983215332,40.040000915527344,39.726165771484375,387900,,,,,,,,
2024-08-23,40.369998931884766,42.30500030517578,40.25,42.040000915527344,41.71049118041992,678900,,,,,,,,
2024-08-26,42.20000076293945,43.08000183105469,38.470001220703125,38.52000045776367,38.21807861328125,393600,,,,,,,,
2024-08-27,39.79999923706055,39.970001220703125,35.819000244140625,36.81999969482422,36.531402587890625,393300,,,,,,,,
2024-08-28,36.41999816894531,38.310001373291016,36.20000076293945,37.40999984741211,37.11677932739258,294800,,,,,,,,
