date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ETR')","('high', 'ETR')","('low', 'ETR')","('close', 'ETR')","('adj_close', 'ETR')","('volume', 'ETR')","('currency', '')"
2020-01-02,59.915000915527344,59.915000915527344,58.72999954223633,58.96500015258789,47.36857604980469,2906200,,,,,,,,
2020-01-03,58.85499954223633,59.41999816894531,58.70500183105469,59.3650016784668,47.689903259277344,2845800,,,,,,,,
2020-01-06,59.494998931884766,59.94499969482422,59.29999923706055,59.57500076293945,47.85860824584961,3055800,,,,,,,,
2020-01-07,59.314998626708984,59.79499816894531,59.150001525878906,59.564998626708984,47.8505744934082,2037800,,,,,,,,
2020-01-08,59.779998779296875,59.79499816894531,59.345001220703125,59.47999954223633,47.782291412353516,1735000,,,,,,,,
2020-01-09,59.43000030517578,60.14500045776367,59.279998779296875,60.130001068115234,48.3044548034668,1639200,,,,,,,,
2020-01-10,60.290000915527344,60.619998931884766,60.189998626708984,60.30500030517578,48.44504165649414,2116200,,,,,,,,
2020-01-13,60.29499816894531,61.09000015258789,60.29499816894531,60.7599983215332,48.810550689697266,3835000,,,,,,,,
2020-01-14,60.720001220703125,60.939998626708984,60.314998626708984,60.790000915527344,48.83465576171875,2255000,,,,,,,,
2020-01-15,61.025001525878906,61.959999084472656,60.915000915527344,61.869998931884766,49.702266693115234,2470800,,,,,,,,
2020-01-16,61.91999816894531,62.494998931884766,61.8650016784668,62.474998474121094,50.18827819824219,2260000,,,,,,,,
2020-01-17,62.54499816894531,63.21500015258789,62.459999084472656,63.154998779296875,50.73453903198242,2108200,,,,,,,,
2020-01-21,63.220001220703125,63.71500015258789,62.994998931884766,63.68000030517578,51.15629577636719,2221600,,,,,,,,
2020-01-22,64.0,64.23999786376953,63.709999084472656,63.94499969482422,51.36917495727539,1791800,,,,,,,,
2020-01-23,63.95000076293945,65.01499938964844,63.78499984741211,64.9749984741211,52.196598052978516,2556600,,,,,,,,
2020-01-24,64.9000015258789,65.59500122070312,64.88999938964844,65.36499786376953,52.50990295410156,1750000,,,,,,,,
