date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RUSHB')","('high', 'RUSHB')","('low', 'RUSHB')","('close', 'RUSHB')","('adj_close', 'RUSHB')","('volume', 'RUSHB')","('currency', '')"
2020-01-02,20.440000534057617,20.440000534057617,20.093332290649414,20.226667404174805,18.474931716918945,9000,,,,,,,,
2020-01-03,20.382221221923828,20.39555549621582,20.115556716918945,20.177778244018555,18.430273056030273,18450,,,,,,,,
2020-01-06,20.333332061767578,20.333332061767578,20.0,20.0,18.267892837524414,14175,,,,,,,,
2020-01-07,19.991111755371094,20.13777732849121,19.991111755371094,20.0222225189209,18.288192749023438,6075,,,,,,,,
2020-01-08,20.25777816772461,20.25777816772461,20.01333236694336,20.01333236694336,18.28006935119629,7425,,,,,,,,
2020-01-09,19.857778549194336,19.857778549194336,19.617778778076172,19.617778778076172,17.918773651123047,4050,,,,,,,,
2020-01-10,19.835556030273438,20.133333206176758,19.799999237060547,20.128889083862305,18.3856201171875,31500,,,,,,,,
2020-01-13,19.98666763305664,20.288888931274414,19.98666763305664,20.288888931274414,18.531761169433594,9225,,,,,,,,
2020-01-14,20.44444465637207,20.537778854370117,20.426666259765625,20.426666259765625,18.657604217529297,13950,,,,,,,,
2020-01-15,20.528888702392578,20.622222900390625,20.342222213745117,20.408889770507812,18.641372680664062,17100,,,,,,,,
2020-01-16,20.737777709960938,21.25777816772461,20.737777709960938,21.25777816772461,19.416738510131836,14625,,,,,,,,
2020-01-17,21.311111450195312,21.404443740844727,21.057777404785156,21.0977783203125,19.27059555053711,30375,,,,,,,,
2020-01-21,20.626667022705078,20.65333366394043,20.399999618530273,20.528888702392578,18.750978469848633,9900,,,,,,,,
2020-01-22,20.488889694213867,20.488889694213867,20.475555419921875,20.475555419921875,18.7022647857666,4950,,,,,,,,
2020-01-23,20.422222137451172,20.462221145629883,20.248889923095703,20.248889923095703,18.495229721069336,13275,,,,,,,,
2020-01-24,20.377777099609375,20.422222137451172,20.11111068725586,20.18666648864746,18.438396453857422,9900,,,,,,,,
