date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'JNJ')","('high', 'JNJ')","('low', 'JNJ')","('close', 'JNJ')","('adj_close', 'JNJ')","('volume', 'JNJ')","('currency', '')"
2020-01-02,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,123.2901840209961,5777000,,,,,,,,
2020-01-03,143.5,145.3699951171875,143.0,144.27999877929688,121.86274719238281,5752400,,,,,,,,
2020-01-06,144.0,144.1999969482422,142.85000610351562,144.10000610351562,121.71074676513672,7731300,,,,,,,,
2020-01-07,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,122.45401000976562,7382900,,,,,,,,
2020-01-08,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,122.43711853027344,6605800,,,,,,,,
2020-01-09,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,122.80028533935547,6112700,,,,,,,,
2020-01-10,145.75,146.17999267578125,144.89999389648438,145.05999755859375,122.52155303955078,5042600,,,,,,,,
2020-01-13,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,123.0621109008789,4593200,,,,,,,,
2020-01-14,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,123.75474548339844,7037500,,,,,,,,
2020-01-15,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,124.1686019897461,4960300,,,,,,,,
2020-01-16,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,125.1736831665039,6476000,,,,,,,,
2020-01-17,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,125.99298095703125,9083600,,,,,,,,
2020-01-21,148.5800018310547,150.1699981689453,148.5,149.27000427246094,126.07746887207031,9543900,,,,,,,,
2020-01-22,146.6999969482422,149.17999267578125,146.0,148.25,125.21595001220703,10305300,,,,,,,,
2020-01-23,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,125.4524154663086,8671900,,,,,,,,
2020-01-24,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,125.27507781982422,9051900,,,,,,,,
2020-01-27,147.52000427246094,149.4600067138672,147.0,148.75,125.63825225830078,7587100,,,,,,,,
2020-01-28,148.4600067138672,150.57000732421875,148.14999389648438,149.5,126.27172088623047,7336600,,,,,,,,
