date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NETTF')","('high', 'NETTF')","('low', 'NETTF')","('close', 'NETTF')","('adj_close', 'NETTF')","('volume', 'NETTF')","('currency', '')"
2021-02-09,26.399999618530273,26.799999237060547,26.149999618530273,26.700000762939453,24.242511749267578,411766,,,,,,,,
2021-02-10,26.600000381469727,26.600000381469727,26.600000381469727,26.600000381469727,24.15172004699707,114098,,,,,,,,
2021-02-11,26.299999237060547,27.1200008392334,26.299999237060547,26.899999618530273,24.424100875854492,1639,,,,,,,,
2021-02-12,27.0,27.0,27.0,27.0,24.514902114868164,573,,,,,,,,
2021-02-16,24.719999313354492,25.8799991607666,24.719999313354492,25.8799991607666,23.49798583984375,893,,,,,,,,
2021-02-17,25.899999618530273,25.899999618530273,25.100000381469727,25.100000381469727,22.789777755737305,1711,,,,,,,,
2021-02-18,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,22.789777755737305,1101,,,,,,,,
2021-02-19,26.0,26.0,25.5,25.5,23.15296173095703,1122,,,,,,,,
2021-02-22,24.450000762939453,24.600000381469727,24.450000762939453,24.450000762939453,22.199602127075195,1183,,,,,,,,
2021-02-23,23.950000762939453,24.450000762939453,22.5,24.450000762939453,22.199602127075195,1157,,,,,,,,
2021-02-24,24.049999237060547,24.100000381469727,24.049999237060547,24.100000381469727,21.88182258605957,1146,,,,,,,,
2021-02-25,23.299999237060547,23.299999237060547,22.899999618530273,22.899999618530273,20.792268753051758,760,,,,,,,,
2021-02-26,22.899999618530273,22.899999618530273,22.899999618530273,22.899999618530273,20.792268753051758,1132,,,,,,,,
2021-03-01,23.25,23.25,23.25,23.25,21.11005401611328,1205,,,,,,,,
2021-03-02,21.5,23.25,21.5,23.25,21.11005401611328,1092,,,,,,,,
2021-03-03,23.25,23.25,23.0,23.0,20.8830623626709,693,,,,,,,,
2021-03-04,22.5,22.5,21.350000381469727,22.5,20.429086685180664,2214,,,,,,,,
2021-03-05,22.5,22.5,20.5,20.5,18.61316680908203,1012,,,,,,,,
2021-03-08,22.0,22.0,22.0,22.0,19.9751033782959,1406,,,,,,,,
2021-03-09,22.0,22.0,22.0,22.0,19.9751033782959,482,,,,,,,,
2021-03-10,23.5,23.5,21.549999237060547,21.549999237060547,19.566518783569336,1392,,,,,,,,
2021-03-11,21.799999237060547,23.0,21.799999237060547,23.0,20.894695281982422,1229,,,,,,,,
2021-03-12,23.0,23.0,23.0,23.0,20.894695281982422,905,,,,,,,,
2021-03-15,23.0,23.0,23.0,23.0,20.894695281982422,0,,,,,,,,
2021-03-16,23.0,23.0,23.0,23.0,20.894695281982422,1053,,,,,,,,
2021-03-17,22.5,22.5,22.5,22.5,20.440467834472656,1004,,,,,,,,
