date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RYAAY')","('high', 'RYAAY')","('low', 'RYAAY')","('close', 'RYAAY')","('adj_close', 'RYAAY')","('volume', 'RYAAY')","('currency', '')"
2020-01-02,35.35414123535156,35.89435958862305,35.14605712890625,35.71828842163086,34.417118072509766,847161,,,,,,,,
2020-01-03,35.13005065917969,35.39415740966797,35.050018310546875,35.09403610229492,33.81560516357422,1597611,,,,,,,,
2020-01-06,34.54581832885742,35.0620231628418,34.369747161865234,34.753902435302734,33.48786163330078,1141793,,,,,,,,
2020-01-07,35.16206359863281,35.554222106933594,35.16206359863281,35.366146087646484,34.07780456542969,754698,,,,,,,,
2020-01-08,35.09003448486328,35.822330474853516,34.9379768371582,35.66226577758789,34.36313247680664,1135296,,,,,,,,
2020-01-09,35.8703498840332,36.502601623535156,35.8703498840332,36.014404296875,34.70244598388672,602009,,,,,,,,
2020-01-10,38.619449615478516,38.73149490356445,38.1552619934082,38.487396240234375,37.085350036621094,2049180,,,,,,,,
2020-01-13,38.44337844848633,38.44337844848633,37.83113098144531,37.93117141723633,36.54939270019531,849660,,,,,,,,
2020-01-14,38.07923126220703,38.13525390625,37.4789924621582,37.555023193359375,36.18693923950195,942123,,,,,,,,
2020-01-15,37.40296173095703,37.490997314453125,36.7987174987793,36.91876983642578,35.57386779785156,1388195,,,,,,,,
2020-01-16,37.41496658325195,37.52301025390625,37.08283233642578,37.25090026855469,35.89389419555664,1416183,,,,,,,,
2020-01-17,37.3109245300293,37.47098922729492,37.00279998779297,37.110843658447266,35.75894546508789,977109,,,,,,,,
2020-01-21,36.95478057861328,37.102840423583984,36.22649002075195,36.41456604003906,35.08803176879883,1340464,,,,,,,,
2020-01-22,36.73069381713867,37.1828727722168,36.558624267578125,37.07883071899414,35.72809600830078,1367453,,,,,,,,
2020-01-23,36.48259353637695,36.67066955566406,36.07843017578125,36.422569274902344,35.09574508666992,1162285,,,,,,,,
2020-01-24,36.72269058227539,36.746700286865234,35.42216873168945,35.7222900390625,34.42097473144531,684976,,,,,,,,
2020-01-27,34.70588302612305,35.05402374267578,34.381752014160156,34.825931549072266,33.55726623535156,676229,,,,,,,,
2020-01-28,34.90196228027344,35.1900749206543,34.72989273071289,34.941978454589844,33.66908645629883,994602,,,,,,,,
