date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'STT')","('high', 'STT')","('low', 'STT')","('close', 'STT')","('adj_close', 'STT')","('volume', 'STT')","('currency', '')"
2020-01-02,79.36000061035156,80.7699966430664,79.19999694824219,80.76000213623047,66.9825210571289,1942000,,,,,,,,
2020-01-03,79.80000305175781,79.94000244140625,79.04000091552734,79.56999969482422,65.99554443359375,1511000,,,,,,,,
2020-01-06,79.94999694824219,80.87000274658203,79.25,80.79000091552734,67.00741577148438,2214800,,,,,,,,
2020-01-07,81.37999725341797,82.0,81.01000213623047,81.91000366210938,67.93634033203125,3139200,,,,,,,,
2020-01-08,81.91999816894531,82.30999755859375,81.05999755859375,81.48999786376953,67.58796691894531,1941200,,,,,,,,
2020-01-09,82.16000366210938,82.94000244140625,81.5,82.91999816894531,68.7740249633789,1959500,,,,,,,,
2020-01-10,82.68000030517578,82.87000274658203,81.5999984741211,81.69000244140625,67.7538833618164,3093200,,,,,,,,
2020-01-13,81.87999725341797,82.20999908447266,81.27999877929688,82.08000183105469,68.07733917236328,2212400,,,,,,,,
2020-01-14,81.95999908447266,82.55999755859375,81.51000213623047,81.52999877929688,67.62114715576172,1825300,,,,,,,,
2020-01-15,81.01000213623047,81.63999938964844,80.41000366210938,81.20999908447266,67.35574340820312,2645900,,,,,,,,
2020-01-16,80.06999969482422,81.66000366210938,79.2300033569336,81.13999938964844,67.29768371582031,5115800,,,,,,,,
2020-01-17,84.12999725341797,85.88999938964844,81.70999908447266,82.55999755859375,68.47544860839844,7394000,,,,,,,,
2020-01-21,81.75,82.69000244140625,81.06999969482422,81.30999755859375,67.43867492675781,3117700,,,,,,,,
2020-01-22,81.41000366210938,81.63999938964844,80.08999633789062,80.54000091552734,66.800048828125,2744000,,,,,,,,
2020-01-23,80.05999755859375,80.5,78.80999755859375,80.45999908447266,66.73371124267578,3242900,,,,,,,,
2020-01-24,80.51000213623047,80.6500015258789,77.88999938964844,78.33999633789062,64.97534942626953,2782600,,,,,,,,
2020-01-27,76.1500015258789,76.86000061035156,75.4000015258789,75.44999694824219,62.57838439941406,3330700,,,,,,,,
2020-01-28,76.18000030517578,76.95999908447266,75.58000183105469,76.5,63.44926452636719,2449100,,,,,,,,
2020-01-29,76.9800033569336,77.43000030517578,76.05000305175781,76.2300033569336,63.22532272338867,1879900,,,,,,,,
