date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HHH')","('high', 'HHH')","('low', 'HHH')","('close', 'HHH')","('adj_close', 'HHH')","('volume', 'HHH')","('currency', '')"
2020-01-02,120.11439514160156,120.76263427734375,116.93994140625,117.79790496826172,117.79790496826172,324351,,,,,,,,
2020-01-03,116.93994140625,118.51287078857422,116.2059097290039,117.84556579589844,117.84556579589844,151790,,,,,,,,
2020-01-06,117.5691146850586,118.78932189941406,117.07340240478516,118.27454376220703,118.27454376220703,350891,,,,,,,,
2020-01-07,118.63679504394531,119.02764129638672,117.3689193725586,118.16968536376953,118.16968536376953,330225,,,,,,,,
2020-01-08,118.29360961914062,118.79885864257812,116.09151458740234,116.23451232910156,116.23451232910156,195743,,,,,,,,
2020-01-09,116.36796569824219,116.36796569824219,113.92755126953125,114.4709243774414,114.4709243774414,376906,,,,,,,,
2020-01-10,114.78550720214844,114.78550720214844,112.10676574707031,113.08865356445312,113.08865356445312,263299,,,,,,,,
2020-01-13,113.08865356445312,116.57769012451172,112.49761962890625,116.11058044433594,116.11058044433594,439636,,,,,,,,
2020-01-14,115.5290756225586,118.01715850830078,115.4242172241211,117.64537811279297,117.64537811279297,236130,,,,,,,,
2020-01-15,117.32125854492188,119.01811218261719,117.32125854492188,118.34127807617188,118.34127807617188,359073,,,,,,,,
2020-01-16,119.05624389648438,120.0857925415039,118.44613647460938,118.98951721191406,118.98951721191406,330225,,,,,,,,
2020-01-17,119.49475860595703,119.9809341430664,118.05529022216797,119.19923400878906,119.19923400878906,288685,,,,,,,,
2020-01-21,118.76072692871094,119.39942932128906,118.27454376220703,119.14203643798828,119.14203643798828,375122,,,,,,,,
2020-01-22,119.16110229492188,119.7140121459961,118.34127807617188,118.57959747314453,118.57959747314453,202352,,,,,,,,
2020-01-23,118.34127807617188,119.3708267211914,117.77883911132812,118.49380493164062,118.49380493164062,118747,,,,,,,,
2020-01-24,118.19828033447266,118.8560562133789,117.48331451416016,118.09342193603516,118.09342193603516,137314,,,,,,,,
2020-01-27,116.68255615234375,118.02669525146484,116.66349029541016,117.6358413696289,117.6358413696289,135950,,,,,,,,
2020-01-28,117.8741683959961,119.33269500732422,117.79790496826172,119.16110229492188,119.16110229492188,133852,,,,,,,,
2020-01-29,119.47569274902344,119.6758804321289,118.30314636230469,118.33174133300781,118.33174133300781,120006,,,,,,,,
2020-01-30,117.78836822509766,118.00762939453125,116.530029296875,117.8741683959961,117.8741683959961,67451,,,,,,,,
2020-01-31,117.45471954345703,117.45471954345703,115.29075622558594,115.99618530273438,115.99618530273438,103327,,,,,,,,
2020-02-03,116.2440414428711,117.37845611572266,115.8150634765625,116.21544647216797,116.21544647216797,132699,,,,,,,,
2020-02-04,117.35939025878906,118.79885864257812,116.21544647216797,117.71210479736328,117.71210479736328,185883,,,,,,,,
2020-02-05,118.2650146484375,119.16110229492188,117.06387329101562,117.58818054199219,117.58818054199219,130496,,,,,,,,
2020-02-06,117.71210479736328,118.66539764404297,117.25452423095703,117.77883911132812,117.77883911132812,83920,,,,,,,,
2020-02-07,117.54051208496094,118.94184875488281,117.39752197265625,118.60820007324219,118.60820007324219,239277,,,,,,,,
2020-02-10,118.66539764404297,119.99046325683594,118.46520233154297,119.8951416015625,119.8951416015625,218926,,,,,,,,
2020-02-11,120.11439514160156,120.409912109375,117.89323425292969,118.39847564697266,118.39847564697266,172561,,,,,,,,
2020-02-12,118.77979278564453,119.8760757446289,118.02669525146484,119.63774871826172,119.63774871826172,183051,,,,,,,,
2020-02-13,118.98951721191406,120.05719757080078,117.76930236816406,118.5891342163086,118.5891342163086,136580,,,,,,,,
2020-02-14,118.5891342163086,119.389892578125,117.8551025390625,119.2659683227539,119.2659683227539,98711,,,,,,,,
2020-02-18,119.08484649658203,120.37178039550781,118.71305847167969,120.34318542480469,120.34318542480469,174659,,,,,,,,
2020-02-19,120.55290985107422,122.10676574707031,120.3050537109375,121.81124877929688,121.81124877929688,117068,,,,,,,,
2020-02-20,121.76358032226562,123.67969512939453,121.76358032226562,123.30791473388672,123.30791473388672,158189,,,,,,,,
2020-02-21,122.98379516601562,123.3460464477539,121.45853424072266,122.49761962890625,122.49761962890625,178645,,,,,,,,
