date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GLPGF')","('high', 'GLPGF')","('low', 'GLPGF')","('close', 'GLPGF')","('adj_close', 'GLPGF')","('volume', 'GLPGF')","('currency', '')"
2020-01-02,207.0,207.0,207.0,207.0,207.0,0,,,,,,,,
2020-01-03,209.0,209.0,209.0,209.0,209.0,100,,,,,,,,
2020-01-06,204.9499969482422,204.9499969482422,204.9499969482422,204.9499969482422,204.9499969482422,2300,,,,,,,,
2020-01-07,204.9499969482422,204.9499969482422,204.9499969482422,204.9499969482422,204.9499969482422,0,,,,,,,,
2020-01-08,206.60000610351562,206.60000610351562,206.60000610351562,206.60000610351562,206.60000610351562,100,,,,,,,,
2020-01-09,206.60000610351562,206.60000610351562,206.60000610351562,206.60000610351562,206.60000610351562,0,,,,,,,,
2020-01-10,213.0,213.0,213.0,213.0,213.0,100,,,,,,,,
2020-01-13,213.0,213.0,213.0,213.0,213.0,0,,,,,,,,
2020-01-14,211.3300018310547,211.3300018310547,211.3300018310547,211.3300018310547,211.3300018310547,100,,,,,,,,
2020-01-15,211.3300018310547,211.3300018310547,211.3300018310547,211.3300018310547,211.3300018310547,0,,,,,,,,
2020-01-16,222.5,222.5,222.5,222.5,222.5,100,,,,,,,,
2020-01-17,222.5,222.5,222.5,222.5,222.5,0,,,,,,,,
2020-01-21,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,100,,,,,,,,
2020-01-22,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,11600,,,,,,,,
2020-01-23,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,240.5399932861328,0,,,,,,,,
2020-01-24,230.0,230.0,230.0,230.0,230.0,100,,,,,,,,
2020-01-27,230.0,230.0,230.0,230.0,230.0,0,,,,,,,,
2020-01-28,229.5,229.5,229.5,229.5,229.5,100,,,,,,,,
2020-01-29,229.5,229.5,229.5,229.5,229.5,0,,,,,,,,
2020-01-30,229.5,229.5,229.5,229.5,229.5,0,,,,,,,,
2020-01-31,229.5,229.5,229.5,229.5,229.5,0,,,,,,,,
2020-02-03,230.0,230.0,230.0,230.0,230.0,100,,,,,,,,
2020-02-04,230.0,230.0,230.0,230.0,230.0,0,,,,,,,,
2020-02-05,230.0,230.0,230.0,230.0,230.0,0,,,,,,,,
2020-02-06,244.0,244.0,244.0,244.0,244.0,100,,,,,,,,
2020-02-07,244.0,244.0,244.0,244.0,244.0,0,,,,,,,,
2020-02-10,244.0,244.0,244.0,244.0,244.0,0,,,,,,,,
2020-02-11,257.2799987792969,257.2799987792969,257.2799987792969,257.2799987792969,257.2799987792969,100,,,,,,,,
2020-02-12,258.0,258.0,256.0,257.44000244140625,257.44000244140625,50000,,,,,,,,
2020-02-13,257.44000244140625,257.44000244140625,257.44000244140625,257.44000244140625,257.44000244140625,0,,,,,,,,
2020-02-14,259.6499938964844,259.6499938964844,259.6499938964844,259.6499938964844,259.6499938964844,100,,,,,,,,
2020-02-18,260.5,262.1600036621094,260.5,261.80999755859375,261.80999755859375,100,,,,,,,,
2020-02-19,267.2300109863281,268.6499938964844,267.2099914550781,268.6499938964844,268.6499938964844,30000,,,,,,,,
2020-02-20,268.6499938964844,268.6499938964844,268.6499938964844,268.6499938964844,268.6499938964844,0,,,,,,,,
2020-02-21,268.6499938964844,268.6499938964844,268.6499938964844,268.6499938964844,268.6499938964844,0,,,,,,,,
2020-02-24,247.1199951171875,247.1199951171875,247.1199951171875,247.1199951171875,247.1199951171875,100,,,,,,,,
2020-02-25,247.1199951171875,247.1199951171875,247.1199951171875,247.1199951171875,247.1199951171875,0,,,,,,,,
2020-02-26,236.61000061035156,236.61000061035156,235.0,235.0,235.0,200,,,,,,,,
2020-02-27,212.5,218.77999877929688,212.5,218.30999755859375,218.30999755859375,100,,,,,,,,
2020-02-28,205.5,209.0,205.5,209.0,209.0,100,,,,,,,,
2020-03-02,214.75999450683594,214.8000030517578,211.0,211.0,211.0,200100,,,,,,,,
2020-03-03,211.0,211.0,211.0,211.0,211.0,0,,,,,,,,
2020-03-04,219.13999938964844,219.13999938964844,218.0,218.0,218.0,100,,,,,,,,
2020-03-05,214.0,214.0,214.0,214.0,214.0,100,,,,,,,,
2020-03-06,206.0,206.0,206.0,206.0,206.0,100,,,,,,,,
2020-03-09,206.0,206.0,206.0,206.0,206.0,0,,,,,,,,
2020-03-10,206.0,206.0,206.0,206.0,206.0,0,,,,,,,,
2020-03-11,189.91000366210938,189.91000366210938,185.36000061035156,185.38999938964844,185.38999938964844,40100,,,,,,,,
2020-03-12,185.38999938964844,185.38999938964844,185.38999938964844,185.38999938964844,185.38999938964844,0,,,,,,,,
