date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MCTA')","('high', 'MCTA')","('low', 'MCTA')","('close', 'MCTA')","('adj_close', 'MCTA')","('volume', 'MCTA')","('currency', '')"
2025-10-21,4.590000152587891,8.210000038146973,4.300000190734863,7.0,7.0,4218700,,,,,,,,
2025-10-22,5.340000152587891,6.960000038146973,5.340000152587891,6.199999809265137,6.199999809265137,792500,,,,,,,,
2025-10-23,6.257999897003174,7.0,5.96999979019165,7.0,7.0,142600,,,,,,,,
2025-10-24,7.110000133514404,8.449999809265137,7.079999923706055,7.409999847412109,7.409999847412109,570300,,,,,,,,
2025-10-27,7.900000095367432,9.670000076293945,7.650000095367432,9.670000076293945,9.670000076293945,357900,,,,,,,,
2025-10-28,9.600000381469727,14.420000076293945,9.199999809265137,14.210000038146973,14.210000038146973,1049500,,,,,,,,
2025-10-29,14.170000076293945,20.799999237060547,13.069999694824219,19.139999389648438,19.139999389648438,644000,,,,,,,,
2025-10-30,19.1200008392334,31.239999771118164,18.5,27.760000228881836,27.760000228881836,752400,,,,,,,,
2025-10-31,27.799999237060547,28.0,22.959999084472656,23.5,23.5,564700,,,,,,,,
2025-11-03,24.639999389648438,24.8799991607666,22.219999313354492,22.489999771118164,22.489999771118164,100700,,,,,,,,
2025-11-04,22.5,24.25,21.850000381469727,22.020000457763672,22.020000457763672,108100,,,,,,,,
2025-11-05,22.1200008392334,23.959999084472656,21.709999084472656,22.600000381469727,22.600000381469727,82300,,,,,,,,
2025-11-06,23.389999389648438,23.5,19.010000228881836,20.65999984741211,20.65999984741211,87500,,,,,,,,
2025-11-07,20.739999771118164,22.54599952697754,20.6200008392334,22.100000381469727,22.100000381469727,94100,,,,,,,,
2025-11-10,23.18000030517578,27.68000030517578,23.139999389648438,27.5,27.5,174000,,,,,,,,
2025-11-11,28.350000381469727,31.700000762939453,25.899999618530273,29.354999542236328,29.354999542236328,4251400,,,,,,,,
2025-11-12,29.354999542236328,29.354999542236328,29.354999542236328,29.354999542236328,29.354999542236328,0,,,,,,,,
