date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PRI')","('high', 'PRI')","('low', 'PRI')","('close', 'PRI')","('adj_close', 'PRI')","('volume', 'PRI')","('currency', '')"
2020-01-02,130.88999938964844,131.86000061035156,130.39999389648438,131.8300018310547,121.27383422851562,140500,,,,,,,,
2020-01-03,129.9499969482422,132.13999938964844,129.3300018310547,131.7100067138672,121.16343688964844,182200,,,,,,,,
2020-01-06,130.3300018310547,130.88999938964844,129.5800018310547,130.5800018310547,120.12393188476562,225800,,,,,,,,
2020-01-07,129.97999572753906,131.22999572753906,129.6699981689453,130.49000549316406,120.04112243652344,96800,,,,,,,,
2020-01-08,130.47999572753906,131.57000732421875,129.5399932861328,129.6999969482422,119.31439971923828,133400,,,,,,,,
2020-01-09,129.75,131.5,129.60000610351562,130.8699951171875,120.39068603515625,124400,,,,,,,,
2020-01-10,130.88999938964844,131.0399932861328,128.83999633789062,129.24000549316406,118.89122772216797,149400,,,,,,,,
2020-01-13,129.86000061035156,129.86000061035156,128.61000061035156,129.14999389648438,118.80841827392578,147700,,,,,,,,
2020-01-14,129.22999572753906,129.8699951171875,128.27999877929688,128.6199951171875,118.32087707519531,174500,,,,,,,,
2020-01-15,127.70999908447266,129.10000610351562,126.87000274658203,127.52999877929688,117.31814575195312,172500,,,,,,,,
2020-01-16,128.2899932861328,129.05999755859375,127.72000122070312,128.3699951171875,118.09090423583984,168600,,,,,,,,
2020-01-17,128.5,129.24000549316406,128.2899932861328,128.42999267578125,118.14610290527344,106800,,,,,,,,
2020-01-21,127.81999969482422,128.30999755859375,126.08000183105469,126.41000366210938,116.28783416748047,268900,,,,,,,,
2020-01-22,126.94999694824219,127.5,126.4000015258789,126.6500015258789,116.50861358642578,160500,,,,,,,,
2020-01-23,125.54000091552734,126.37000274658203,123.19000244140625,125.55000305175781,115.4967041015625,296800,,,,,,,,
2020-01-24,125.88999938964844,125.88999938964844,122.19999694824219,122.52999877929688,112.71852111816406,167300,,,,,,,,
2020-01-27,119.5999984741211,120.47000122070312,119.05999755859375,119.08000183105469,109.54478454589844,275300,,,,,,,,
2020-01-28,119.80000305175781,121.22000122070312,119.80000305175781,120.63999938964844,110.9798583984375,133500,,,,,,,,
2020-01-29,121.08999633789062,121.94000244140625,119.94000244140625,119.98999786376953,110.38192749023438,119900,,,,,,,,
2020-01-30,118.98999786376953,121.48999786376953,118.88999938964844,121.37000274658203,111.65142822265625,122300,,,,,,,,
2020-01-31,120.4000015258789,120.93000030517578,118.23999786376953,118.55999755859375,109.06640625,168700,,,,,,,,
2020-02-03,119.44999694824219,121.58000183105469,119.44999694824219,121.11000061035156,111.41222381591797,193300,,,,,,,,
2020-02-04,123.08999633789062,124.51000213623047,123.08999633789062,123.54000091552734,113.64765167236328,205600,,,,,,,,
2020-02-05,125.52999877929688,126.9800033569336,124.31999969482422,126.31999969482422,116.2050552368164,124400,,,,,,,,
2020-02-06,126.55000305175781,126.83999633789062,123.94999694824219,124.12000274658203,114.18122100830078,118100,,,,,,,,
