date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PURR')","('high', 'PURR')","('low', 'PURR')","('close', 'PURR')","('adj_close', 'PURR')","('volume', 'PURR')","('currency', '')"
2025-12-03,4.25,4.650000095367432,3.3299999237060547,3.9000000953674316,3.9000000953674316,4160300,,,,,,,,
2025-12-04,3.990000009536743,4.0,3.4000000953674316,3.5999999046325684,3.5999999046325684,2108600,,,,,,,,
2025-12-05,3.75,3.75,3.444999933242798,3.680000066757202,3.680000066757202,1289400,,,,,,,,
2025-12-08,3.75,3.9049999713897705,3.4200000762939453,3.700000047683716,3.700000047683716,1411300,,,,,,,,
2025-12-09,3.700000047683716,4.079999923706055,3.3299999237060547,3.859999895095825,3.859999895095825,2409300,,,,,,,,
2025-12-10,3.9200000762939453,3.9700000286102295,3.6700000762939453,3.759999990463257,3.759999990463257,1147900,,,,,,,,
2025-12-11,3.7200000286102295,3.799999952316284,3.4100000858306885,3.4200000762939453,3.4200000762939453,1608400,,,,,,,,
2025-12-12,3.4800000190734863,3.5999999046325684,3.2100000381469727,3.5,3.5,1983600,,,,,,,,
2025-12-15,3.4600000381469727,3.561000108718872,3.1700000762939453,3.2300000190734863,3.2300000190734863,1522500,,,,,,,,
2025-12-16,3.190000057220459,3.615000009536743,3.187000036239624,3.4700000286102295,3.4700000286102295,1582500,,,,,,,,
2025-12-17,3.5399999618530273,3.5399999618530273,3.25,3.4100000858306885,3.4100000858306885,896800,,,,,,,,
2025-12-18,3.4100000858306885,3.5999999046325684,3.1500000953674316,3.180000066757202,3.180000066757202,1380900,,,,,,,,
2025-12-19,3.25,3.440000057220459,3.1700000762939453,3.4100000858306885,3.4100000858306885,1000300,,,,,,,,
2025-12-22,3.4700000286102295,3.4700000286102295,3.2899999618530273,3.369999885559082,3.369999885559082,559800,,,,,,,,
2025-12-23,3.359999895095825,3.4600000381469727,3.259000062942505,3.319999933242798,3.319999933242798,584700,,,,,,,,
2025-12-24,3.3499999046325684,3.3499999046325684,3.1600000858306885,3.2100000381469727,3.2100000381469727,519400,,,,,,,,
2025-12-26,3.2899999618530273,3.309999942779541,3.200000047683716,3.259999990463257,3.259999990463257,780300,,,,,,,,
2025-12-29,3.259999990463257,3.430000066757202,3.009999990463257,3.0999999046325684,3.0999999046325684,1579300,,,,,,,,
2025-12-30,3.1500000953674316,3.4639999866485596,3.059999942779541,3.369999885559082,3.369999885559082,1256300,,,,,,,,
,PURR,PURR,PURR,PURR,PURR,PURR,,,,,,,,
