date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LAD')","('high', 'LAD')","('low', 'LAD')","('close', 'LAD')","('adj_close', 'LAD')","('volume', 'LAD')","('currency', '')"
2020-01-02,147.74000549316406,148.44000244140625,145.50999450683594,147.3699951171875,141.61488342285156,186300,,,,,,,,
2020-01-03,146.2100067138672,146.55999755859375,144.24000549316406,146.1199951171875,140.41372680664062,165100,,,,,,,,
2020-01-06,145.08999633789062,145.24000549316406,141.0399932861328,141.67999267578125,136.14715576171875,230300,,,,,,,,
2020-01-07,141.30999755859375,144.52999877929688,140.32000732421875,142.72999572753906,137.15609741210938,232900,,,,,,,,
2020-01-08,142.00999450683594,143.5500030517578,138.55999755859375,139.41000366210938,133.9657745361328,165400,,,,,,,,
2020-01-09,142.02999877929688,142.02999877929688,137.5,138.89999389648438,133.4756622314453,349800,,,,,,,,
2020-01-10,139.39999389648438,140.25,138.13999938964844,139.22999572753906,133.7928009033203,163600,,,,,,,,
2020-01-13,139.19000244140625,143.5,138.49000549316406,143.3800048828125,137.7807159423828,178800,,,,,,,,
2020-01-14,142.3800048828125,143.10000610351562,141.16000366210938,141.7100067138672,136.1759490966797,251100,,,,,,,,
2020-01-15,141.0,141.97000122070312,139.69000244140625,141.07000732421875,135.56094360351562,116200,,,,,,,,
2020-01-16,141.8699951171875,142.97000122070312,140.77999877929688,141.3000030517578,135.78195190429688,115400,,,,,,,,
2020-01-17,142.57000732421875,143.75,141.22999572753906,143.38999938964844,137.79037475585938,187700,,,,,,,,
2020-01-21,143.08999633789062,144.97000122070312,142.16000366210938,144.6300048828125,138.98193359375,193500,,,,,,,,
2020-01-22,144.94000244140625,146.33999633789062,141.4499969482422,141.77000427246094,136.233642578125,178500,,,,,,,,
2020-01-23,141.6199951171875,144.07000732421875,140.3699951171875,143.57000732421875,137.9633331298828,143700,,,,,,,,
2020-01-24,143.41000366210938,143.41000366210938,136.83999633789062,137.88999938964844,132.5050811767578,159400,,,,,,,,
2020-01-27,136.0,141.38999938964844,135.75,139.41000366210938,133.9657745361328,152100,,,,,,,,
2020-01-28,140.3800048828125,141.97999572753906,139.97000122070312,141.3300018310547,135.8107452392578,150600,,,,,,,,
2020-01-29,142.41000366210938,144.0500030517578,141.3000030517578,142.75,137.1753387451172,257900,,,,,,,,
