date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EVO.ST')","('high', 'EVO.ST')","('low', 'EVO.ST')","('close', 'EVO.ST')","('adj_close', 'EVO.ST')","('volume', 'EVO.ST')","('currency', '')"
2020-01-02,282.5,292.5,282.5,289.5,286.5029296875,338087,,,,,,,,
2020-01-03,289.5,290.5,285.0,289.0,286.008056640625,278479,,,,,,,,
2020-01-07,287.5,288.5,282.0,287.0,284.0287780761719,322684,,,,,,,,
2020-01-08,285.0,297.0,282.0,292.5,289.47186279296875,475503,,,,,,,,
2020-01-09,293.5,298.5,292.0,292.5,289.47186279296875,274256,,,,,,,,
2020-01-10,297.0,313.5,297.0,311.0,307.7803649902344,751941,,,,,,,,
2020-01-13,312.5,320.0,304.0,306.0,302.83209228515625,664420,,,,,,,,
2020-01-14,307.0,313.0,297.5,306.5,303.32696533203125,564547,,,,,,,,
2020-01-15,307.0,314.5,303.5,312.5,309.2648010253906,385218,,,,,,,,
2020-01-16,313.5,315.0,308.5,310.0,306.7906799316406,329116,,,,,,,,
2020-01-17,306.0,313.0,302.5,309.5,306.2958679199219,478051,,,,,,,,
2020-01-20,309.5,313.5,307.5,312.0,308.76995849609375,219460,,,,,,,,
2020-01-21,309.5,311.0,305.5,310.0,306.7906799316406,281541,,,,,,,,
2020-01-22,310.5,322.5,310.5,318.0,314.7078552246094,406420,,,,,,,,
2020-01-23,318.0,318.5,310.0,311.0,307.7803649902344,322423,,,,,,,,
2020-01-24,313.0,323.5,312.0,318.5,315.20269775390625,360105,,,,,,,,
2020-01-27,314.0,314.5,307.0,313.5,310.25445556640625,374944,,,,,,,,
2020-01-28,313.5,317.0,298.0,305.0,301.84246826171875,751431,,,,,,,,
2020-01-29,305.0,306.5,302.0,303.0,299.8631896972656,257146,,,,,,,,
2020-01-30,304.0,305.0,298.5,298.5,295.40972900390625,211575,,,,,,,,
2020-01-31,299.5,304.5,295.5,298.0,294.9149169921875,381826,,,,,,,,
2020-02-03,296.0,301.0,287.5,300.5,297.3890380859375,354156,,,,,,,,
2020-02-04,303.0,311.0,301.0,308.5,305.3061828613281,620689,,,,,,,,
2020-02-05,309.0,311.5,305.1499938964844,310.5,307.2855224609375,392494,,,,,,,,
2020-02-06,311.5,313.5,304.5,307.5,304.3165588378906,355818,,,,,,,,
2020-02-07,307.5,312.5,303.0,303.5,300.35797119140625,264387,,,,,,,,
2020-02-10,303.0,315.0,301.5,314.5,311.2441101074219,358887,,,,,,,,
2020-02-11,318.5,329.5,318.0,329.5,326.08880615234375,572576,,,,,,,,
2020-02-12,352.0,381.0,348.0,378.0,374.08673095703125,2248407,,,,,,,,
