date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SGSN.SW')","('high', 'SGSN.SW')","('low', 'SGSN.SW')","('close', 'SGSN.SW')","('adj_close', 'SGSN.SW')","('volume', 'SGSN.SW')","('currency', '')"
2020-01-03,105.91999816894531,106.4000015258789,105.04000091552734,106.4000015258789,86.90812683105469,508575,,,,,,,,
2020-01-06,105.72000122070312,105.83999633789062,104.72000122070312,105.72000122070312,86.35269927978516,353300,,,,,,,,
2020-01-07,106.16000366210938,106.31999969482422,105.23999786376953,105.55999755859375,86.22200775146484,287650,,,,,,,,
2020-01-08,105.4000015258789,105.5199966430664,104.55999755859375,105.36000061035156,86.05865478515625,325000,,,,,,,,
2020-01-09,105.63999938964844,105.83999633789062,104.08000183105469,104.68000030517578,85.50321960449219,668025,,,,,,,,
2020-01-10,105.04000091552734,105.23999786376953,104.19999694824219,104.63999938964844,85.47055053710938,361300,,,,,,,,
2020-01-13,104.80000305175781,105.72000122070312,104.5199966430664,105.0,85.76460266113281,376200,,,,,,,,
2020-01-14,105.44000244140625,106.19999694824219,104.55999755859375,106.19999694824219,86.7447738647461,391925,,,,,,,,
2020-01-15,106.23999786376953,106.31999969482422,105.72000122070312,106.23999786376953,86.77743530273438,318950,,,,,,,,
2020-01-16,107.0,107.0,105.72000122070312,106.4000015258789,86.90812683105469,283600,,,,,,,,
2020-01-17,106.68000030517578,107.5999984741211,106.19999694824219,107.5999984741211,87.88829803466797,673425,,,,,,,,
2020-01-20,107.83999633789062,107.91999816894531,107.44000244140625,107.80000305175781,88.05166625976562,420425,,,,,,,,
2020-01-21,107.87999725341797,108.5999984741211,107.16000366210938,108.5199966430664,88.63976287841797,497475,,,,,,,,
2020-01-22,108.72000122070312,109.68000030517578,108.5199966430664,109.0,89.03182220458984,492000,,,,,,,,
2020-01-23,109.44000244140625,109.44000244140625,108.08000183105469,108.36000061035156,88.50907135009766,544675,,,,,,,,
2020-01-24,109.95999908447266,110.91999816894531,109.31999969482422,110.63999938964844,90.37137603759766,695175,,,,,,,,
2020-01-27,109.95999908447266,109.95999908447266,108.83999633789062,108.83999633789062,88.901123046875,689625,,,,,,,,
2020-01-28,112.0,115.04000091552734,109.91999816894531,113.72000122070312,92.88715362548828,1220325,,,,,,,,
2020-01-29,113.5999984741211,114.5999984741211,111.76000213623047,112.5999984741211,91.97232818603516,1038250,,,,,,,,
2020-01-30,112.16000366210938,112.4800033569336,111.12000274658203,111.5199966430664,91.09017181396484,502050,,,,,,,,
