date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TBN')","('high', 'TBN')","('low', 'TBN')","('close', 'TBN')","('adj_close', 'TBN')","('volume', 'TBN')","('currency', '')"
2024-06-27,22.5,22.899999618530273,21.739999771118164,21.75,21.75,540100,,,,,,,,
2024-06-28,22.100000381469727,23.729999542236328,21.75,22.5,22.5,181200,,,,,,,,
2024-07-01,22.5,25.989999771118164,22.5,24.25,24.25,147600,,,,,,,,
2024-07-02,23.510000228881836,24.0,22.729999542236328,23.56999969482422,23.56999969482422,124600,,,,,,,,
2024-07-03,24.100000381469727,24.450000762939453,23.121000289916992,23.809999465942383,23.809999465942383,60400,,,,,,,,
2024-07-05,24.0,24.0,23.46500015258789,23.8799991607666,23.8799991607666,81900,,,,,,,,
2024-07-08,23.969999313354492,23.969999313354492,22.56999969482422,23.600000381469727,23.600000381469727,79100,,,,,,,,
2024-07-09,22.940000534057617,24.0049991607666,22.940000534057617,23.899999618530273,23.899999618530273,35400,,,,,,,,
2024-07-10,24.0,24.149999618530273,23.079999923706055,23.31999969482422,23.31999969482422,60500,,,,,,,,
2024-07-11,23.290000915527344,23.81999969482422,23.290000915527344,23.6299991607666,23.6299991607666,30800,,,,,,,,
2024-07-12,23.75,24.43000030517578,23.5,24.049999237060547,24.049999237060547,19200,,,,,,,,
2024-07-15,24.43000030517578,24.829999923706055,24.15999984741211,24.719999313354492,24.719999313354492,25900,,,,,,,,
2024-07-16,25.09000015258789,25.31999969482422,24.260000228881836,24.489999771118164,24.489999771118164,54300,,,,,,,,
2024-07-17,24.25,24.812000274658203,24.0,24.40999984741211,24.40999984741211,75200,,,,,,,,
2024-07-18,24.0,25.100000381469727,24.0,24.6299991607666,24.6299991607666,106700,,,,,,,,
2024-07-19,24.399999618530273,24.709999084472656,24.200000762939453,24.229999542236328,24.229999542236328,16700,,,,,,,,
2024-07-22,24.200000762939453,25.06999969482422,24.0,24.5,24.5,127200,,,,,,,,
2024-07-23,24.389999389648438,24.6299991607666,23.5,24.1299991607666,24.1299991607666,230900,,,,,,,,
2024-07-24,24.0,24.489999771118164,23.670000076293945,24.31999969482422,24.31999969482422,135600,,,,,,,,
2024-07-25,23.770000457763672,24.165000915527344,23.350000381469727,23.579999923706055,23.579999923706055,79000,,,,,,,,
2024-07-26,23.40999984741211,24.440000534057617,23.399999618530273,24.260000228881836,24.260000228881836,159300,,,,,,,,
2024-07-29,24.010000228881836,24.75,23.610000610351562,23.809999465942383,23.809999465942383,86300,,,,,,,,
