date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TPL')","('high', 'TPL')","('low', 'TPL')","('close', 'TPL')","('adj_close', 'TPL')","('volume', 'TPL')","('currency', '')"
2020-01-02,87.22222137451172,87.33000183105469,86.08777618408203,86.12444305419922,77.84911346435547,73800,,,,,,,,
2020-01-03,88.88888549804688,89.11111450195312,86.8933334350586,88.80000305175781,80.2676010131836,187200,,,,,,,,
2020-01-06,88.80000305175781,90.0,88.35778045654297,88.88888549804688,80.34791564941406,266400,,,,,,,,
2020-01-07,88.98332977294922,89.38888549804688,88.55000305175781,89.38888549804688,80.79988861083984,118800,,,,,,,,
2020-01-08,89.44444274902344,91.663330078125,88.88888549804688,91.0411148071289,82.29336547851562,310500,,,,,,,,
2020-01-09,91.4433364868164,93.16666412353516,89.4977798461914,90.35444641113281,81.67266082763672,185400,,,,,,,,
2020-01-10,90.21444702148438,90.27666473388672,88.21444702148438,89.91999816894531,81.27999114990234,148500,,,,,,,,
2020-01-13,89.66777801513672,89.66777801513672,87.93888854980469,89.43333435058594,80.8400650024414,223200,,,,,,,,
2020-01-14,89.42666625976562,89.44444274902344,88.33333587646484,88.8277816772461,80.29268646240234,148500,,,,,,,,
2020-01-15,88.81111145019531,90.08444213867188,88.43555450439453,88.43555450439453,79.93815612792969,108900,,,,,,,,
2020-01-16,88.88888549804688,88.88888549804688,87.29888916015625,88.32221984863281,79.8357162475586,90900,,,,,,,,
2020-01-17,88.37777709960938,88.37777709960938,87.7300033569336,88.0955581665039,79.6308364868164,49500,,,,,,,,
2020-01-21,88.00111389160156,88.00111389160156,86.50555419921875,86.8822250366211,78.53409576416016,105300,,,,,,,,
2020-01-22,88.18444061279297,88.6500015258789,85.12222290039062,85.19999694824219,77.01348876953125,157500,,,,,,,,
2020-01-23,84.66666412353516,85.0,82.30000305175781,84.33333587646484,76.23011016845703,161100,,,,,,,,
2020-01-24,83.88888549804688,83.88888549804688,82.13555908203125,83.47000122070312,75.44974517822266,81900,,,,,,,,
2020-01-27,82.33333587646484,83.1433334350586,81.56111145019531,81.68111419677734,73.83271789550781,108900,,,,,,,,
2020-01-28,82.41555786132812,83.7088851928711,81.84666442871094,82.8388900756836,74.87926483154297,158400,,,,,,,,
2020-01-29,82.80000305175781,83.75666809082031,82.22222137451172,82.44444274902344,74.522705078125,172800,,,,,,,,
2020-01-30,81.66999816894531,82.03888702392578,79.93222045898438,80.72222137451172,72.96595001220703,136800,,,,,,,,
2020-01-31,80.04444122314453,84.0888900756836,76.21666717529297,83.96778106689453,75.89967346191406,477900,,,,,,,,
2020-02-03,83.50333404541016,84.44444274902344,81.29777526855469,83.33333587646484,75.32618713378906,306000,,,,,,,,
2020-02-04,84.4977798461914,86.81888580322266,84.4977798461914,86.67111206054688,78.34324645996094,200700,,,,,,,,
2020-02-05,87.74333190917969,90.554443359375,87.22222137451172,89.00777435302734,80.45538330078125,244800,,,,,,,,
2020-02-06,89.0,89.57555389404297,88.33333587646484,89.2844467163086,80.70547485351562,190800,,,,,,,,
2020-02-07,88.66666412353516,89.93444061279297,87.79222106933594,89.12222290039062,80.55884552001953,115200,,,,,,,,
2020-02-10,88.88888549804688,89.22777557373047,85.63888549804688,86.38444519042969,78.08414459228516,151200,,,,,,,,
2020-02-11,86.38888549804688,88.0,86.38888549804688,86.9000015258789,78.55016326904297,78300,,,,,,,,
2020-02-12,87.21111297607422,88.22222137451172,87.21111297607422,87.52777862548828,79.11760711669922,132300,,,,,,,,
2020-02-13,86.77777862548828,87.33333587646484,85.93222045898438,87.05555725097656,78.69076538085938,91800,,,,,,,,
2020-02-14,87.11111450195312,87.11111450195312,85.55555725097656,85.5633316040039,77.34191131591797,42300,,,,,,,,
2020-02-18,85.19000244140625,85.48332977294922,84.33333587646484,85.13111114501953,76.95121765136719,116100,,,,,,,,
2020-02-19,85.22777557373047,86.11111450195312,85.22777557373047,85.88333129882812,77.63117218017578,80100,,,,,,,,
2020-02-20,85.55555725097656,86.82333374023438,85.55555725097656,86.82333374023438,78.48084259033203,83700,,,,,,,,
2020-02-21,86.44444274902344,86.44444274902344,84.76333618164062,85.0,76.83271026611328,96300,,,,,,,,
2020-02-24,83.72555541992188,84.72888946533203,82.4588851928711,83.47000122070312,75.44974517822266,299700,,,,,,,,
2020-02-25,84.33333587646484,84.97444152832031,79.55555725097656,80.55555725097656,72.81531524658203,198900,,,,,,,,
2020-02-26,80.55555725097656,81.77777862548828,78.8022232055664,78.97666931152344,71.38815307617188,243000,,,,,,,,
2020-02-27,77.79222106933594,78.88777923583984,75.0,75.35555267333984,68.11495971679688,243000,,,,,,,,
2020-02-28,73.88888549804688,77.31111145019531,72.22222137451172,77.31111145019531,69.88261413574219,247500,,,,,,,,
2020-03-02,77.14666748046875,78.2522201538086,75.12777709960938,76.74444580078125,69.37039184570312,218700,,,,,,,,
