date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'KDK')","('high', 'KDK')","('low', 'KDK')","('close', 'KDK')","('adj_close', 'KDK')","('volume', 'KDK')","('currency', '')"
2025-09-25,8.75,10.480999946594238,7.599999904632568,7.949999809265137,7.949999809265137,2082200,,,,,,,,
2025-09-26,8.145000457763672,8.289999961853027,7.320000171661377,7.420000076293945,7.420000076293945,1973400,,,,,,,,
2025-09-29,7.949999809265137,8.199999809265137,7.329999923706055,7.349999904632568,7.349999904632568,1230300,,,,,,,,
2025-09-30,7.525000095367432,7.75,6.840000152587891,6.840000152587891,6.840000152587891,1170300,,,,,,,,
2025-10-01,6.840000152587891,6.949999809265137,5.769999980926514,5.960000038146973,5.960000038146973,2466000,,,,,,,,
2025-10-02,6.659999847412109,7.239999771118164,6.659999847412109,6.829999923706055,6.829999923706055,2705000,,,,,,,,
2025-10-03,7.659999847412109,7.699999809265137,7.050000190734863,7.429999828338623,7.429999828338623,3487800,,,,,,,,
2025-10-06,7.877999782562256,8.25,7.449999809265137,8.09000015258789,8.09000015258789,2103700,,,,,,,,
2025-10-07,8.414999961853027,9.140000343322754,7.909999847412109,8.329999923706055,8.329999923706055,2639500,,,,,,,,
2025-10-08,8.46500015258789,8.470000267028809,7.550000190734863,7.940000057220459,7.940000057220459,1558700,,,,,,,,
2025-10-09,8.229999542236328,9.8149995803833,8.16100025177002,9.770000457763672,9.770000457763672,2142000,,,,,,,,
2025-10-10,10.149999618530273,10.300000190734863,8.760000228881836,9.039999961853027,9.039999961853027,2410500,,,,,,,,
2025-10-13,9.210000038146973,9.779999732971191,8.383000373840332,9.25,9.25,1252600,,,,,,,,
2025-10-14,9.180000305175781,9.289999961853027,8.739999771118164,9.0,9.0,775900,,,,,,,,
2025-10-15,9.390000343322754,9.454000473022461,8.770000457763672,8.899999618530273,8.899999618530273,1063300,,,,,,,,
2025-10-16,8.9399995803833,9.300000190734863,8.069999694824219,8.140000343322754,8.140000343322754,1339700,,,,,,,,
2025-10-17,8.0,8.109999656677246,7.449999809265137,7.739999771118164,7.739999771118164,999300,,,,,,,,
2025-10-20,8.210000038146973,8.550000190734863,7.889999866485596,8.3100004196167,8.3100004196167,731600,,,,,,,,
2025-10-21,8.220000267028809,8.25,7.644999980926514,7.840000152587891,7.840000152587891,849500,,,,,,,,
