date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NIC')","('high', 'NIC')","('low', 'NIC')","('close', 'NIC')","('adj_close', 'NIC')","('volume', 'NIC')","('currency', '')"
2020-01-02,74.0999984741211,74.0999984741211,72.4800033569336,73.5199966430664,71.19137573242188,31900,,,,,,,,
2020-01-03,72.7699966430664,73.19000244140625,71.11000061035156,71.87999725341797,69.60332489013672,47300,,,,,,,,
2020-01-06,71.9800033569336,73.36000061035156,71.16000366210938,73.19999694824219,70.88150787353516,40500,,,,,,,,
2020-01-07,73.05000305175781,73.05000305175781,72.0,72.0,69.71952056884766,28600,,,,,,,,
2020-01-08,72.02999877929688,72.72000122070312,71.51000213623047,72.2300033569336,69.94225311279297,14300,,,,,,,,
2020-01-09,72.2300033569336,72.83000183105469,71.76000213623047,71.94000244140625,69.66143798828125,21000,,,,,,,,
2020-01-10,71.9800033569336,72.25,71.26000213623047,71.94000244140625,69.66143798828125,24800,,,,,,,,
2020-01-13,71.86000061035156,72.66000366210938,71.2699966430664,72.45999908447266,70.16494750976562,22700,,,,,,,,
2020-01-14,72.44999694824219,72.62000274658203,71.0,71.16000366210938,68.9061279296875,40200,,,,,,,,
2020-01-15,71.08999633789062,71.75,71.0,71.5,69.2353515625,10900,,,,,,,,
2020-01-16,71.52999877929688,72.70999908447266,71.52999877929688,72.55999755859375,70.26177978515625,18600,,,,,,,,
2020-01-17,73.16999816894531,73.16999816894531,71.45999908447266,71.4800033569336,69.21599578857422,26100,,,,,,,,
2020-01-21,71.31999969482422,72.44999694824219,71.13999938964844,71.56999969482422,69.30313873291016,23900,,,,,,,,
2020-01-22,71.29000091552734,72.19000244140625,70.9000015258789,71.9800033569336,69.70016479492188,35500,,,,,,,,
2020-01-23,71.80999755859375,73.0199966430664,71.5,72.5999984741211,70.30052185058594,37700,,,,,,,,
2020-01-24,72.45999908447266,72.45999908447266,71.02999877929688,71.44999694824219,69.18695068359375,27000,,,,,,,,
2020-01-27,70.5199966430664,71.75,70.30999755859375,70.98999786376953,68.74150848388672,44600,,,,,,,,
2020-01-28,71.37999725341797,71.37999725341797,70.7699966430664,71.08000183105469,68.82867431640625,20200,,,,,,,,
2020-01-29,71.11000061035156,71.5,70.44000244140625,70.6500015258789,68.41228485107422,24400,,,,,,,,
2020-01-30,70.56999969482422,72.19999694824219,70.56999969482422,72.08000183105469,69.79698944091797,30600,,,,,,,,
2020-01-31,71.61000061035156,71.61000061035156,70.48999786376953,70.6500015258789,68.41228485107422,27800,,,,,,,,
2020-02-03,70.88999938964844,71.94000244140625,70.88999938964844,71.01000213623047,68.76087188720703,21300,,,,,,,,
2020-02-04,71.79000091552734,72.0999984741211,71.58999633789062,71.83999633789062,69.56458282470703,20600,,,,,,,,
2020-02-05,72.5,73.27999877929688,72.5,73.08999633789062,70.77499389648438,40300,,,,,,,,
2020-02-06,73.44999694824219,73.5199966430664,71.70999908447266,71.87999725341797,69.60332489013672,33200,,,,,,,,
2020-02-07,71.6500015258789,71.6500015258789,71.27999877929688,71.27999877929688,69.02232360839844,12200,,,,,,,,
2020-02-10,71.08999633789062,72.73999786376953,71.0199966430664,71.37999725341797,69.11917114257812,22100,,,,,,,,
2020-02-11,71.73999786376953,72.16000366210938,71.41999816894531,71.7699966430664,69.49679565429688,22800,,,,,,,,
2020-02-12,72.2699966430664,72.6500015258789,72.18000030517578,72.30000305175781,70.0100326538086,24600,,,,,,,,
