date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OMF')","('high', 'OMF')","('low', 'OMF')","('close', 'OMF')","('adj_close', 'OMF')","('volume', 'OMF')"
2020-01-02,42.33000183105469,42.66999816894531,42.06999969482422,42.599998474121094,21.50357437133789,494700,,,,,,,
2020-01-03,42.0099983215332,42.209999084472656,41.59000015258789,42.0,21.200708389282227,438200,,,,,,,
2020-01-06,41.65999984741211,41.790000915527344,41.0,41.66999816894531,21.034133911132812,946400,,,,,,,
2020-01-07,41.630001068115234,41.72999954223633,40.88999938964844,40.91999816894531,20.655542373657227,477000,,,,,,,
2020-01-08,40.939998626708984,41.720001220703125,40.900001525878906,41.470001220703125,20.933176040649414,456700,,,,,,,
2020-01-09,41.77000045776367,42.310001373291016,41.59000015258789,41.66999816894531,21.034133911132812,509100,,,,,,,
2020-01-10,41.709999084472656,41.79999923706055,41.13999938964844,41.29999923706055,20.847360610961914,421300,,,,,,,
2020-01-13,41.310001373291016,42.18000030517578,41.15999984741211,42.09000015258789,21.246139526367188,847400,,,,,,,
2020-01-14,42.09000015258789,42.52000045776367,41.68000030517578,41.790000915527344,21.094707489013672,701700,,,,,,,
2020-01-15,41.72999954223633,42.119998931884766,41.5099983215332,41.720001220703125,21.059370040893555,427400,,,,,,,
2020-01-16,41.939998626708984,42.81999969482422,41.84000015258789,42.75,21.57929039001465,449800,,,,,,,
2020-01-17,43.099998474121094,43.619998931884766,42.939998626708984,43.189998626708984,21.801389694213867,685100,,,,,,,
2020-01-21,43.0,43.029998779296875,42.27000045776367,42.61000061035156,21.508625030517578,458400,,,,,,,
2020-01-22,42.97999954223633,44.2400016784668,42.97999954223633,43.81999969482422,22.119403839111328,652600,,,,,,,
2020-01-23,43.689998626708984,43.970001220703125,42.72999954223633,43.650001525878906,22.033594131469727,796700,,,,,,,
2020-01-24,43.529998779296875,43.529998779296875,42.13999938964844,42.65999984741211,21.533859252929688,451100,,,,,,,
2020-01-27,41.95000076293945,41.95000076293945,40.959999084472656,41.25,20.822128295898438,957700,,,,,,,
2020-01-28,41.52000045776367,42.20000076293945,41.40999984741211,41.90999984741211,21.1552791595459,559400,,,,,,,
2020-01-29,42.04999923706055,42.439998626708984,41.52000045776367,42.099998474121094,21.251184463500977,491800,,,,,,,
2020-01-30,41.630001068115234,42.619998931884766,41.630001068115234,42.56999969482422,21.488431930541992,356200,,,,,,,
2020-01-31,42.279998779296875,42.439998626708984,41.529998779296875,42.369998931884766,21.387479782104492,777700,,,,,,,
2020-02-03,42.70000076293945,42.81999969482422,40.22999954223633,40.40999984741211,20.398109436035156,1174300,,,,,,,
2020-02-04,41.060001373291016,41.83000183105469,40.939998626708984,41.04999923706055,20.72117042541504,1185900,,,,,,,
2020-02-05,41.61000061035156,43.130001068115234,41.58000183105469,42.900001525878906,21.655010223388672,693900,,,,,,,
2020-02-06,42.9900016784668,44.16999816894531,42.900001525878906,43.619998931884766,22.018447875976562,1120300,,,,,,,
2020-02-07,43.38999938964844,43.900001525878906,42.91999816894531,43.7400016784668,22.079025268554688,654600,,,,,,,
2020-02-10,43.63999938964844,45.02000045776367,43.33000183105469,44.97999954223633,22.704946517944336,1238600,,,,,,,
2020-02-11,47.72999954223633,48.84000015258789,45.29999923706055,46.9900016784668,23.719554901123047,1497600,,,,,,,
2020-02-12,47.7599983215332,48.02000045776367,46.0099983215332,46.790000915527344,23.618600845336914,1160300,,,,,,,
2020-02-13,46.70000076293945,47.0099983215332,46.52000045776367,46.9900016784668,23.719554901123047,661200,,,,,,,
