date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FLOC')","('high', 'FLOC')","('low', 'FLOC')","('close', 'FLOC')","('adj_close', 'FLOC')","('volume', 'FLOC')","('currency', '')"
2025-01-16,29.0,30.0,28.25,29.700000762939453,29.290536880493164,6442400,,,,,,,,
2025-01-17,29.5,30.0,28.299999237060547,30.0,29.586400985717773,1157800,,,,,,,,
2025-01-21,30.229999542236328,30.5,29.520000457763672,30.25,29.83295249938965,809900,,,,,,,,
2025-01-22,30.239999771118164,30.239999771118164,29.020000457763672,29.420000076293945,29.01439666748047,1152900,,,,,,,,
2025-01-23,29.420000076293945,30.0,29.100000381469727,29.3700008392334,28.965087890625,2267900,,,,,,,,
2025-01-24,29.3700008392334,29.53700065612793,28.290000915527344,28.290000915527344,27.89997673034668,432900,,,,,,,,
2025-01-27,28.059999465942383,29.3799991607666,27.860000610351562,28.829999923706055,28.432531356811523,564900,,,,,,,,
2025-01-28,29.1200008392334,29.1200008392334,27.899999618530273,28.18000030517578,27.791492462158203,340900,,,,,,,,
2025-01-29,27.729999542236328,29.56999969482422,27.020000457763672,29.1299991607666,28.728395462036133,830200,,,,,,,,
2025-01-30,29.020000457763672,29.280000686645508,28.743999481201172,28.969999313354492,28.570600509643555,196400,,,,,,,,
2025-01-31,28.860000610351562,29.219999313354492,27.989999771118164,28.0,27.613971710205078,274200,,,,,,,,
2025-02-03,27.989999771118164,28.489999771118164,27.540000915527344,28.440000534057617,28.047908782958984,308700,,,,,,,,
2025-02-04,28.5,29.09000015258789,28.375999450683594,28.549999237060547,28.156389236450195,303200,,,,,,,,
2025-02-05,28.610000610351562,28.674999237060547,27.924999237060547,28.329999923706055,27.939424514770508,180700,,,,,,,,
2025-02-06,28.139999389648438,28.770000457763672,27.899999618530273,28.5,28.107080459594727,227700,,,,,,,,
2025-02-07,28.5,29.045000076293945,28.3700008392334,28.649999618530273,28.25501251220703,184200,,,,,,,,
