date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HMDCF')","('high', 'HMDCF')","('low', 'HMDCF')","('close', 'HMDCF')","('adj_close', 'HMDCF')","('volume', 'HMDCF')","('currency', '')"
2020-01-02,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,0,,,,,,,,
2020-01-03,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,0,,,,,,,,
2020-01-06,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,0,,,,,,,,
2020-01-07,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,1000,,,,,,,,
2020-01-08,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-09,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-10,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-13,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-14,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-15,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-16,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-17,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-21,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-22,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
2020-01-23,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,5.1097002029418945,0,,,,,,,,
