date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TT')","('high', 'TT')","('low', 'TT')","('close', 'TT')","('adj_close', 'TT')","('volume', 'TT')","('currency', '')"
2020-01-02,103.43677520751953,104.22808074951172,102.93250274658203,104.22808074951172,96.01399993896484,2158173,,,,,,,,
2020-01-03,102.66873168945312,103.75485229492188,102.5135726928711,103.29712677001953,95.15640258789062,1142054,,,,,,,,
2020-01-06,102.72303771972656,103.01008605957031,101.53607177734375,102.39720916748047,94.32740020751953,1766575,,,,,,,,
2020-01-07,101.8541488647461,102.66098022460938,101.70674896240234,101.97827911376953,93.9415054321289,1771215,,,,,,,,
2020-01-08,102.15670776367188,102.66873168945312,101.69898986816406,101.81536102294922,93.79141235351562,1303308,,,,,,,,
2020-01-09,101.86190795898438,102.28083801269531,101.05508422851562,101.25679016113281,93.27687072753906,1637932,,,,,,,,
2020-01-10,101.6524429321289,102.79286193847656,101.48176574707031,101.76881408691406,93.74853515625,1914810,,,,,,,,
2020-01-13,101.76881408691406,102.30411529541016,101.5826187133789,101.90069580078125,93.8700180053711,1294929,,,,,,,,
2020-01-14,102.00154876708984,102.16446685791016,101.1636962890625,101.53607177734375,93.5341567993164,1564588,,,,,,,,
2020-01-15,101.31885528564453,101.9239730834961,101.03956604003906,101.86966705322266,93.84146118164062,1193098,,,,,,,,
2020-01-16,102.40496826171875,103.15748596191406,102.11016082763672,103.09542083740234,94.97058868408203,1251103,,,,,,,,
2020-01-17,103.39022827148438,104.14274597167969,103.30488586425781,103.89449310302734,95.70670318603516,1770313,,,,,,,,
2020-01-21,103.25833892822266,103.68502807617188,102.38945007324219,102.6764907836914,94.58468627929688,1683821,,,,,,,,
2020-01-22,103.25057983398438,103.35919189453125,102.12567901611328,102.12567901611328,94.07727813720703,990596,,,,,,,,
2020-01-23,101.6291732788086,102.6532211303711,101.22575378417969,102.62994384765625,94.54180908203125,2068200,,,,,,,,
2020-01-24,102.68424987792969,102.68424987792969,100.64391326904297,101.31885528564453,93.33403778076172,2413781,,,,,,,,
2020-01-27,100.01551818847656,101.01628875732422,99.39488220214844,100.1008529663086,92.2120361328125,2030948,,,,,,,,
2020-01-28,100.47323608398438,102.26531982421875,99.52676391601562,101.45849609375,93.46267700195312,2728040,,,,,,,,
2020-01-29,99.6043472290039,104.66252899169922,99.6043472290039,104.18153381347656,95.97113037109375,4019618,,,,,,,,
2020-01-30,103.6074447631836,104.95732879638672,102.49806213378906,104.8409652709961,96.57858276367188,3205743,,,,,,,,
2020-01-31,104.16602325439453,104.8409652709961,102.79286193847656,103.35919189453125,95.21359252929688,2856682,,,,,,,,
2020-02-03,103.75485229492188,105.90380096435547,103.6772689819336,105.65554809570312,97.32896423339844,2505172,,,,,,,,
2020-02-04,106.44686126708984,108.1458511352539,106.29170227050781,107.47090911865234,99.00125885009766,2689756,,,,,,,,
2020-02-05,108.49495697021484,110.2947998046875,108.02172088623047,109.97672271728516,101.30960083007812,2114991,,,,,,,,
2020-02-06,110.0310287475586,110.70597076416016,109.25523376464844,110.48099517822266,101.77411651611328,1762321,,,,,,,,
2020-02-07,110.09309387207031,111.34988403320312,109.42591094970703,110.01551818847656,101.34534454345703,2299189,,,,,,,,
2020-02-10,109.55780029296875,112.0170669555664,109.1698989868164,111.79984283447266,102.98904418945312,2715407,,,,,,,,
2020-02-11,111.73777770996094,112.3118667602539,111.07059478759766,111.9937973022461,103.1677017211914,1769539,,,,,,,,
2020-02-12,112.4515151977539,113.32040405273438,112.21101379394531,112.9480209350586,104.04672241210938,2397024,,,,,,,,
2020-02-13,112.3816909790039,113.39022827148438,112.07913208007812,112.97129821777344,104.06816864013672,1705218,,,,,,,,
2020-02-14,113.18851470947266,113.73157501220703,112.54460906982422,113.69278717041016,104.73279571533203,1212047,,,,,,,,
2020-02-18,113.09542083740234,113.43677520751953,111.62141418457031,112.46702575683594,103.60363006591797,1518958,,,,,,,,
2020-02-19,112.6532211303711,113.44453430175781,112.13343811035156,113.13421630859375,104.21821594238281,3186150,,,,,,,,
2020-02-20,112.63770294189453,113.92552185058594,112.05585479736328,113.27385711669922,104.34687042236328,2458510,,,,,,,,
